Date : 2022/09/06 (TUE)
Time : 11:48:09
   Film : Pattern         Review Cam  
     X        Y         X        Y    
    0.00  1.68903      0.00  0.00000  
    1.00  0.97220      1.00  0.00000  
    2.00  0.01947      2.00  0.00000  
    3.00 -0.05892      3.00  0.00000  
    4.00 -0.07512      4.00  0.00000  
    5.00 -0.03271      5.00  0.00000  
    6.00  0.00412      6.00  0.00000  
    7.00  0.01999      7.00  0.00000  
    8.00  0.01831      8.00  0.00000  
    9.00  0.01290      9.00  0.00000  
   10.00  0.04548     10.00  0.00000  
   11.00  0.03621     11.00  0.00000  
   12.00  0.10274     12.00  0.00000  
   13.00  0.05192     13.00  0.00000  
   14.00 -0.00348     14.00  0.00000  
   15.00  0.00000     15.00  0.00000  
   16.00 -0.01055     16.00  0.00000  
   17.00  0.00000     17.00  0.00000  
   18.00  0.00518     18.00  0.00000  
   19.00  0.01366     19.00  0.00000  
   20.00  0.00959     20.00  0.00000  
   21.00  0.00796     21.00  0.00000  
   22.00  0.00000     22.00  0.00000  
   23.00 -0.01185     23.00  0.00000  
   24.00 -0.00996     24.00  0.00000  
   25.00 -0.00800     25.00  0.00000  
   26.00  0.00000     26.00  0.00000  
   27.00  0.00826     27.00  0.00000  
   28.00  0.00000     28.00  0.00000  
   29.00  0.00000     29.00 -0.15228  
   30.00  0.00000     30.00 -0.13309  
   31.00  0.00434     31.00 -0.15096  
   32.00 -0.00391     32.00 -0.16188  
   33.00 -0.02092     33.00 -0.16355  
   34.00  0.00000     34.00 -0.15181  
   35.00  0.01482     35.00 -0.13846  
   36.00  0.01990     36.00 -0.09845  
   37.00 -0.05620     37.00 -0.10231  
   38.00 -0.05045     38.00 -0.09840  
   39.00 -0.01558     39.00 -0.10637  
   40.00 -0.01510     40.00 -0.10643  
   41.00 -0.05034     41.00 -0.17000  
   42.00 -0.02423     42.00 -0.17721  
   43.00 -0.00896     43.00 -0.15678  
   44.00 -0.01484     44.00 -0.13355  
   45.00 -0.01503     45.00 -0.13295  
   46.00 -0.03108     46.00 -0.14433  
   47.00 -0.00790     47.00 -0.14540  
   48.00  0.00769     48.00  0.00000  
   49.00  0.00000     49.00  0.00000  
   50.00  0.00591     50.00  0.00000  
   51.00  0.00000     51.00  0.00000  
   52.00  0.00981     52.00  0.00000  
   53.00  0.01231     53.00 -0.15086  
   54.00 -0.00337     54.00 -0.13884  
   55.00  0.00000     55.00 -0.12824  
   56.00 -0.00324     56.00 -0.12652  
   57.00 -0.00707     57.00 -0.12417  
   58.00  0.00822     58.00  0.00000  
   59.00  0.00561     59.00  0.00000  
   60.00  0.00567     60.00  0.00000  
   61.00  0.00000     61.00 -0.16849  
   62.00 -0.01576     62.00 -0.16433  
   63.00 -0.02078     63.00 -0.15432  
   64.00 -0.01869     64.00 -0.14849  
   65.00  0.00804     65.00 -0.13845  
   66.00  0.01706     66.00 -0.13487  
   67.00  0.00000     67.00 -0.13901  
   68.00 -0.01534     68.00 -0.14182  
   69.00 -0.02414     69.00 -0.15477  
   70.00 -0.01405     70.00 -0.15595  
   71.00 -0.00629     71.00 -0.14115  
   72.00  0.00425     72.00 -0.12507  
   73.00 -0.00907     73.00 -0.13184  
   74.00 -0.01863     74.00 -0.14180  
   75.00 -0.01332     75.00 -0.14931  
   76.00  0.00918     76.00 -0.15273  
   77.00 -0.02815     77.00 -0.15451  
   78.00 -0.03718     78.00 -0.14447  
   79.00 -0.00724     79.00 -0.13744  
   80.00  0.03646     80.00 -0.13837  
   81.00  0.02386     81.00 -0.15071  
