Date : 2022/09/06 (TUE)
Time : 11:48:15
   Film : Pattern         Review Cam  
     X        Y         X        Y    
    0.00  0.28649      0.00  0.00000  
    1.00  0.28639      1.00  0.00000  
    2.00  0.19772      2.00  0.00000  
    3.00  0.07567      3.00  0.00000  
    4.00 -0.01775      4.00  0.00000  
    5.00 -0.10317      5.00  0.00000  
    6.00 -0.23063      6.00  0.00000  
    7.00 -0.29616      7.00  0.00000  
    8.00 -0.32173      8.00  0.00000  
    9.00 -0.37229      9.00  0.00000  
   10.00 -0.55048     10.00  0.00000  
   11.00 -0.57590     11.00  0.00000  
   12.00  0.35683     12.00  0.00000  
   13.00  0.31840     13.00  0.00000  
   14.00  0.01599     14.00  0.00000  
   15.00 -0.06172     15.00  0.00000  
   16.00 -0.13522     16.00  0.00000  
   17.00 -0.19345     17.00  0.00000  
   18.00 -0.23694     18.00  0.00000  
   19.00 -0.27380     19.00  0.00000  
   20.00 -0.30192     20.00  0.00000  
   21.00 -0.34554     21.00  0.00000  
   22.00 -0.39804     22.00  0.00000  
   23.00 -0.43441     23.00  0.00000  
   24.00 -0.46569     24.00  0.00000  
   25.00 -0.49485     25.00  0.00000  
   26.00 -0.48943     26.00  0.00000  
   27.00 -0.50900     27.00  0.00000  
   28.00 -0.50064     28.00  0.00000  
   29.00 -0.62170     29.00 -2.58956  
   30.00 -0.63346     30.00 -2.56815  
   31.00 -0.64300     31.00 -2.71871  
   32.00 -0.54995     32.00 -2.71845  
   33.00 -0.64715     33.00 -2.72385  
   34.00 -0.64732     34.00 -2.66765  
   35.00 -0.60875     35.00 -2.66030  
   36.00  0.22383     36.00 -1.32722  
   37.00 -0.34701     37.00 -1.69184  
   38.00 -0.42355     38.00 -1.78522  
   39.00 -0.44778     39.00 -1.88108  
   40.00 -0.44909     40.00 -1.94556  
   41.00 -0.41648     41.00 -2.26618  
   42.00 -0.36532     42.00 -2.38538  
   43.00 -0.34994     43.00 -2.46986  
   44.00 -0.34293     44.00 -2.47242  
   45.00 -0.37617     45.00 -2.49091  
   46.00 -0.34145     46.00 -2.42400  
   47.00 -0.34871     47.00 -2.42035  
   48.00 -0.25586     48.00  0.00000  
   49.00  0.11606     49.00  0.00000  
   50.00  0.08577     50.00  0.00000  
   51.00  0.00000     51.00  0.00000  
   52.00 -0.08254     52.00  0.00000  
   53.00 -0.16235     53.00 -3.62469  
   54.00 -0.21554     54.00 -2.81811  
   55.00 -0.24956     55.00 -2.23483  
   56.00 -0.27633     56.00 -1.96879  
   57.00 -0.30985     57.00 -2.11180  
   58.00 -0.19941     58.00  0.00000  
   59.00 -0.18689     59.00  0.00000  
   60.00 -0.21567     60.00  0.00000  
