Date : 2022/09/06 (TUE)
Time : 11:48:40
         UnWinder        OutFeeder 1        OutFeeder 2  
     X        Y         X        Y         X        Y    
    0.00     5.80      0.00     3.60      0.00     3.20  
    1.00     5.80      1.00     3.70      1.00     3.20  
    2.00     5.80      2.00     3.70      2.00     3.30  
    3.00     5.70      3.00     3.60      3.00     3.30  
    4.00     5.80      4.00     3.60      4.00     3.20  
    5.00     5.70      5.00     3.70      5.00     3.20  
    6.00     5.70      6.00     3.60      6.00     3.20  
    7.00     5.80      7.00     3.60      7.00     3.20  
    8.00     5.80      8.00     3.70      8.00     3.20  
    9.00     5.70      9.00     3.70      9.00     3.20  
   10.00     5.70     10.00     3.70     10.00     3.20  
   11.00     5.70     11.00     3.70     11.00     3.30  
   12.00     5.70     12.00     3.70     12.00     3.20  
   13.00     5.80     13.00     3.60     13.00     3.20  
   14.00     5.80     14.00     3.60     14.00     3.20  
   15.00     5.70     15.00     3.60     15.00     3.30  
   16.00     5.70     16.00     3.60     16.00     3.20  
   17.00     5.80     17.00     3.60     17.00     3.30  
   18.00     5.80     18.00     3.70     18.00     3.20  
   19.00     5.80     19.00     3.70     19.00     3.20  
   20.00     5.70     20.00     3.70     20.00     3.20  
   21.00     5.70     21.00     3.70     21.00     3.20  
   22.00     5.70     22.00     3.70     22.00     3.30  
   23.00     5.80     23.00     3.70     23.00     3.20  
   24.00     5.80     24.00     3.70     24.00     3.20  
   25.00     5.70     25.00     3.80     25.00     3.30  
   26.00     5.70     26.00     3.60     26.00     3.20  
   27.00     5.70     27.00     3.70     27.00     3.10  
   28.00     5.70     28.00     3.70     28.00     3.20  
   29.00     5.70     29.00     3.70     29.00     3.20  
   30.00     5.70     30.00     3.70     30.00     3.10  
   31.00     5.70     31.00     3.70     31.00     3.30  
   32.00     5.70     32.00     3.60     32.00     3.30  
   33.00     5.70     33.00     3.60     33.00     3.30  
   34.00     5.70     34.00     3.70     34.00     3.20  
   35.00     5.70     35.00     3.70     35.00     3.20  
   36.00     5.70     36.00     3.60     36.00     3.30  
   37.00     5.70     37.00     3.70     37.00     3.20  
   38.00     5.70     38.00     3.70     38.00     3.20  
   39.00     5.70     39.00     3.70     39.00     3.20  
   40.00     5.70     40.00     3.60     40.00     3.20  
   41.00     5.70     41.00     3.60     41.00     3.20  
   42.00     5.70     42.00     3.70     42.00     3.30  
   43.00     5.70     43.00     3.70     43.00     3.20  
   44.00     5.70     44.00     3.70     44.00     3.20  
   45.00     5.70     45.00     3.60     45.00     3.20  
   46.00     5.70     46.00     3.60     46.00     3.30  
   47.00     5.70     47.00     3.70     47.00     3.20  
   48.00     5.70     48.00     3.70     48.00     3.20  
   49.00     5.70     49.00     3.70     49.00     3.20  
   50.00     5.70     50.00     3.70     50.00     3.20  
   51.00     5.70     51.00     3.70     51.00     3.20  
   52.00     5.70     52.00     3.70     52.00     3.20  
   53.00     5.80     53.00     3.70     53.00     3.20  
   54.00     5.70     54.00     3.70     54.00     3.20  
   55.00     5.70     55.00     3.70     55.00     3.30  
   56.00     5.70     56.00     3.70     56.00     3.20  
   57.00     5.70     57.00     3.70     57.00     3.10  
   58.00     5.70     58.00     3.60     58.00     3.30  
   59.00     5.70     59.00     3.60     59.00     3.20  
   60.00     5.70     60.00     3.70     60.00     3.20  
   61.00     5.70     61.00     3.70     61.00     3.20  
   62.00     5.70     62.00     3.60     62.00     3.20  
   63.00     5.70     63.00     3.70     63.00     3.20  
   64.00     5.70     64.00     3.60     64.00     3.20  
   65.00     5.70     65.00     3.60     65.00     3.20  
   66.00     5.70     66.00     3.70     66.00     3.30  
   67.00     5.70     67.00     3.70     67.00     3.20  
   68.00     5.70     68.00     3.70     68.00     3.20  
   69.00     5.70     69.00     3.70     69.00     3.20  
   70.00     5.70     70.00     3.60     70.00     3.20  
   71.00     5.70     71.00     3.60     71.00     3.20  
