Date : 2022/09/06 (TUE)
Time : 11:48:31
        Tension 1          Tension 2              Nip 1              Nip 2  
     X        Y         X        Y         X        Y         X        Y    
    0.00   4.8000      0.00   4.0000      0.00   0.3000      0.00   0.0000  
    1.00   4.7000      1.00   3.9000      1.00   0.3000      1.00  -0.1000  
    2.00   4.9000      2.00   4.0000      2.00   0.3000      2.00   0.0000  
    3.00   4.6000      3.00   4.0000      3.00   0.4000      3.00  -0.2000  
    4.00   4.8000      4.00   4.0000      4.00   0.4000      4.00  -0.1000  
    5.00   4.8000      5.00   4.0000      5.00   0.4000      5.00  -0.2000  
    6.00   4.7000      6.00   4.0000      6.00   0.3000      6.00  -0.1000  
    7.00   4.9000      7.00   4.0000      7.00   0.3000      7.00   0.0000  
    8.00   4.7000      8.00   4.0000      8.00   0.3000      8.00  -0.1000  
    9.00   4.8000      9.00   4.0000      9.00   0.3000      9.00  -0.1000  
   10.00   4.8000     10.00   4.0000     10.00   0.3000     10.00  -0.2000  
   11.00   4.6000     11.00   3.9000     11.00   0.4000     11.00  -0.1000  
   12.00   4.7000     12.00   4.0000     12.00   0.2000     12.00   0.0000  
   13.00   4.7000     13.00   4.0000     13.00   0.3000     13.00  -0.1000  
   14.00   4.6000     14.00   4.0000     14.00   0.3000     14.00  -0.1000  
   15.00   4.8000     15.00   3.9000     15.00   0.3000     15.00  -0.1000  
   16.00   4.7000     16.00   3.9000     16.00   0.4000     16.00  -0.1000  
   17.00   4.8000     17.00   3.9000     17.00   0.4000     17.00  -0.2000  
   18.00   4.8000     18.00   4.0000     18.00   0.4000     18.00  -0.2000  
   19.00   4.8000     19.00   4.0000     19.00   0.3000     19.00   0.0000  
   20.00   4.7000     20.00   4.0000     20.00   0.3000     20.00  -0.2000  
   21.00   4.9000     21.00   3.9000     21.00   0.4000     21.00  -0.1000  
   22.00   4.7000     22.00   4.0000     22.00   0.3000     22.00  -0.1000  
   23.00   4.7000     23.00   4.0000     23.00   0.3000     23.00  -0.1000  
   24.00   4.7000     24.00   4.0000     24.00   0.3000     24.00   0.0000  
   25.00   4.7000     25.00   3.9000     25.00   0.4000     25.00  -0.1000  
   26.00   4.9000     26.00   4.0000     26.00   0.3000     26.00  -0.1000  
   27.00   4.6000     27.00   4.0000     27.00   0.3000     27.00  -0.2000  
   28.00   4.7000     28.00   3.9000     28.00   0.3000     28.00  -0.2000  
   29.00   4.7000     29.00   3.9000     29.00   0.3000     29.00  -0.1000  
   30.00   4.7000     30.00   4.0000     30.00   0.4000     30.00  -0.1000  
   31.00   4.7000     31.00   3.9000     31.00   0.3000     31.00  -0.2000  
   32.00   4.9000     32.00   4.0000     32.00   0.4000     32.00   0.0000  
   33.00   4.6000     33.00   4.0000     33.00   0.3000     33.00  -0.1000  
   34.00   4.9000     34.00   4.0000     34.00   0.3000     34.00  -0.1000  
   35.00   4.7000     35.00   4.0000     35.00   0.3000     35.00  -0.1000  
   36.00   4.6000     36.00   4.0000     36.00   0.3000     36.00  -0.1000  
   37.00   4.8000     37.00   4.0000     37.00   0.3000     37.00  -0.2000  
   38.00   4.8000     38.00   4.0000     38.00   0.3000     38.00  -0.2000  
   39.00   4.6000     39.00   3.9000     39.00   0.3000     39.00  -0.1000  
   40.00   4.9000     40.00   3.9000     40.00   0.3000     40.00  -0.1000  
   41.00   4.7000     41.00   4.0000     41.00   0.3000     41.00  -0.1000  
