Date : 2022/09/06 (TUE)
Time : 11:48:27
        Tension 1          Tension 2              Nip 1              Nip 2  
     X        Y         X        Y         X        Y         X        Y    
    0.00   4.9000      0.00   4.8000      0.00   1.7000      0.00   5.5000  
    1.00   4.9000      1.00   4.8000      1.00   1.7000      1.00   5.5000  
    2.00   4.9000      2.00   4.8000      2.00   1.7000      2.00   5.5000  
    3.00   4.9000      3.00   4.9000      3.00   1.9000      3.00   5.0000  
    4.00   4.9000      4.00   4.8000      4.00   1.8000      4.00   4.9000  
    5.00   4.9000      5.00   4.8000      5.00   1.3000      5.00   5.0000  
    6.00   4.9000      6.00   4.7000      6.00   1.5000      6.00   5.1000  
    7.00   4.9000      7.00   4.7000      7.00   1.8000      7.00   4.9000  
    8.00   4.9000      8.00   4.7000      8.00   1.8000      8.00   4.9000  
    9.00   4.9000      9.00   4.7000      9.00   1.8000      9.00   4.9000  
   10.00   4.9000     10.00   4.7000     10.00   1.8000     10.00   4.6000  
   11.00   4.9000     11.00   4.7000     11.00   1.8000     11.00   4.6000  
   12.00   4.9000     12.00   4.7000     12.00   1.8000     12.00   4.6000  
   13.00   4.9000     13.00   4.7000     13.00   1.8000     13.00   4.6000  
   14.00   5.0000     14.00   4.7000     14.00   1.8000     14.00   4.8000  
   15.00   4.9000     15.00   4.7000     15.00   1.8000     15.00   4.8000  
   16.00   4.9000     16.00   4.7000     16.00   1.8000     16.00   4.7000  
   17.00   4.9000     17.00   4.7000     17.00   3.0000     17.00   4.4000  
   18.00   4.9000     18.00   4.7000     18.00   2.9000     18.00   3.7000  
   19.00   4.9000     19.00   4.7000     19.00   2.7000     19.00   3.7000  
   20.00   4.9000     20.00   4.7000     20.00   2.7000     20.00   4.3000  
   21.00   4.9000     21.00   4.7000     21.00   1.7000     21.00   4.1000  
   22.00   4.9000     22.00   4.7000     22.00   1.6000     22.00   4.0000  
   23.00   4.9000     23.00   4.7000     23.00   1.7000     23.00   3.5000  
   24.00   4.9000     24.00   4.7000     24.00   1.5000     24.00   3.6000  
   25.00   4.9000     25.00   4.7000     25.00   1.0000     25.00   3.4000  
   26.00   5.0000     26.00   4.7000     26.00   0.3000     26.00   3.4000  
   27.00   4.9000     27.00   4.7000     27.00   0.8000     27.00   3.8000  
   28.00   4.9000     28.00   4.7000     28.00   0.3000     28.00   4.2000  
   29.00   5.0000     29.00   4.7000     29.00   0.9000     29.00   4.2000  
   30.00   5.0000     30.00   4.7000     30.00   0.9000     30.00   4.1000  
   31.00   4.9000     31.00   4.7000     31.00   1.5000     31.00   4.2000  
   32.00   4.9000     32.00   4.7000     32.00   0.4000     32.00   2.8000  
   33.00   4.9000     33.00   4.7000     33.00   0.4000     33.00   4.0000  
   34.00   4.9000     34.00   4.7000     34.00   1.7000     34.00   4.7000  
   35.00   4.9000     35.00   4.7000     35.00   1.8000     35.00   4.3000  
   36.00   4.9000     36.00   4.7000     36.00   1.6000     36.00   4.2000  
   37.00   4.9000     37.00   4.7000     37.00   2.5000     37.00   2.8000  
   38.00   5.0000     38.00   4.7000     38.00   2.5000     38.00   2.8000  
   39.00   4.9000     39.00   4.7000     39.00   1.8000     39.00   2.9000  
   40.00   4.9000     40.00   4.7000     40.00   2.5000     40.00   3.0000  
   41.00   4.9000     41.00   4.7000     41.00   2.2000     41.00   2.7000  
   42.00   4.9000     42.00   4.7000     42.00   2.1000     42.00   2.9000  
   43.00   4.9000     43.00   4.7000     43.00   1.8000     43.00   2.9000  
   44.00   4.9000     44.00   4.7000     44.00   2.4000     44.00   2.9000  
   45.00   4.9000     45.00   4.7000     45.00   4.0000     45.00   3.0000  
   46.00   4.9000     46.00   4.7000     46.00   2.6000     46.00   2.9000  
   47.00   4.9000     47.00   4.7000     47.00   1.5000     47.00   2.9000  
   48.00   4.9000     48.00   4.7000     48.00   1.5000     48.00   2.7000  
   49.00   4.9000     49.00   4.7000     49.00   1.7000     49.00   2.8000  
   50.00   4.9000     50.00   4.7000     50.00   1.6000     50.00   2.7000  
   51.00   4.9000     51.00   4.7000     51.00   1.6000     51.00   2.8000  
   52.00   5.0000     52.00   4.7000     52.00   1.5000     52.00   2.8000  
   53.00   5.0000     53.00   4.7000     53.00   1.6000     53.00   2.8000  
   54.00   4.9000     54.00   4.7000     54.00   1.6000     54.00   2.7000  
   55.00   4.9000     55.00   4.7000     55.00   1.6000     55.00   2.8000  
   56.00   4.9000     56.00   4.7000     56.00   1.6000     56.00   2.8000  
   57.00   4.9000     57.00   4.7000     57.00   1.6000     57.00   2.9000  
   58.00   4.9000     58.00   4.7000     58.00   1.5000     58.00   2.8000  
   59.00   4.9000     59.00   4.7000     59.00   1.6000     59.00   2.8000  
   60.00   4.9000     60.00   4.7000     60.00   1.6000     60.00   2.8000  
   61.00   4.9000     61.00   4.7000     61.00   1.6000     61.00   2.9000  
   62.00   4.9000     62.00   4.7000     62.00   1.6000     62.00   2.8000  
   63.00   4.9000     63.00   4.7000     63.00   1.5000     63.00   2.7000  
   64.00   5.0000     64.00   4.7000     64.00   1.6000     64.00   2.7000  
   65.00   4.9000     65.00   4.7000     65.00   1.6000     65.00   2.7000  
   66.00   4.9000     66.00   4.7000     66.00   1.6000     66.00   2.8000  
   67.00   4.9000     67.00   4.7000     67.00   1.5000     67.00   2.8000  
   68.00   4.9000     68.00   4.7000     68.00   1.5000     68.00   2.7000  
   69.00   4.9000     69.00   4.7000     69.00   1.5000     69.00   2.8000  
   70.00   5.0000     70.00   4.7000     70.00   1.5000     70.00   2.8000  
   71.00   4.9000     71.00   4.7000     71.00   1.5000     71.00   2.8000  
   72.00   4.9000     72.00   4.7000     72.00   1.9000     72.00   2.8000  
   73.00   4.9000     73.00   4.7000     73.00   2.4000     73.00   2.9000  
   74.00   4.9000     74.00   4.7000     74.00   1.9000     74.00   2.9000  
   75.00   4.9000     75.00   4.7000     75.00   1.9000     75.00   2.9000  
   76.00   4.9000     76.00   4.7000     76.00   2.4000     76.00   3.0000  
   77.00   5.0000     77.00   4.6000     77.00   2.8000     77.00   3.3000  
   78.00   4.9000     78.00   4.7000     78.00   3.0000     78.00   3.5000  
   79.00   4.9000     79.00   4.7000     79.00   3.1000     79.00   3.5000  
   80.00   4.9000     80.00   4.7000     80.00   3.3000     80.00   3.3000  
   81.00   4.9000     81.00   4.7000     81.00   3.4000     81.00   3.4000  
   82.00   4.9000     82.00   4.7000     82.00   3.4000     82.00   3.4000  
   83.00   4.9000     83.00   4.7000     83.00   3.6000     83.00   3.3000  
   84.00   4.9000     84.00   4.7000     84.00   3.6000     84.00   3.3000  
   85.00   4.9000     85.00   4.7000     85.00   3.7000     85.00   3.4000  
   86.00   4.9000     86.00   4.7000     86.00   3.7000     86.00   3.5000  
   87.00   5.0000     87.00   4.7000     87.00   3.6000     87.00   3.4000  
   88.00   4.9000     88.00   4.7000     88.00   3.6000     88.00   3.5000  
   89.00   4.9000     89.00   4.6000     89.00   3.3000     89.00   3.3000  
   90.00   4.9000     90.00   4.7000     90.00   2.6000     90.00   3.1000  
   91.00   4.9000     91.00   4.7000     91.00   2.3000     91.00   2.9000  
   92.00   4.9000     92.00   4.7000     92.00   2.3000     92.00   2.9000  
   93.00   4.9000     93.00   4.7000     93.00   2.1000     93.00   2.9000  
   94.00   4.9000     94.00   4.7000     94.00   2.3000     94.00   3.0000  
   95.00   4.9000     95.00   4.7000     95.00   2.9000     95.00   3.0000  
   96.00   4.9000     96.00   4.7000     96.00   3.2000     96.00   3.0000  
   97.00   4.9000     97.00   4.7000     97.00   3.5000     97.00   3.0000  
   98.00   5.0000     98.00   4.7000     98.00   3.4000     98.00   3.1000  
   99.00   4.9000     99.00   4.7000     99.00   3.5000     99.00   3.2000  
  100.00   5.0000    100.00   4.7000    100.00   3.4000    100.00   3.3000  
  101.00   4.9000    101.00   4.7000    101.00   3.1000    101.00   3.4000  
  102.00   4.9000    102.00   4.7000    102.00   3.1000    102.00   3.4000  
  103.00   4.9000    103.00   4.7000    103.00   3.1000    103.00   3.5000  
  104.00   4.9000    104.00   4.7000    104.00   3.2000    104.00   3.5000  
  105.00   4.9000    105.00   4.7000    105.00   3.2000    105.00   3.6000  
  106.00   4.9000    106.00   4.7000    106.00   3.2000    106.00   3.6000  
  107.00   4.9000    107.00   4.7000    107.00   3.5000    107.00   3.6000  
  108.00   4.9000    108.00   4.7000    108.00   3.3000    108.00   3.6000  
  109.00   4.9000    109.00   4.7000    109.00   3.4000    109.00   3.7000  
  110.00   4.9000    110.00   4.7000    110.00   3.3000    110.00   3.7000  
  111.00   4.9000    111.00   4.7000    111.00   3.3000    111.00   3.7000  
  112.00   4.9000    112.00   4.8000    112.00   3.2000    112.00   3.6000  
  113.00   4.9000    113.00   4.8000    113.00   3.4000    113.00   3.6000  
  114.00   4.9000    114.00   4.8000    114.00   3.2000    114.00   3.6000  
  115.00   4.9000    115.00   4.8000    115.00   3.4000    115.00   3.7000  
  116.00   4.9000    116.00   4.8000    116.00   3.3000    116.00   3.7000  
  117.00   4.9000    117.00   4.8000    117.00   3.1000    117.00   3.7000  
  118.00   4.9000    118.00   4.8000    118.00   2.9000    118.00   3.6000  
  119.00   4.9000    119.00   4.7000    119.00   2.9000    119.00   3.6000  
  120.00   4.9000    120.00   4.7000    120.00   2.9000    120.00   3.3000  
  121.00   4.9000    121.00   4.7000    121.00   2.9000    121.00   3.2000  
  122.00   5.0000    122.00   4.6000    122.00   3.0000    122.00   3.1000  
  123.00   4.9000    123.00   4.7000    123.00   3.3000    123.00   3.2000  
  124.00   4.9000    124.00   4.7000    124.00   3.2000    124.00   3.2000  
  125.00   4.9000    125.00   4.7000    125.00   3.2000    125.00   3.3000  
  126.00   4.9000    126.00   4.7000    126.00   3.1000    126.00   3.3000  
  127.00   4.9000    127.00   4.6000    127.00   3.1000    127.00   3.2000  
  128.00   4.9000    128.00   4.7000    128.00   3.3000    128.00   3.2000  
  129.00   4.9000    129.00   4.8000    129.00   3.4000    129.00   3.2000  
  130.00   4.9000    130.00   4.8000    130.00   3.4000    130.00   3.3000  
  131.00   4.9000    131.00   4.7000    131.00   3.4000    131.00   3.3000  
  132.00   4.9000    132.00   4.7000    132.00   3.4000    132.00   3.3000  
  133.00   4.9000    133.00   4.7000    133.00   3.1000    133.00   3.4000  
  134.00   4.9000    134.00   4.7000    134.00   3.2000    134.00   3.5000  
  135.00   5.0000    135.00   4.7000    135.00   3.1000    135.00   3.5000  
  136.00   4.9000    136.00   4.7000    136.00   3.1000    136.00   3.6000  
  137.00   4.9000    137.00   4.7000    137.00   3.3000    137.00   3.6000  
  138.00   4.9000    138.00   4.7000    138.00   3.2000    138.00   3.5000  
  139.00   4.9000    139.00   4.7000    139.00   3.2000    139.00   3.5000  
  140.00   4.9000    140.00   4.7000    140.00   3.3000    140.00   3.4000  
  141.00   4.9000    141.00   4.7000    141.00   3.1000    141.00   3.5000  
  142.00   4.9000    142.00   4.7000    142.00   2.8000    142.00   3.3000  
  143.00   4.9000    143.00   4.7000    143.00   3.0000    143.00   3.4000  
  144.00   4.9000    144.00   4.7000    144.00   3.2000    144.00   3.4000  
  145.00   5.0000    145.00   4.7000    145.00   3.2000    145.00   3.6000  
  146.00   5.0000    146.00   4.7000    146.00   3.1000    146.00   3.6000  
  147.00   5.0000    147.00   4.7000    147.00   3.1000    147.00   3.6000  
  148.00   5.0000    148.00   4.7000    148.00   3.3000    148.00   3.5000  
  149.00   4.9000    149.00   4.7000    149.00   3.2000    149.00   3.4000  
  150.00   4.9000    150.00   4.7000    150.00   3.4000    150.00   3.4000  
  151.00   4.9000    151.00   4.7000    151.00   3.2000    151.00   3.6000  
  152.00   4.9000    152.00   4.7000    152.00   3.2000    152.00   3.7000  
  153.00   4.9000    153.00   4.7000    153.00   3.3000    153.00   3.7000  
  154.00   4.9000    154.00   4.7000    154.00   3.3000    154.00   3.7000  
  155.00   4.9000    155.00   4.7000    155.00   3.3000    155.00   3.6000  
  156.00   4.9000    156.00   4.7000    156.00   3.4000    156.00   3.4000  
  157.00   4.9000    157.00   4.7000    157.00   3.6000    157.00   3.4000  
  158.00   4.9000    158.00   4.7000    158.00   3.6000    158.00   3.4000  
  159.00   4.9000    159.00   4.7000    159.00   3.4000    159.00   3.4000  
  160.00   4.9000    160.00   4.6000    160.00   3.4000    160.00   3.6000  
  161.00   4.9000    161.00   4.7000    161.00   3.3000    161.00   3.6000  
  162.00   4.9000    162.00   4.7000    162.00   3.4000    162.00   3.7000  
  163.00   4.9000    163.00   4.7000    163.00   3.4000    163.00   3.7000  
  164.00   4.9000    164.00   4.7000    164.00   3.3000    164.00   3.7000  
  165.00   4.9000    165.00   4.7000    165.00   3.2000    165.00   3.6000  
  166.00   4.9000    166.00   4.7000    166.00   3.2000    166.00   3.6000  
  167.00   4.9000    167.00   4.7000    167.00   3.0000    167.00   3.6000  
  168.00   4.9000    168.00   4.7000    168.00   2.8000    168.00   3.5000  
  169.00   4.9000    169.00   4.7000    169.00   2.3000    169.00   3.5000  
  170.00   4.9000    170.00   4.7000    170.00   3.1000    170.00   3.4000  
  171.00   4.9000    171.00   4.7000    171.00   3.1000    171.00   3.4000  
  172.00   4.9000    172.00   4.7000    172.00   2.8000    172.00   3.8000  
  173.00   4.9000    173.00   4.7000    173.00   3.0000    173.00   3.5000  
  174.00   4.9000    174.00   4.7000    174.00   3.8000    174.00   3.3000  
  175.00   4.8000    175.00   4.7000    175.00   2.6000    175.00   3.0000  
  176.00   4.9000    176.00   4.7000    176.00   1.9000    176.00   3.0000  
  177.00   4.9000    177.00   4.7000    177.00   1.5000    177.00   2.9000  
  178.00   4.9000    178.00   4.7000    178.00   1.6000    178.00   3.0000  
  179.00   4.9000    179.00   4.7000    179.00   1.7000    179.00   3.1000  
  180.00   4.9000    180.00   4.7000    180.00   1.7000    180.00   3.1000  
  181.00   4.9000    181.00   4.7000    181.00   2.3000    181.00   3.0000  
  182.00   4.9000    182.00   4.7000    182.00   2.5000    182.00   2.6000  
  183.00   4.9000    183.00   4.7000    183.00   2.0000    183.00   2.7000  
  184.00   4.9000    184.00   4.7000    184.00   1.9000    184.00   2.8000  
  185.00   4.9000    185.00   4.7000    185.00   1.6000    185.00   2.8000  
  186.00   4.9000    186.00   4.7000    186.00   1.8000    186.00   3.0000  
  187.00   4.9000    187.00   4.7000    187.00   1.6000    187.00   3.1000  
  188.00   4.9000    188.00   4.7000    188.00   1.5000    188.00   3.1000  
  189.00   4.9000    189.00   4.7000    189.00   1.5000    189.00   3.0000  
  190.00   4.9000    190.00   4.7000    190.00   1.1000    190.00   3.1000  
  191.00   4.9000    191.00   4.7000    191.00   1.1000    191.00   3.1000  
  192.00   4.9000    192.00   4.7000    192.00   1.5000    192.00   3.0000  
  193.00   4.9000    193.00   4.7000    193.00   1.7000    193.00   3.0000  
  194.00   4.9000    194.00   4.7000    194.00   1.9000    194.00   3.0000  
  195.00   4.9000    195.00   4.7000    195.00   1.9000    195.00   3.0000  
  196.00   4.9000    196.00   4.7000    196.00   1.4000    196.00   3.0000  
  197.00   4.9000    197.00   4.7000    197.00   1.3000    197.00   3.0000  
  198.00   4.9000    198.00   4.7000    198.00   2.0000    198.00   2.9000  
  199.00   4.9000    199.00   4.7000    199.00   2.4000    199.00   3.0000  
  200.00   4.9000    200.00   4.7000    200.00   1.2000    200.00   3.0000  
  201.00   4.9000    201.00   4.7000    201.00   1.2000    201.00   3.0000  
  202.00   4.9000    202.00   4.7000    202.00   1.4000    202.00   2.7000  
  203.00   4.9000    203.00   4.7000    203.00   1.7000    203.00   2.8000  
  204.00   4.9000    204.00   4.7000    204.00   1.8000    204.00   2.8000  
  205.00   4.9000    205.00   4.7000    205.00   2.3000    205.00   2.8000  
  206.00   4.9000    206.00   4.7000    206.00   2.9000    206.00   2.3000  
  207.00   4.9000    207.00   4.7000    207.00   2.7000    207.00   2.9000  
  208.00   4.9000    208.00   4.7000    208.00   1.9000    208.00   2.6000  
  209.00   4.9000    209.00   4.7000    209.00   1.9000    209.00   2.6000  
