Date : 2022/09/08 (THU)
Time : 10:05:04
   Film : Pattern         Review Cam  
     X        Y         X        Y    
    0.00  0.40706      0.00  0.00000  
    1.00  0.16340      1.00  0.00000  
    2.00  0.02878      2.00  0.00000  
    3.00  0.10364      3.00  0.00000  
    4.00  0.10736      4.00  0.00000  
    5.00 -0.03343      5.00  0.00000  
    6.00 -0.03327      6.00  0.00000  
    7.00 -0.01562      7.00  0.00000  
    8.00  0.00853      8.00  0.00000  
    9.00  0.02496      9.00  0.00000  
   10.00  0.01117     10.00  0.00000  
   11.00  0.00886     11.00  0.00000  
   12.00 -0.00475     12.00  0.00000  
   13.00  0.00000     13.00  0.00000  
   14.00  0.01095     14.00  0.00000  
   15.00  0.00661     15.00  0.00000  
   16.00  0.00354     16.00  0.00000  
   17.00  0.00000     17.00  0.00000  
   18.00  0.00000     18.00  0.00000  
   19.00 -0.00662     19.00  0.00000  
   20.00  0.00000     20.00  0.00000  
   21.00  0.00000     21.00  0.00000  
   22.00  0.00582     22.00  0.00000  
   23.00  0.00000     23.00  0.00000  
   24.00  0.01454     24.00  0.00000  
   25.00  0.00000     25.00  0.00000  
   26.00  0.00000     26.00  0.00000  
   27.00  0.00679     27.00  0.00000  
   28.00  0.00000     28.00  0.00000  
   29.00 -0.01354     29.00  0.00000  
   30.00 -0.01049     30.00  0.00000  
   31.00 -0.01461     31.00  0.00000  
   32.00 -0.00972     32.00  0.00000  
   33.00  0.00000     33.00  0.00000  
   34.00 -0.00344     34.00  0.00000  
   35.00  0.00000     35.00  0.00000  
   36.00  0.00000     36.00  0.00000  
   37.00  0.00986     37.00  0.00000  
   38.00  0.00000     38.00  0.00000  
   39.00  0.00000     39.00  0.00000  
   40.00  0.00328     40.00  0.00000  
   41.00 -0.00371     41.00  0.00000  
   42.00 -0.00368     42.00  0.00000  
   43.00  0.01309     43.00  0.00000  
   44.00  0.00708     44.00  0.00000  
   45.00  0.01398     45.00  0.00000  
   46.00  0.00399     46.00  0.00000  
   47.00  0.00000     47.00  0.00000  
   48.00  0.00603     48.00  0.00000  
   49.00 -0.01402     49.00  0.00000  
   50.00 -0.01106     50.00  0.00000  
   51.00 -0.00758     51.00  0.00000  
   52.00  0.00000     52.00  0.00000  
   53.00  0.01176     53.00  0.00000  
   54.00  0.00000     54.00  0.00000  
   55.00  0.00546     55.00  0.00000  
   56.00  0.00822     56.00  0.00000  
   57.00 -0.00559     57.00  0.00000  
   58.00 -0.00819     58.00  0.00000  
   59.00 -0.00434     59.00  0.00000  
   60.00  0.00874     60.00  0.00000  
   61.00  0.00000     61.00  0.00000  
   62.00  0.00000     62.00  0.00000  
   63.00  0.00000     63.00  0.00000  
   64.00  0.00000     64.00  0.00000  
   65.00 -0.00423     65.00  0.00000  
   66.00  0.00663     66.00  0.00000  
   67.00  0.02376     67.00  0.00000  
   68.00  0.00685     68.00  0.00000  
   69.00  0.00497     69.00  0.00000  
   70.00  0.00592     70.00  0.00000  
   71.00  0.00000     71.00  0.00000  
   72.00 -0.00453     72.00  0.00000  
   73.00 -0.00587     73.00  0.00000  
   74.00  0.01325     74.00  0.00000  
   75.00  0.00582     75.00  0.00000  
   76.00  0.00945     76.00  0.00000  
   77.00  0.00000     77.00  0.00000  
   78.00  0.00000     78.00  0.00000  
   79.00 -0.00683     79.00  0.00000  
   80.00  0.00319     80.00  0.00000  
   81.00  0.00000     81.00  0.00000  
   82.00 -0.04606     82.00  0.00000  
   83.00 -0.03407     83.00  0.00000  
   84.00 -0.00333     84.00  0.00000  
   85.00  0.02408     85.00  0.00000  
   86.00  0.03074     86.00  0.00000  
   87.00  0.00000     87.00  0.00000  
   88.00 -0.01091     88.00  0.00000  
   89.00 -0.00465     89.00  0.00000  
   90.00  0.00000     90.00  0.00000  
   91.00 -0.00549     91.00  0.00000  
   92.00 -0.00695     92.00  0.00000  
   93.00  0.00428     93.00  0.00000  
   94.00  0.00773     94.00  0.00000  
   95.00  0.00387     95.00  0.00000  
   96.00 -0.00858     96.00  0.00000  
   97.00 -0.00659     97.00  0.00000  
   98.00 -0.00818     98.00  0.00000  
   99.00 -0.01458     99.00  0.00000  
  100.00 -0.01728    100.00  0.00000  
  101.00  0.00856    101.00  0.00000  
  102.00  0.02183    102.00  0.00000  
  103.00  0.00771    103.00  0.00000  
  104.00 -0.00366    104.00  0.00000  
  105.00 -0.00612    105.00  0.00000  
  106.00 -0.00494    106.00  0.00000  
  107.00 -0.00851    107.00  0.00000  
  108.00 -0.01399    108.00  0.00000  
  109.00  0.00000    109.00  0.00000  
  110.00  0.01200    110.00  0.00000  
  111.00  0.00690    111.00  0.00000  
  112.00  0.00000    112.00  0.00000  
  113.00 -0.00724    113.00  0.00000  
  114.00  0.00000    114.00  0.00000  
  115.00 -0.00722    115.00  0.00000  
  116.00  0.00000    116.00  0.00000  
  117.00  0.01044    117.00  0.00000  
  118.00  0.01194    118.00  0.00000  
  119.00  0.00000    119.00  0.00000  
  120.00  0.00000    120.00  0.00000  
  121.00  0.00504    121.00  0.00000  
  122.00  0.00000    122.00  0.00000  
  123.00 -0.00848    123.00  0.00000  
  124.00 -0.00535    124.00  0.00000  
  125.00  0.00507    125.00  0.00000  
  126.00  0.00799    126.00  0.00000  
  127.00  0.00945    127.00  0.00000  
  128.00  0.00000    128.00  0.00000  
  129.00  0.00418    129.00  0.00000  
  130.00  0.00000    130.00  0.00000  
  131.00 -0.00570    131.00  0.00000  
  132.00 -0.00971    132.00  0.00000  
  133.00  0.00000    133.00  0.00000  
  134.00  0.01228    134.00  0.00000  
  135.00  0.00672    135.00  0.00000  
  136.00  0.00000    136.00  0.00000  
  137.00  0.00000    137.00  0.00000  
  138.00 -0.00484    138.00  0.00000  
  139.00 -0.01212    139.00  0.00000  
  140.00 -0.01122    140.00  0.00000  
  141.00  0.00805    141.00  0.00000  
  142.00  0.01271    142.00  0.00000  
  143.00  0.00656    143.00  0.00000  
  144.00  0.00821    144.00  0.00000  
  145.00  0.01343    145.00  0.00000  
  146.00  0.00000    146.00  0.00000  
  147.00 -0.01104    147.00  0.00000  
  148.00 -0.01431    148.00  0.00000  
  149.00  0.00450    149.00  0.00000  
  150.00  0.01014    150.00  0.00000  
  151.00  0.02062    151.00  0.00000  
  152.00  0.00752    152.00  0.00000  
  153.00 -0.00630    153.00  0.00000  
  154.00 -0.01259    154.00  0.00000  
  155.00  0.00479    155.00  0.00000  
  156.00  0.00950    156.00  0.00000  
  157.00  0.00000    157.00  0.00000  
  158.00  0.00000    158.00  0.00000  
  159.00  0.00000    159.00  0.00000  
  160.00  0.00000    160.00  0.00000  
  161.00  0.00000    161.00  0.00000  
  162.00  0.00000    162.00  0.00000  
  163.00 -0.01005    163.00  0.00000  
  164.00 -0.01136    164.00  0.00000  
  165.00  0.00417    165.00  0.00000  
  166.00  0.01421    166.00  0.00000  
  167.00  0.00000    167.00  0.00000  
  168.00 -0.00467    168.00  0.00000  
  169.00  0.00000    169.00  0.00000  
  170.00  0.00000    170.00  0.00000  
  171.00 -0.00404    171.00  0.00000  
  172.00 -0.00693    172.00  0.00000  
  173.00  0.00451    173.00  0.00000  
  174.00  0.01059    174.00  0.00000  
  175.00  0.00995    175.00  0.00000  
  176.00  0.00399    176.00  0.00000  
  177.00  0.00000    177.00  0.00000  
  178.00 -0.00918    178.00  0.00000  
  179.00 -0.01460    179.00  0.00000  
  180.00 -0.00873    180.00  0.00000  
  181.00  0.00331    181.00  0.00000  
  182.00  0.01223    182.00  0.00000  
  183.00  0.00615    183.00  0.00000  
  184.00  0.00000    184.00  0.00000  
  185.00  0.00000    185.00  0.00000  
  186.00  0.00000    186.00  0.00000  
  187.00 -0.00547    187.00  0.00000  
  188.00 -0.01097    188.00  0.00000  
  189.00  0.00000    189.00  0.00000  
  190.00  0.00655    190.00  0.00000  
  191.00  0.00382    191.00  0.00000  
  192.00 -0.00311    192.00  0.00000  
  193.00  0.00000    193.00  0.00000  
  194.00  0.00000    194.00  0.00000  
