Date : 2022/09/08 (THU)
Time : 10:05:08
   Film : Pattern         Review Cam  
     X        Y         X        Y    
    0.00  0.63472      0.00  0.00000  
    1.00  0.62650      1.00  0.00000  
    2.00  0.49522      2.00  0.00000  
    3.00  0.34867      3.00  0.00000  
    4.00  0.18220      4.00  0.00000  
    5.00 -0.09715      5.00  0.00000  
    6.00 -0.18722      6.00  0.00000  
    7.00 -0.24581      7.00  0.00000  
    8.00 -0.23109      8.00  0.00000  
    9.00 -0.23104      9.00  0.00000  
   10.00 -0.22083     10.00  0.00000  
   11.00 -0.23064     11.00  0.00000  
   12.00 -0.21197     12.00  0.00000  
   13.00 -0.20717     13.00  0.00000  
   14.00 -0.21002     14.00  0.00000  
   15.00 -0.19143     15.00  0.00000  
   16.00 -0.20145     16.00  0.00000  
   17.00 -0.19432     17.00  0.00000  
   18.00 -0.21124     18.00  0.00000  
   19.00 -0.17770     19.00  0.00000  
   20.00 -0.17727     20.00  0.00000  
   21.00 -0.17229     21.00  0.00000  
   22.00 -0.18935     22.00  0.00000  
   23.00 -0.19161     23.00  0.00000  
   24.00 -0.21521     24.00  0.00000  
   25.00 -0.18864     25.00  0.00000  
   26.00 -0.19694     26.00  0.00000  
   27.00 -0.25033     27.00  0.00000  
   28.00 -0.12668     28.00  0.00000  
   29.00 -0.09776     29.00  0.00000  
   30.00 -0.13027     30.00  0.00000  
   31.00 -0.16724     31.00  0.00000  
   32.00 -0.16999     32.00  0.00000  
   33.00 -0.18870     33.00  0.00000  
   34.00 -0.17678     34.00  0.00000  
   35.00 -0.18897     35.00  0.00000  
   36.00 -0.18221     36.00  0.00000  
   37.00 -0.20223     37.00  0.00000  
   38.00 -0.20977     38.00  0.00000  
   39.00 -0.19760     39.00  0.00000  
   40.00 -0.20633     40.00  0.00000  
   41.00 -0.19830     41.00  0.00000  
   42.00 -0.19712     42.00  0.00000  
   43.00 -0.21100     43.00  0.00000  
   44.00 -0.19366     44.00  0.00000  
   45.00 -0.20994     45.00  0.00000  
   46.00 -0.19816     46.00  0.00000  
   47.00 -0.19522     47.00  0.00000  
   48.00 -0.19853     48.00  0.00000  
   49.00 -0.20698     49.00  0.00000  
   50.00 -0.20426     50.00  0.00000  
   51.00 -0.19270     51.00  0.00000  
   52.00 -0.19753     52.00  0.00000  
   53.00 -0.19115     53.00  0.00000  
   54.00 -0.19635     54.00  0.00000  
   55.00 -0.18862     55.00  0.00000  
   56.00 -0.18258     56.00  0.00000  
   57.00 -0.19043     57.00  0.00000  
   58.00 -0.18383     58.00  0.00000  
   59.00 -0.18758     59.00  0.00000  
   60.00 -0.19627     60.00  0.00000  
   61.00 -0.19884     61.00  0.00000  
   62.00 -0.19435     62.00  0.00000  
   63.00 -0.20499     63.00  0.00000  
   64.00 -0.18305     64.00  0.00000  
   65.00 -0.18927     65.00  0.00000  
   66.00 -0.18813     66.00  0.00000  
   67.00 -0.19722     67.00  0.00000  
   68.00 -0.19713     68.00  0.00000  
   69.00 -0.18808     69.00  0.00000  
   70.00 -0.19593     70.00  0.00000  
   71.00 -0.18318     71.00  0.00000  
   72.00 -0.19230     72.00  0.00000  
   73.00 -0.17137     73.00  0.00000  
   74.00 -0.18847     74.00  0.00000  
   75.00 -0.19348     75.00  0.00000  
   76.00 -0.19376     76.00  0.00000  
   77.00 -0.18899     77.00  0.00000  
   78.00 -0.19015     78.00  0.00000  
   79.00 -0.18646     79.00  0.00000  
   80.00 -0.20059     80.00  0.00000  
   81.00 -0.19237     81.00  0.00000  
   82.00 -0.29213     82.00  0.00000  
   83.00 -0.26650     83.00  0.00000  
   84.00 -0.25366     84.00  0.00000  
   85.00 -0.23427     85.00  0.00000  
   86.00 -0.23660     86.00  0.00000  
   87.00 -0.21868     87.00  0.00000  
   88.00 -0.20751     88.00  0.00000  
   89.00 -0.19548     89.00  0.00000  
   90.00 -0.20393     90.00  0.00000  
   91.00 -0.19181     91.00  0.00000  
   92.00 -0.19787     92.00  0.00000  
   93.00 -0.18808     93.00  0.00000  
   94.00 -0.20010     94.00  0.00000  
   95.00 -0.19451     95.00  0.00000  
   96.00 -0.20272     96.00  0.00000  
   97.00 -0.19852     97.00  0.00000  
   98.00 -0.19523     98.00  0.00000  
   99.00 -0.18835     99.00  0.00000  
  100.00 -0.18827    100.00  0.00000  
  101.00 -0.18487    101.00  0.00000  
  102.00 -0.19706    102.00  0.00000  
  103.00 -0.18663    103.00  0.00000  
  104.00 -0.19724    104.00  0.00000  
  105.00 -0.19586    105.00  0.00000  
  106.00 -0.20090    106.00  0.00000  
  107.00 -0.18961    107.00  0.00000  
  108.00 -0.18772    108.00  0.00000  
  109.00 -0.18188    109.00  0.00000  
  110.00 -0.19294    110.00  0.00000  
  111.00 -0.19072    111.00  0.00000  
  112.00 -0.19879    112.00  0.00000  
  113.00 -0.19622    113.00  0.00000  
  114.00 -0.19432    114.00  0.00000  
  115.00 -0.43905    115.00  0.00000  
  116.00 -0.39736    116.00  0.00000  
  117.00 -0.31744    117.00  0.00000  
  118.00 -0.28301    118.00  0.00000  
  119.00 -0.24559    119.00  0.00000  
  120.00 -0.23151    120.00  0.00000  
  121.00 -0.21332    121.00  0.00000  
  122.00 -0.20788    122.00  0.00000  
  123.00 -0.19228    123.00  0.00000  
  124.00 -0.19311    124.00  0.00000  
  125.00 -0.17243    125.00  0.00000  
  126.00 -0.19267    126.00  0.00000  
  127.00 -0.19071    127.00  0.00000  
  128.00 -0.18812    128.00  0.00000  
  129.00 -0.18406    129.00  0.00000  
  130.00 -0.18685    130.00  0.00000  
  131.00 -0.17515    131.00  0.00000  
  132.00 -0.17324    132.00  0.00000  
  133.00 -0.16953    133.00  0.00000  
  134.00 -0.19129    134.00  0.00000  
  135.00 -0.18081    135.00  0.00000  
  136.00 -0.18892    136.00  0.00000  
  137.00 -0.19276    137.00  0.00000  
  138.00 -0.19189    138.00  0.00000  
  139.00 -0.17863    139.00  0.00000  
  140.00 -0.17064    140.00  0.00000  
  141.00 -0.17068    141.00  0.00000  
  142.00 -0.19088    142.00  0.00000  
  143.00 -0.17915    143.00  0.00000  
  144.00 -0.19162    144.00  0.00000  
  145.00 -0.18114    145.00  0.00000  
  146.00 -0.19450    146.00  0.00000  
  147.00 -0.17379    147.00  0.00000  
  148.00 -0.18490    148.00  0.00000  
  149.00 -0.17739    149.00  0.00000  
  150.00 -0.18730    150.00  0.00000  
  151.00 -0.18559    151.00  0.00000  
  152.00 -0.17248    152.00  0.00000  
  153.00 -0.17097    153.00  0.00000  
  154.00 -0.18558    154.00  0.00000  
  155.00 -0.16955    155.00  0.00000  
  156.00 -0.19991    156.00  0.00000  
  157.00 -0.18300    157.00  0.00000  
  158.00 -0.19972    158.00  0.00000  
  159.00 -0.20093    159.00  0.00000  
  160.00 -0.19575    160.00  0.00000  
  161.00 -0.18753    161.00  0.00000  
  162.00 -0.19191    162.00  0.00000  
  163.00 -0.19020    163.00  0.00000  
  164.00 -0.18583    164.00  0.00000  
  165.00 -0.17573    165.00  0.00000  
  166.00 -0.19913    166.00  0.00000  
  167.00 -0.18997    167.00  0.00000  
  168.00 -0.18705    168.00  0.00000  
  169.00 -0.18027    169.00  0.00000  
  170.00 -0.18971    170.00  0.00000  
  171.00 -0.17311    171.00  0.00000  
  172.00 -0.18727    172.00  0.00000  
  173.00 -0.17538    173.00  0.00000  
  174.00 -0.19069    174.00  0.00000  
  175.00 -0.19113    175.00  0.00000  
  176.00 -0.19409    176.00  0.00000  
  177.00 -0.18140    177.00  0.00000  
  178.00 -0.19433    178.00  0.00000  
  179.00 -0.18014    179.00  0.00000  
  180.00 -0.17950    180.00  0.00000  
  181.00 -0.16921    181.00  0.00000  
  182.00 -0.19067    182.00  0.00000  
  183.00 -0.18788    183.00  0.00000  
  184.00 -0.19434    184.00  0.00000  
  185.00 -0.18960    185.00  0.00000  
  186.00 -0.19549    186.00  0.00000  
  187.00 -0.18544    187.00  0.00000  
  188.00 -0.18359    188.00  0.00000  
  189.00 -0.16974    189.00  0.00000  
  190.00 -0.19264    190.00  0.00000  
  191.00 -0.18664    191.00  0.00000  
  192.00 -0.18967    192.00  0.00000  
  193.00 -0.18481    193.00  0.00000  
  194.00 -0.19284    194.00  0.00000  
  195.00 -0.18230    195.00  0.00000  
  196.00 -0.18249    196.00  0.00000  
  197.00 -0.17632    197.00  0.00000  
  198.00 -0.18827    198.00  0.00000  
  199.00 -0.18249    199.00  0.00000  
  200.00 -0.18459    200.00  0.00000  
  201.00 -0.18133    201.00  0.00000  
  202.00 -0.18693    202.00  0.00000  
  203.00 -0.17521    203.00  0.00000  
  204.00 -0.17319    204.00  0.00000  
  205.00 -0.17700    205.00  0.00000  
  206.00 -0.18479    206.00  0.00000  
  207.00 -0.19589    207.00  0.00000  
  208.00 -0.18787    208.00  0.00000  
  209.00 -0.18334    209.00  0.00000  
  210.00 -0.19119    210.00  0.00000  
  211.00 -0.17619    211.00  0.00000  
  212.00 -0.18172    212.00  0.00000  
  213.00 -0.16710    213.00  0.00000  
  214.00 -0.17944    214.00  0.00000  
  215.00 -0.18097    215.00  0.00000  
  216.00 -0.17358    216.00  0.00000  
  217.00 -0.17312    217.00  0.00000  
