Date : 2022/09/08 (THU)
Time : 10:05:18
         UnWinder        OutFeeder 1        OutFeeder 2  
     X        Y         X        Y         X        Y    
    0.00     5.60      0.00     4.10      0.00     3.00  
    1.00     5.70      1.00     4.10      1.00     3.00  
    2.00     5.80      2.00     3.70      2.00     2.70  
    3.00     5.80      3.00     4.10      3.00     3.00  
    4.00     5.90      4.00     3.90      4.00     3.00  
    5.00     5.90      5.00     4.10      5.00     2.90  
    6.00     5.90      6.00     4.10      6.00     2.80  
    7.00     5.90      7.00     4.20      7.00     2.80  
    8.00     5.90      8.00     4.10      8.00     2.80  
    9.00     5.90      9.00     4.20      9.00     2.90  
   10.00     6.00     10.00     4.20     10.00     3.10  
   11.00     5.90     11.00     4.10     11.00     3.00  
   12.00     6.00     12.00     3.90     12.00     2.90  
   13.00     5.90     13.00     4.00     13.00     3.00  
   14.00     5.90     14.00     3.90     14.00     3.00  
   15.00     5.90     15.00     4.10     15.00     3.00  
   16.00     5.80     16.00     4.10     16.00     3.00  
   17.00     5.60     17.00     4.20     17.00     2.90  
   18.00     5.80     18.00     4.10     18.00     2.80  
   19.00     5.90     19.00     4.10     19.00     2.80  
   20.00     5.80     20.00     4.10     20.00     3.00  
   21.00     5.70     21.00     4.00     21.00     3.00  
   22.00     5.50     22.00     4.10     22.00     3.00  
   23.00     5.50     23.00     4.10     23.00     3.10  
   24.00     5.40     24.00     3.90     24.00     3.10  
   25.00     5.40     25.00     3.80     25.00     3.00  
   26.00     5.70     26.00     3.90     26.00     2.80  
   27.00     5.80     27.00     4.00     27.00     2.80  
   28.00     5.50     28.00     4.00     28.00     2.70  
   29.00     5.50     29.00     4.00     29.00     2.70  
   30.00     5.70     30.00     4.00     30.00     2.70  
   31.00     5.50     31.00     3.90     31.00     2.90  
   32.00     5.60     32.00     3.90     32.00     3.00  
   33.00     5.50     33.00     3.90     33.00     3.00  
   34.00     5.50     34.00     4.00     34.00     3.00  
   35.00     5.50     35.00     4.00     35.00     3.00  
   36.00     5.40     36.00     4.10     36.00     2.90  
   37.00     5.50     37.00     4.10     37.00     2.90  
   38.00     5.50     38.00     4.10     38.00     3.00  
   39.00     5.60     39.00     3.90     39.00     2.60  
   40.00     5.80     40.00     4.10     40.00     3.00  
   41.00     5.90     41.00     4.10     41.00     3.00  
   42.00     5.90     42.00     4.10     42.00     3.00  
   43.00     5.90     43.00     4.00     43.00     3.10  
   44.00     5.90     44.00     4.00     44.00     3.00  
   45.00     5.90     45.00     4.00     45.00     3.10  
   46.00     5.90     46.00     4.00     46.00     3.00  
   47.00     5.90     47.00     4.10     47.00     2.90  
   48.00     5.90     48.00     4.10     48.00     2.80  
   49.00     5.90     49.00     4.10     49.00     2.90  
   50.00     5.90     50.00     4.10     50.00     2.90  
   51.00     5.80     51.00     4.10     51.00     3.00  
   52.00     5.50     52.00     4.10     52.00     3.00  
   53.00     5.90     53.00     4.10     53.00     3.10  
   54.00     5.90     54.00     3.90     54.00     3.10  
   55.00     5.90     55.00     4.00     55.00     3.10  
   56.00     5.90     56.00     4.00     56.00     3.00  
   57.00     5.90     57.00     4.20     57.00     2.90  
   58.00     5.70     58.00     3.80     58.00     2.50  
   59.00     5.50     59.00     4.10     59.00     3.00  
   60.00     5.50     60.00     4.10     60.00     3.00  
   61.00     5.50     61.00     4.10     61.00     3.00  
   62.00     5.40     62.00     4.10     62.00     3.00  
   63.00     5.40     63.00     4.00     63.00     3.10  
   64.00     5.40     64.00     4.00     64.00     3.10  
   65.00     5.30     65.00     4.00     65.00     3.10  
   66.00     5.70     66.00     4.10     66.00     2.90  
   67.00     5.90     67.00     4.10     67.00     2.90  
   68.00     5.50     68.00     4.10     68.00     2.90  
   69.00     5.40     69.00     4.10     69.00     2.90  
   70.00     5.40     70.00     4.10     70.00     2.90  
   71.00     5.60     71.00     4.10     71.00     3.00  
   72.00     5.70     72.00     4.20     72.00     3.10  
   73.00     5.50     73.00     4.10     73.00     3.10  
   74.00     5.50     74.00     4.00     74.00     3.10  
   75.00     5.70     75.00     3.90     75.00     3.00  
   76.00     5.70     76.00     4.00     76.00     3.00  
   77.00     5.80     77.00     4.20     77.00     2.90  
   78.00     5.80     78.00     4.10     78.00     2.80  
   79.00     5.80     79.00     4.10     79.00     2.90  
   80.00     5.90     80.00     4.10     80.00     2.80  
   81.00     5.90     81.00     4.10     81.00     2.90  
   82.00     5.90     82.00     4.10     82.00     3.00  
   83.00     5.90     83.00     4.10     83.00     3.10  
   84.00     5.90     84.00     4.10     84.00     3.10  
