Date : 2022/09/08 (THU)
Time : 10:05:39
        Tension 1          Tension 2              Nip 1              Nip 2  
     X        Y         X        Y         X        Y         X        Y    
    0.00   5.5000      0.00   4.9000      0.00   4.6000      0.00   5.4000  
    1.00   5.6000      1.00   4.8000      1.00   4.7000      1.00   5.5000  
    2.00   5.4000      2.00   4.9000      2.00   4.9000      2.00   5.6000  
    3.00   5.3000      3.00   4.9000      3.00   5.3000      3.00   5.7000  
    4.00   5.3000      4.00   4.9000      4.00   5.4000      4.00   5.9000  
    5.00   5.3000      5.00   4.9000      5.00   5.6000      5.00   5.9000  
    6.00   5.4000      6.00   4.9000      6.00   5.8000      6.00   6.0000  
    7.00   5.5000      7.00   4.9000      7.00   5.7000      7.00   6.1000  
    8.00   5.5000      8.00   4.9000      8.00   5.9000      8.00   6.0000  
    9.00   5.6000      9.00   5.0000      9.00   5.7000      9.00   5.9000  
   10.00   5.6000     10.00   4.9000     10.00   5.8000     10.00   5.9000  
   11.00   5.5000     11.00   5.0000     11.00   5.6000     11.00   6.1000  
   12.00   5.4000     12.00   4.9000     12.00   5.4000     12.00   5.8000  
   13.00   5.4000     13.00   4.9000     13.00   5.3000     13.00   5.9000  
   14.00   5.3000     14.00   4.9000     14.00   5.1000     14.00   5.8000  
   15.00   5.3000     15.00   4.9000     15.00   4.7000     15.00   5.5000  
   16.00   5.4000     16.00   4.9000     16.00   4.5000     16.00   5.4000  
   17.00   5.5000     17.00   4.9000     17.00   4.4000     17.00   5.2000  
   18.00   5.6000     18.00   4.9000     18.00   4.1000     18.00   5.1000  
   19.00   5.6000     19.00   5.0000     19.00   4.5000     19.00   4.7000  
   20.00   5.5000     20.00   5.0000     20.00   4.7000     20.00   4.7000  
   21.00   5.4000     21.00   5.0000     21.00   4.9000     21.00   5.2000  
   22.00   5.4000     22.00   5.1000     22.00   4.6000     22.00   5.4000  
   23.00   5.3000     23.00   5.0000     23.00   4.6000     23.00   5.4000  
   24.00   5.3000     24.00   5.0000     24.00   4.8000     24.00   5.5000  
   25.00   5.3000     25.00   5.1000     25.00   5.0000     25.00   5.9000  
   26.00   5.3000     26.00   5.0000     26.00   4.4000     26.00   7.2000  
   27.00   5.4000     27.00   5.1000     27.00   4.5000     27.00   8.7000  
   28.00   5.5000     28.00   5.0000     28.00   5.5000     28.00   8.7000  
   29.00   5.6000     29.00   5.0000     29.00   5.7000     29.00   7.8000  
   30.00   5.6000     30.00   5.0000     30.00   8.5000     30.00   5.2000  
   31.00   5.6000     31.00   4.9000     31.00   8.4000     31.00   5.8000  
   32.00   5.5000     32.00   4.9000     32.00   8.2000     32.00   5.8000  
   33.00   5.5000     33.00   4.9000     33.00   7.6000     33.00   6.3000  
   34.00   5.4000     34.00   4.9000     34.00   6.8000     34.00   7.4000  
   35.00   5.4000     35.00   5.0000     35.00   5.7000     35.00   8.6000  
   36.00   5.4000     36.00   4.9000     36.00   5.5000     36.00   8.3000  
   37.00   5.5000     37.00   4.9000     37.00   4.7000     37.00   8.6000  
   38.00   5.6000     38.00   4.9000     38.00   4.6000     38.00   7.7000  
   39.00   5.6000     39.00   4.9000     39.00   4.6000     39.00   7.2000  
   40.00   5.6000     40.00   4.9000     40.00   4.6000     40.00   6.8000  
   41.00   5.6000     41.00   4.9000     41.00   4.6000     41.00   6.8000  
   42.00   5.5000     42.00   4.9000     42.00   4.9000     42.00   6.3000  
