Date : 2022/09/08 (THU)
Time : 10:05:30
        Tension 1          Tension 2              Nip 1              Nip 2  
     X        Y         X        Y         X        Y         X        Y    
    0.00   4.7000      0.00   4.6000      0.00   6.8000      0.00   7.0000  
    1.00   4.6000      1.00   4.8000      1.00   6.9000      1.00   7.0000  
    2.00   4.7000      2.00   4.7000      2.00   6.9000      2.00   7.1000  
    3.00   4.6000      3.00   4.6000      3.00   6.9000      3.00   7.0000  
    4.00   4.6000      4.00   4.6000      4.00   6.8000      4.00   7.0000  
    5.00   4.7000      5.00   4.6000      5.00   6.8000      5.00   7.0000  
    6.00   4.5000      6.00   4.4000      6.00   6.7000      6.00   6.9000  
    7.00   4.5000      7.00   4.3000      7.00   6.6000      7.00   7.0000  
    8.00   4.6000      8.00   4.3000      8.00   6.5000      8.00   6.9000  
    9.00   4.6000      9.00   4.5000      9.00   6.2000      9.00   6.9000  
   10.00   4.7000     10.00   4.5000     10.00   6.2000     10.00   6.9000  
   11.00   4.7000     11.00   4.8000     11.00   6.2000     11.00   7.0000  
   12.00   4.7000     12.00   4.8000     12.00   6.4000     12.00   7.1000  
   13.00   4.6000     13.00   4.5000     13.00   6.4000     13.00   7.2000  
   14.00   4.5000     14.00   4.6000     14.00   6.4000     14.00   7.3000  
   15.00   4.7000     15.00   4.6000     15.00   6.4000     15.00   7.2000  
   16.00   4.6000     16.00   4.3000     16.00   6.5000     16.00   7.3000  
   17.00   4.4000     17.00   4.3000     17.00   6.5000     17.00   7.1000  
   18.00   4.6000     18.00   4.4000     18.00   6.6000     18.00   7.1000  
   19.00   4.7000     19.00   4.6000     19.00   6.4000     19.00   7.0000  
   20.00   4.6000     20.00   4.5000     20.00   6.4000     20.00   7.0000  
   21.00   4.7000     21.00   4.8000     21.00   6.6000     21.00   7.0000  
   22.00   4.6000     22.00   4.8000     22.00   6.8000     22.00   7.1000  
   23.00   5.1000     23.00   4.5000     23.00   6.9000     23.00   7.0000  
   24.00   4.7000     24.00   4.6000     24.00   7.2000     24.00   7.0000  
   25.00   4.6000     25.00   4.6000     25.00   7.0000     25.00   7.0000  
   26.00   4.8000     26.00   4.3000     26.00   6.9000     26.00   6.9000  
   27.00   4.7000     27.00   4.3000     27.00   6.9000     27.00   7.0000  
   28.00   4.7000     28.00   4.4000     28.00   6.6000     28.00   7.0000  
   29.00   4.7000     29.00   4.6000     29.00   6.3000     29.00   6.9000  
   30.00   4.7000     30.00   4.6000     30.00   6.3000     30.00   6.9000  
   31.00   4.9000     31.00   4.8000     31.00   6.2000     31.00   6.9000  
   32.00   4.9000     32.00   4.8000     32.00   6.1000     32.00   7.0000  
   33.00   4.7000     33.00   4.8000     33.00   6.1000     33.00   7.1000  
   34.00   4.6000     34.00   4.8000     34.00   6.2000     34.00   7.2000  
   35.00   4.9000     35.00   4.6000     35.00   6.4000     35.00   7.2000  
   36.00   4.7000     36.00   4.6000     36.00   6.4000     36.00   7.2000  
   37.00   4.6000     37.00   4.6000     37.00   6.5000     37.00   7.2000  
   38.00   4.9000     38.00   4.6000     38.00   6.5000     38.00   7.2000  
   39.00   4.6000     39.00   4.6000     39.00   6.6000     39.00   7.2000  
   40.00   4.8000     40.00   4.6000     40.00   6.5000     40.00   7.1000  
   41.00   4.8000     41.00   4.8000     41.00   6.5000     41.00   7.2000  
   42.00   4.7000     42.00   4.8000     42.00   6.6000     42.00   7.0000  
   43.00   5.0000     43.00   4.8000     43.00   6.5000     43.00   6.9000  
   44.00   4.8000     44.00   4.8000     44.00   6.7000     44.00   7.0000  
   45.00   4.7000     45.00   4.6000     45.00   6.8000     45.00   7.0000  
   46.00   4.8000     46.00   4.5000     46.00   6.9000     46.00   7.1000  
   47.00   4.6000     47.00   4.3000     47.00   7.0000     47.00   7.1000  
   48.00   4.7000     48.00   4.5000     48.00   6.8000     48.00   7.1000  
   49.00   4.7000     49.00   4.6000     49.00   6.7000     49.00   7.1000  
   50.00   4.7000     50.00   4.5000     50.00   6.6000     50.00   7.0000  
   51.00   4.8000     51.00   4.8000     51.00   6.6000     51.00   6.9000  
   52.00   4.8000     52.00   4.8000     52.00   6.4000     52.00   6.9000  
   53.00   4.7000     53.00   4.8000     53.00   6.3000     53.00   7.0000  
   54.00   4.7000     54.00   4.7000     54.00   6.3000     54.00   7.0000  
   55.00   4.7000     55.00   4.7000     55.00   6.2000     55.00   7.1000  
