,ts,T2,T3,NIP1_M,NIP1_F,T4,T5,NIP2_M,NIP2_F,T1,T6_OF
0,2022-09-13 20:27:07.000,4.7,4.0,0.3,-0.1,4.7,4.8,0.4,0.2,5.5,3.3
1,2022-09-13 20:27:07.200,4.6,3.9,0.3,-0.1,4.8,4.8,0.4,0.2,5.5,3.3
2,2022-09-13 20:27:07.400,4.7,4.0,0.4,0.0,4.7,4.8,0.4,0.2,5.5,3.3
3,2022-09-13 20:27:07.600,4.6,3.9,0.3,-0.1,4.8,4.7,0.3,0.3,5.5,3.3
4,2022-09-13 20:27:07.800,4.6,4.0,0.3,-0.1,4.8,4.7,0.3,0.1,5.5,3.3
5,2022-09-13 20:27:08.000,4.7,4.0,0.3,-0.2,4.8,4.8,0.3,0.2,5.5,3.25
6,2022-09-13 20:27:08.200,4.6,4.0,0.3,-0.2,4.8,4.7,0.4,0.2,5.5,3.3
7,2022-09-13 20:27:08.400,4.7,4.0,0.3,-0.1,4.7,4.8,0.4,0.2,5.5,3.3
8,2022-09-13 20:27:08.600,4.5,4.0,0.4,0.0,4.7,4.7,0.3,0.2,5.5,3.3
9,2022-09-13 20:27:08.800,4.5,4.0,0.4,0.0,4.7,4.8,0.3,0.2,5.5,3.3
10,2022-09-13 20:27:09.000,4.6,4.0,0.4,-0.1,4.7,4.8,0.3,0.2,5.5,3.25
11,2022-09-13 20:27:09.200,4.7,4.0,0.3,-0.1,4.7,4.8,0.4,0.2,5.5,3.25
12,2022-09-13 20:27:09.400,4.5,4.0,0.3,-0.1,4.8,4.7,0.3,0.3,5.5,3.3
13,2022-09-13 20:27:09.600,4.7,4.0,0.4,-0.1,4.8,4.7,0.3,0.3,5.5,3.3
14,2022-09-13 20:27:09.800,4.5,4.0,0.3,-0.2,4.8,4.8,0.3,0.2,5.5,3.25
15,2022-09-13 20:27:10.000,4.7,3.9,0.4,-0.2,4.8,4.8,0.4,0.2,5.5,3.3
16,2022-09-13 20:27:10.200,4.7,4.0,0.4,-0.1,4.7,4.8,0.4,0.2,5.5,3.25
17,2022-09-13 20:27:10.400,4.7,4.0,0.3,0.0,4.8,4.8,0.4,0.2,5.5,3.25
18,2022-09-13 20:27:10.600,4.6,3.9,0.4,-0.1,4.7,4.8,0.4,0.2,5.5,3.3
19,2022-09-13 20:27:10.800,4.7,4.0,0.3,-0.1,4.7,4.8,0.3,0.2,5.5,3.25
20,2022-09-13 20:27:11.000,4.5,4.0,0.3,-0.1,4.7,4.8,0.3,0.3,5.5,3.3
21,2022-09-13 20:27:11.200,4.7,4.0,0.3,-0.1,4.7,4.8,0.4,0.2,5.5,3.3
22,2022-09-13 20:27:11.400,4.7,4.0,0.4,-0.1,4.8,4.8,0.3,0.3,5.5,3.3
23,2022-09-13 20:27:11.600,4.5,3.9,0.3,-0.2,4.7,4.8,0.3,0.2,5.5,3.3
24,2022-09-13 20:27:11.800,4.7,4.0,0.4,-0.2,4.7,4.8,0.4,0.3,5.5,3.3
25,2022-09-13 20:27:12.000,4.6,4.0,0.4,-0.1,4.8,4.8,0.3,0.2,5.5,3.3
26,2022-09-13 20:27:12.200,4.6,4.0,0.3,-0.1,4.7,4.7,0.4,0.3,5.5,3.3
27,2022-09-13 20:27:12.400,4.7,4.0,0.4,-0.1,4.8,4.7,0.3,0.2,5.5,3.3
28,2022-09-13 20:27:12.600,4.7,3.9,0.4,-0.1,4.7,4.8,0.3,0.2,5.5,3.3
29,2022-09-13 20:27:12.800,4.5,4.0,0.5,-0.2,4.7,4.8,0.3,0.2,5.5,3.3
30,2022-09-13 20:27:13.000,4.7,3.9,0.4,-0.2,4.7,4.8,0.3,0.3,5.5,3.3
31,2022-09-13 20:27:13.200,4.6,4.0,0.3,0.0,4.8,4.8,0.3,0.2,5.5,3.3
32,2022-09-13 20:27:13.400,4.8,4.0,0.3,-0.1,4.8,4.8,0.3,0.3,5.5,3.3
