,ts,T2,T3,NIP1_M,NIP1_F,T4,T5,NIP2_M,NIP2_F,T1,T6_OF
0,2022-09-13 19:17:33.800,4.9,4.6,0.3,-0.2,5.2,5.1,0.4,0.2,5.5,3.45
1,2022-09-13 19:17:34.000,4.9,4.6,0.4,-0.1,5.1,5.0,0.3,0.3,5.5,3.45
2,2022-09-13 19:17:34.200,5.0,4.6,0.4,-0.1,5.0,5.0,0.4,0.2,5.6,3.55
3,2022-09-13 19:17:34.400,4.9,4.4,0.3,-0.2,4.9,5.0,0.3,0.2,5.6,3.55
4,2022-09-13 19:17:34.600,5.1,4.4,0.4,-0.2,4.9,5.0,0.3,0.3,5.4,3.5
5,2022-09-13 19:17:34.800,5.1,4.2,0.3,-0.1,4.9,4.9,0.3,0.2,5.8,3.55
6,2022-09-13 19:17:35.000,4.9,4.2,0.3,-0.2,4.9,4.9,0.3,0.2,5.4,3.55
7,2022-09-13 19:17:35.200,5.2,4.1,0.4,-0.1,4.8,4.9,0.4,0.2,5.4,3.5
8,2022-09-13 19:17:35.400,5.2,4.2,0.4,0.0,4.9,4.9,0.4,0.3,5.4,3.4
9,2022-09-13 19:17:35.600,5.1,4.4,0.3,0.0,4.8,4.9,0.4,0.2,5.8,3.25
10,2022-09-13 19:17:35.800,5.3,4.6,0.3,-0.1,4.9,5.0,0.4,0.3,5.8,3.3499999999999996
11,2022-09-13 19:17:36.000,5.1,4.6,0.4,-0.1,4.9,5.0,0.3,0.2,5.8,3.3499999999999996
12,2022-09-13 19:17:36.200,5.2,4.6,0.3,-0.2,4.9,4.9,0.4,0.3,5.9,3.3499999999999996
13,2022-09-13 19:17:36.400,4.6,4.4,0.3,-0.1,4.9,4.9,0.4,0.3,5.8,3.3499999999999996
14,2022-09-13 19:17:36.600,4.9,4.4,0.3,-0.1,5.0,4.7,0.4,0.3,5.7,3.25
15,2022-09-13 19:17:36.800,5.1,4.2,0.3,-0.1,5.0,4.8,0.3,0.2,5.5,3.4
16,2022-09-13 19:17:37.000,5.1,4.1,0.3,-0.1,4.9,4.9,0.3,0.2,5.4,3.4
17,2022-09-13 19:17:37.200,5.1,4.2,0.4,-0.2,5.0,5.0,0.4,0.2,5.4,3.3
18,2022-09-13 19:17:37.400,5.2,4.4,0.3,-0.1,5.0,5.0,0.4,0.2,5.4,3.3
19,2022-09-13 19:17:37.600,4.7,4.3,0.3,-0.1,5.0,4.9,0.4,0.2,5.7,3.3
20,2022-09-13 19:17:37.800,4.7,4.6,0.4,-0.1,5.0,4.8,0.4,0.2,5.5,3.3
21,2022-09-13 19:17:38.000,5.1,4.6,0.4,-0.2,5.0,4.8,0.4,0.3,5.5,3.3
22,2022-09-13 19:17:38.200,4.9,4.5,0.4,-0.1,5.0,4.8,0.4,0.2,5.7,3.25
23,2022-09-13 19:17:38.400,5.0,4.3,0.3,-0.1,5.0,4.7,0.4,0.2,5.6,3.25
24,2022-09-13 19:17:38.600,5.0,4.3,0.3,-0.1,4.9,4.7,0.3,0.3,5.5,3.25
25,2022-09-13 19:17:38.800,4.8,4.2,0.3,-0.1,5.0,4.9,0.3,0.3,5.8,3.25
26,2022-09-13 19:17:39.000,5.0,4.2,0.3,-0.2,4.9,5.0,0.4,0.3,5.5,3.25
27,2022-09-13 19:17:39.200,5.1,4.2,0.3,-0.1,4.9,5.0,0.4,0.2,5.4,3.2
28,2022-09-13 19:17:39.400,5.0,4.4,0.3,-0.2,5.0,4.8,0.4,0.2,5.4,3.25
29,2022-09-13 19:17:39.600,5.0,4.4,0.3,-0.2,5.0,4.8,0.3,0.2,5.4,3.1500000000000004
30,2022-09-13 19:17:39.800,4.5,4.4,0.4,-0.1,5.0,4.8,0.3,0.3,5.8,3.2
31,2022-09-13 19:17:40.000,4.6,4.2,0.4,-0.1,4.9,4.9,0.3,0.2,5.9,3.1500000000000004
32,2022-09-13 19:17:40.200,4.7,4.0,0.4,-0.1,4.8,5.0,0.4,0.3,5.9,3.4499999999999997
33,2022-09-13 19:17:40.400,4.6,4.0,0.4,-0.1,4.9,5.0,0.3,0.3,5.9,3.2
34,2022-09-13 19:17:40.600,4.7,3.9,0.3,-0.1,4.9,4.9,0.4,0.2,5.7,3.25
35,2022-09-13 19:17:40.800,4.7,4.0,0.4,-0.2,5.0,4.9,0.3,0.2,5.5,3.25
36,2022-09-13 19:17:41.000,4.6,4.0,0.3,-0.1,4.9,4.9,0.3,0.2,5.5,3.25
37,2022-09-13 19:17:41.200,4.7,4.0,0.3,-0.1,4.9,4.7,0.4,0.3,5.9,3.25
38,2022-09-13 19:17:41.400,4.6,4.0,0.3,-0.1,5.0,4.8,0.4,0.2,5.5,3.55
39,2022-09-13 19:17:41.600,5.0,4.0,0.4,-0.1,5.0,4.8,0.2,0.3,5.4,3.25
40,2022-09-13 19:17:41.800,4.8,4.2,0.4,-0.1,5.0,4.9,0.4,0.3,5.8,3.25
41,2022-09-13 19:17:42.000,4.7,4.2,0.3,-0.1,4.9,5.0,0.3,0.2,5.4,3.2
42,2022-09-13 19:17:42.200,4.8,4.2,0.3,-0.1,4.9,5.0,0.4,0.2,5.4,3.2
43,2022-09-13 19:17:42.400,4.8,4.2,0.3,-0.1,5.0,4.9,0.4,0.2,5.7,3.5
44,2022-09-13 19:17:42.600,4.7,4.2,0.3,-0.1,5.0,4.9,0.4,0.2,5.4,3.25
45,2022-09-13 19:17:42.800,4.9,4.2,0.4,-0.1,5.0,5.0,0.3,0.2,5.4,3.55
46,2022-09-13 19:17:43.000,4.7,4.2,0.4,-0.2,4.9,5.0,0.3,0.3,5.6,3.3
47,2022-09-13 19:17:43.200,4.7,4.2,0.3,-0.1,5.0,5.0,0.4,0.2,5.5,3.25
48,2022-09-13 19:17:43.400,4.8,4.2,0.4,-0.1,4.9,4.9,0.3,0.2,5.5,3.55
49,2022-09-13 19:17:43.600,4.6,4.1,0.4,-0.1,4.9,5.0,0.3,0.2,5.4,3.3
50,2022-09-13 19:17:43.800,4.6,4.2,0.3,0.0,4.8,4.9,0.3,0.3,5.4,3.45
51,2022-09-13 19:17:44.000,4.8,4.1,0.3,-0.1,4.9,5.0,0.3,0.2,5.4,3.25
52,2022-09-13 19:17:44.200,4.7,4.2,0.2,-0.2,4.9,4.9,0.4,0.3,5.6,3.25
53,2022-09-13 19:17:44.400,4.7,4.2,0.3,-0.1,4.9,5.0,0.3,0.3,5.9,3.4
54,2022-09-13 19:17:44.600,4.9,4.2,0.4,-0.2,4.9,5.0,0.4,0.3,5.9,3.55
55,2022-09-13 19:17:44.800,4.8,4.2,0.4,-0.1,4.8,5.0,0.3,0.2,5.9,3.2
56,2022-09-13 19:17:45.000,4.7,4.2,0.3,-0.1,4.9,4.9,0.3,0.3,5.9,3.3
57,2022-09-13 19:17:45.200,5.0,4.2,0.3,-0.1,4.9,5.0,0.4,0.2,5.9,3.4
58,2022-09-13 19:17:45.400,4.6,4.2,0.4,-0.2,4.9,5.0,0.3,0.3,5.9,3.45
59,2022-09-13 19:17:45.600,4.7,4.2,0.4,-0.1,4.8,5.0,0.3,0.3,5.8,3.45
60,2022-09-13 19:17:45.800,4.7,4.2,0.3,-0.1,4.8,5.0,0.4,0.2,5.8,3.45
61,2022-09-13 19:17:46.000,4.6,4.1,0.4,-0.1,4.9,5.0,0.3,0.2,5.8,3.45
62,2022-09-13 19:17:46.200,4.9,4.1,0.2,-0.2,4.8,5.0,0.3,0.2,5.8,3.45
63,2022-09-13 19:17:46.400,4.7,4.2,0.3,-0.1,4.8,5.0,0.4,0.2,5.8,3.45
64,2022-09-13 19:17:46.600,4.7,4.2,0.4,0.0,4.9,5.0,0.3,0.2,5.8,3.4
65,2022-09-13 19:17:46.800,4.8,4.2,0.3,-0.1,4.9,5.0,0.3,0.2,5.8,3.45
66,2022-09-13 19:17:47.000,4.8,4.2,0.3,-0.1,4.9,5.0,0.3,0.3,5.8,3.45
67,2022-09-13 19:17:47.200,4.7,4.2,0.3,-0.1,4.9,5.0,0.4,0.2,5.7,3.3
68,2022-09-13 19:17:47.400,4.8,4.2,0.3,-0.2,4.9,5.0,0.4,0.2,5.7,3.45
69,2022-09-13 19:17:47.600,4.6,4.2,0.4,-0.1,4.8,4.9,0.3,0.3,5.8,3.5
70,2022-09-13 19:17:47.800,4.8,4.2,0.3,-0.1,4.9,5.0,0.3,0.3,5.8,3.55
71,2022-09-13 19:17:48.000,4.7,4.2,0.4,-0.2,4.9,5.0,0.4,0.2,5.8,3.55
72,2022-09-13 19:17:48.200,4.7,4.2,0.3,-0.1,4.9,4.9,0.3,0.3,5.8,3.5
73,2022-09-13 19:17:48.400,4.9,4.2,0.3,-0.1,4.9,4.9,0.3,0.2,5.7,3.5
74,2022-09-13 19:17:48.600,4.8,4.2,0.4,-0.1,4.9,5.0,0.4,0.2,5.8,3.55
75,2022-09-13 19:17:48.800,4.8,4.2,0.2,-0.1,4.9,4.9,0.4,0.2,5.6,3.55
