Date : 2022/09/13 (TUE)
Time : 11:41:02
        Tension 1          Tension 2              Nip 1              Nip 2  
     X        Y         X        Y         X        Y         X        Y    
    0.00   4.7000      0.00   4.8000      0.00   0.4000      0.00   0.2000  
    1.00   4.8000      1.00   4.8000      1.00   0.4000      1.00   0.2000  
    2.00   4.7000      2.00   4.8000      2.00   0.4000      2.00   0.2000  
    3.00   4.8000      3.00   4.7000      3.00   0.3000      3.00   0.3000  
    4.00   4.8000      4.00   4.7000      4.00   0.3000      4.00   0.1000  
    5.00   4.8000      5.00   4.8000      5.00   0.3000      5.00   0.2000  
    6.00   4.8000      6.00   4.7000      6.00   0.4000      6.00   0.2000  
    7.00   4.7000      7.00   4.8000      7.00   0.4000      7.00   0.2000  
    8.00   4.7000      8.00   4.7000      8.00   0.3000      8.00   0.2000  
    9.00   4.7000      9.00   4.8000      9.00   0.3000      9.00   0.2000  
   10.00   4.7000     10.00   4.8000     10.00   0.3000     10.00   0.2000  
   11.00   4.7000     11.00   4.8000     11.00   0.4000     11.00   0.2000  
   12.00   4.8000     12.00   4.7000     12.00   0.3000     12.00   0.3000  
   13.00   4.8000     13.00   4.7000     13.00   0.3000     13.00   0.3000  
   14.00   4.8000     14.00   4.8000     14.00   0.3000     14.00   0.2000  
   15.00   4.8000     15.00   4.8000     15.00   0.4000     15.00   0.2000  
   16.00   4.7000     16.00   4.8000     16.00   0.4000     16.00   0.2000  
   17.00   4.8000     17.00   4.8000     17.00   0.4000     17.00   0.2000  
   18.00   4.7000     18.00   4.8000     18.00   0.4000     18.00   0.2000  
   19.00   4.7000     19.00   4.8000     19.00   0.3000     19.00   0.2000  
   20.00   4.7000     20.00   4.8000     20.00   0.3000     20.00   0.3000  
   21.00   4.7000     21.00   4.8000     21.00   0.4000     21.00   0.2000  
   22.00   4.8000     22.00   4.8000     22.00   0.3000     22.00   0.3000  
   23.00   4.7000     23.00   4.8000     23.00   0.3000     23.00   0.2000  
   24.00   4.7000     24.00   4.8000     24.00   0.4000     24.00   0.3000  
   25.00   4.8000     25.00   4.8000     25.00   0.3000     25.00   0.2000  
   26.00   4.7000     26.00   4.7000     26.00   0.4000     26.00   0.3000  
   27.00   4.8000     27.00   4.7000     27.00   0.3000     27.00   0.2000  
   28.00   4.7000     28.00   4.8000     28.00   0.3000     28.00   0.2000  
   29.00   4.7000     29.00   4.8000     29.00   0.3000     29.00   0.2000  
   30.00   4.7000     30.00   4.8000     30.00   0.3000     30.00   0.3000  
   31.00   4.8000     31.00   4.8000     31.00   0.3000     31.00   0.2000  
   32.00   4.8000     32.00   4.8000     32.00   0.3000     32.00   0.3000  
   33.00   4.7000     33.00   4.8000     33.00   0.4000     33.00   0.2000  
   34.00   4.8000     34.00   4.7000     34.00   0.3000     34.00   0.2000  
   35.00   4.7000     35.00   4.8000     35.00   0.4000     35.00   0.2000  
   36.00   4.7000     36.00   4.7000     36.00   0.4000     36.00   0.3000  
   37.00   4.8000     37.00   4.8000     37.00   0.4000     37.00   0.3000  
   38.00   4.8000     38.00   4.8000     38.00   0.3000     38.00   0.2000  
   39.00   4.7000     39.00   4.8000     39.00   0.3000     39.00   0.2000  
   40.00   4.8000     40.00   4.8000     40.00   0.3000     40.00   0.2000  
   41.00   4.7000     41.00   4.7000     41.00   0.4000     41.00   0.2000  
   42.00   4.8000     42.00   4.8000     42.00   0.4000     42.00   0.2000  
   43.00   4.8000     43.00   4.8000     43.00   0.3000     43.00   0.3000  
   44.00   4.8000     44.00   4.8000     44.00   0.3000     44.00   0.3000  
   45.00   4.8000     45.00   4.8000     45.00   0.4000     45.00   0.3000  
   46.00   4.7000     46.00   4.7000     46.00   0.3000     46.00   0.3000  
   47.00   4.8000     47.00   4.8000     47.00   0.3000     47.00   0.3000  
   48.00   4.8000     48.00   4.8000     48.00   0.3000     48.00   0.2000  
   49.00   4.8000     49.00   4.7000     49.00   0.3000     49.00   0.2000  
   50.00   4.8000     50.00   4.8000     50.00   0.3000     50.00   0.2000  
   51.00   4.7000     51.00   4.8000     51.00   0.4000     51.00   0.2000  
   52.00   4.8000     52.00   4.7000     52.00   0.3000     52.00   0.2000  
   53.00   4.8000     53.00   4.7000     53.00   0.4000     53.00   0.4000  
   54.00   4.7000     54.00   4.7000     54.00   0.4000     54.00   0.3000  
   55.00   4.8000     55.00   4.8000     55.00   0.4000     55.00   0.3000  
   56.00   4.8000     56.00   4.8000     56.00   0.4000     56.00   0.2000  
   57.00   4.8000     57.00   4.8000     57.00   0.3000     57.00   0.2000  
   58.00   4.8000     58.00   4.7000     58.00   0.2000     58.00   0.2000  
   59.00   4.7000     59.00   4.8000     59.00   0.4000     59.00   0.2000  
   60.00   4.7000     60.00   4.7000     60.00   0.3000     60.00   0.3000  
   61.00   4.7000     61.00   4.8000     61.00   0.4000     61.00   0.2000  
   62.00   4.7000     62.00   4.8000     62.00   0.3000     62.00   0.2000  
   63.00   4.7000     63.00   4.8000     63.00   0.4000     63.00   0.2000  
   64.00   4.7000     64.00   4.8000     64.00   0.4000     64.00   0.2000  
   65.00   4.7000     65.00   4.8000     65.00   0.4000     65.00   0.3000  
   66.00   4.7000     66.00   4.8000     66.00   0.3000     66.00   0.2000  
   67.00   4.7000     67.00   4.7000     67.00   0.4000     67.00   0.2000  
   68.00   4.7000     68.00   4.8000     68.00   0.2000     68.00   0.2000  
   69.00   4.8000     69.00   4.8000     69.00   0.4000     69.00   0.3000  
   70.00   4.7000     70.00   4.8000     70.00   0.3000     70.00   0.2000  
   71.00   4.7000     71.00   4.8000     71.00   0.4000     71.00   0.3000  
   72.00   4.7000     72.00   4.8000     72.00   0.5000     72.00   0.2000  
   73.00   4.7000     73.00   4.8000     73.00   0.5000     73.00   0.2000  
   74.00   4.7000     74.00   4.8000     74.00   0.5000     74.00   0.3000  
   75.00   4.8000     75.00   4.8000     75.00   0.7000     75.00   0.3000  
   76.00   4.8000     76.00   4.8000     76.00   0.6000     76.00   0.3000  
   77.00   4.8000     77.00   4.7000     77.00   0.6000     77.00   0.2000  
   78.00   4.7000     78.00   4.8000     78.00   0.5000     78.00   0.2000  
   79.00   4.8000     79.00   4.7000     79.00   0.7000     79.00   0.2000  
   80.00   4.8000     80.00   4.7000     80.00   0.6000     80.00   0.3000  
   81.00   4.8000     81.00   4.8000     81.00   0.7000     81.00   0.2000  
   82.00   4.8000     82.00   4.7000     82.00   0.7000     82.00   0.2000  
   83.00   4.7000     83.00   4.8000     83.00   0.6000     83.00   0.2000  
   84.00   4.7000     84.00   4.8000     84.00   0.6000     84.00   0.2000  
   85.00   4.7000     85.00   4.8000     85.00   0.6000     85.00   0.4000  
   86.00   4.8000     86.00   4.7000     86.00   0.7000     86.00   0.6000  
   87.00   4.7000     87.00   4.8000     87.00   1.0000     87.00   0.8000  
   88.00   4.7000     88.00   4.8000     88.00   0.7000     88.00   0.5000  
   89.00   4.7000     89.00   4.7000     89.00   0.6000     89.00   0.2000  
   90.00   4.8000     90.00   4.8000     90.00   0.7000     90.00   0.3000  
   91.00   4.8000     91.00   4.8000     91.00   0.6000     91.00   0.2000  
   92.00   4.7000     92.00   4.7000     92.00   0.5000     92.00   0.2000  
   93.00   4.8000     93.00   4.7000     93.00   0.5000     93.00   0.2000  
   94.00   4.8000     94.00   4.8000     94.00   0.7000     94.00   0.2000  
   95.00   4.8000     95.00   4.8000     95.00   0.6000     95.00   0.2000  
   96.00   4.7000     96.00   4.7000     96.00   0.7000     96.00   0.2000  
   97.00   4.7000     97.00   4.7000     97.00   0.6000     97.00   0.3000  
   98.00   4.8000     98.00   4.7000     98.00   0.7000     98.00   0.3000  
   99.00   4.7000     99.00   4.8000     99.00   0.7000     99.00   0.2000  
  100.00   4.7000    100.00   4.8000    100.00   0.7000    100.00   0.2000  
  101.00   4.8000    101.00   4.8000    101.00   0.7000    101.00   0.2000  
  102.00   4.8000    102.00   4.7000    102.00   0.6000    102.00   0.3000  
  103.00   4.7000    103.00   4.8000    103.00   0.6000    103.00   0.2000  
  104.00   4.8000    104.00   4.7000    104.00   0.7000    104.00   0.2000  
  105.00   4.7000    105.00   4.8000    105.00   0.6000    105.00   0.2000  
  106.00   4.7000    106.00   4.8000    106.00   0.8000    106.00   0.2000  
  107.00   4.8000    107.00   4.8000    107.00   0.6000    107.00   0.2000  
  108.00   4.7000    108.00   4.8000    108.00   0.6000    108.00   0.3000  
  109.00   4.7000    109.00   4.8000    109.00   0.6000    109.00   0.3000  
  110.00   4.7000    110.00   4.8000    110.00   0.6000    110.00   0.2000  
  111.00   4.8000    111.00   4.8000    111.00   0.6000    111.00   0.2000  
  112.00   4.8000    112.00   4.7000    112.00   0.7000    112.00   0.2000  
  113.00   4.7000    113.00   4.8000    113.00   0.6000    113.00   0.2000  
  114.00   4.7000    114.00   4.8000    114.00   0.7000    114.00   0.2000  
  115.00   4.7000    115.00   4.8000    115.00   0.7000    115.00   0.3000  
  116.00   4.8000    116.00   4.8000    116.00   0.7000    116.00   0.2000  
  117.00   4.8000    117.00   4.8000    117.00   0.6000    117.00   0.2000  
  118.00   4.7000    118.00   4.7000    118.00   0.6000    118.00   0.2000  
  119.00   4.7000    119.00   4.7000    119.00   0.6000    119.00   0.3000  
  120.00   4.7000    120.00   4.8000    120.00   0.6000    120.00   0.3000  
  121.00   4.7000    121.00   4.8000    121.00   0.5000    121.00   0.2000  
  122.00   4.8000    122.00   4.8000    122.00   0.6000    122.00   0.2000  
  123.00   4.8000    123.00   4.7000    123.00   0.7000    123.00   0.2000  
  124.00   4.7000    124.00   4.8000    124.00   0.6000    124.00   0.3000  
  125.00   4.8000    125.00   4.8000    125.00   0.7000    125.00   0.2000  
  126.00   4.7000    126.00   4.7000    126.00   0.6000    126.00   0.2000  
  127.00   4.7000    127.00   4.8000    127.00   0.7000    127.00   0.2000  
  128.00   4.7000    128.00   4.7000    128.00   0.7000    128.00   0.3000  
  129.00   4.7000    129.00   4.7000    129.00   0.6000    129.00   0.2000  
  130.00   4.8000    130.00   4.8000    130.00   0.6000    130.00   0.2000  
  131.00   4.7000    131.00   4.8000    131.00   0.5000    131.00   0.3000  
  132.00   4.7000    132.00   4.8000    132.00   0.6000    132.00   0.2000  
  133.00   4.7000    133.00   4.7000    133.00   0.7000    133.00   0.3000  
  134.00   4.8000    134.00   4.8000    134.00   0.6000    134.00   0.2000  
  135.00   4.7000    135.00   4.8000    135.00   0.7000    135.00   0.2000  
  136.00   4.8000    136.00   4.8000    136.00   0.7000    136.00   0.2000  
  137.00   4.8000    137.00   4.8000    137.00   0.6000    137.00   0.3000  
  138.00   4.7000    138.00   4.8000    138.00   0.6000    138.00   0.2000  
  139.00   4.7000    139.00   4.7000    139.00   0.7000    139.00   0.2000  
  140.00   4.8000    140.00   4.8000    140.00   0.7000    140.00   0.2000  
  141.00   4.7000    141.00   4.8000    141.00   0.7000    141.00   0.3000  
  142.00   4.7000    142.00   4.8000    142.00   0.7000    142.00   0.3000  
  143.00   4.8000    143.00   4.8000    143.00   0.7000    143.00   0.2000  
  144.00   4.7000    144.00   4.7000    144.00   0.6000    144.00   0.2000  
  145.00   4.7000    145.00   4.7000    145.00   0.6000    145.00   0.2000  
  146.00   4.7000    146.00   4.8000    146.00   0.7000    146.00   0.3000  
  147.00   4.7000    147.00   4.8000    147.00   0.6000    147.00   0.2000  
  148.00   4.7000    148.00   4.8000    148.00   0.6000    148.00   0.3000  
  149.00   4.7000    149.00   4.7000    149.00   0.6000    149.00   0.2000  
  150.00   4.8000    150.00   4.8000    150.00   0.7000    150.00   0.3000  
  151.00   4.7000    151.00   4.8000    151.00   0.7000    151.00   0.2000  
  152.00   4.7000    152.00   4.7000    152.00   0.6000    152.00   0.2000  
  153.00   4.7000    153.00   4.8000    153.00   0.6000    153.00   0.2000  
  154.00   4.8000    154.00   4.7000    154.00   0.6000    154.00   0.2000  
  155.00   4.8000    155.00   4.7000    155.00   0.6000    155.00   0.3000  
  156.00   4.7000    156.00   4.8000    156.00   0.7000    156.00   0.2000  
  157.00   4.8000    157.00   4.8000    157.00   0.7000    157.00   0.2000  
  158.00   4.8000    158.00   4.8000    158.00   0.7000    158.00   0.2000  
  159.00   4.7000    159.00   4.8000    159.00   0.6000    159.00   0.2000  
  160.00   4.7000    160.00   4.8000    160.00   0.6000    160.00   0.3000  
  161.00   4.7000    161.00   4.7000    161.00   0.6000    161.00   0.2000  
  162.00   4.8000    162.00   4.7000    162.00   0.7000    162.00   0.2000  
  163.00   4.7000    163.00   4.7000    163.00   0.7000    163.00   0.2000  
  164.00   4.7000    164.00   4.7000    164.00   0.6000    164.00   0.2000  
  165.00   4.7000    165.00   4.8000    165.00   0.7000    165.00   0.2000  
  166.00   4.7000    166.00   4.7000    166.00   0.6000    166.00   0.3000  
  167.00   4.7000    167.00   4.8000    167.00   0.7000    167.00   0.2000  
  168.00   4.7000    168.00   4.8000    168.00   0.6000    168.00   0.3000  
  169.00   4.8000    169.00   4.8000    169.00   0.6000    169.00   0.3000  
  170.00   4.8000    170.00   4.8000    170.00   0.6000    170.00   0.2000  
  171.00   4.7000    171.00   4.8000    171.00   0.6000    171.00   0.2000  
  172.00   4.8000    172.00   4.8000    172.00   0.6000    172.00   0.2000  
  173.00   4.8000    173.00   4.8000    173.00   0.6000    173.00   0.2000  
  174.00   4.8000    174.00   4.8000    174.00   0.7000    174.00   0.2000  
  175.00   4.7000    175.00   4.8000    175.00   0.6000    175.00   0.2000  
  176.00   4.8000    176.00   4.8000    176.00   0.6000    176.00   0.2000  
  177.00   4.7000    177.00   4.7000    177.00   0.7000    177.00   0.3000  
  178.00   4.7000    178.00   4.8000    178.00   0.6000    178.00   0.2000  
  179.00   4.8000    179.00   4.7000    179.00   0.7000    179.00   0.3000  
  180.00   4.8000    180.00   4.8000    180.00   0.7000    180.00   0.2000  
  181.00   4.8000    181.00   4.8000    181.00   0.5000    181.00   0.2000  
  182.00   4.8000    182.00   4.8000    182.00   0.5000    182.00   0.2000  
  183.00   4.8000    183.00   4.8000    183.00   0.7000    183.00   0.2000  
  184.00   4.8000    184.00   4.7000    184.00   0.6000    184.00   0.3000  
  185.00   4.8000    185.00   4.8000    185.00   0.7000    185.00   0.2000  
  186.00   4.8000    186.00   4.8000    186.00   0.6000    186.00   0.2000  
  187.00   4.8000    187.00   4.7000    187.00   0.6000    187.00   0.2000  
  188.00   4.7000    188.00   4.8000    188.00   0.7000    188.00   0.3000  
  189.00   4.7000    189.00   4.7000    189.00   0.6000    189.00   0.3000  
  190.00   4.7000    190.00   4.8000    190.00   0.6000    190.00   0.2000  
  191.00   4.7000    191.00   4.8000    191.00   0.6000    191.00   0.2000  
  192.00   4.8000    192.00   4.8000    192.00   0.6000    192.00   0.2000  
  193.00   4.8000    193.00   4.8000    193.00   0.6000    193.00   0.2000  
  194.00   4.7000    194.00   4.8000    194.00   0.6000    194.00   0.2000  
  195.00   4.8000    195.00   4.8000    195.00   0.7000    195.00   0.2000  
  196.00   4.8000    196.00   4.7000    196.00   0.6000    196.00   0.3000  
  197.00   4.7000    197.00   4.7000    197.00   0.6000    197.00   0.2000  
  198.00   4.8000    198.00   4.8000    198.00   0.7000    198.00   0.3000  
  199.00   4.8000    199.00   4.7000    199.00   0.6000    199.00   0.2000  
  200.00   4.8000    200.00   4.8000    200.00   0.7000    200.00   0.3000  
  201.00   4.7000    201.00   4.8000    201.00   0.7000    201.00   0.3000  
  202.00   4.7000    202.00   4.7000    202.00   0.6000    202.00   0.2000  
  203.00   4.7000    203.00   4.7000    203.00   0.6000    203.00   0.2000  
  204.00   4.7000    204.00   4.8000    204.00   0.7000    204.00   0.2000  
  205.00   4.8000    205.00   4.8000    205.00   0.6000    205.00   0.2000  
  206.00   4.8000    206.00   4.8000    206.00   0.7000    206.00   0.2000  
  207.00   4.8000    207.00   4.8000    207.00   0.8000    207.00   0.4000  
  208.00   4.7000    208.00   4.7000    208.00   0.7000    208.00   0.4000  
  209.00   4.8000    209.00   4.7000    209.00   0.5000    209.00   0.2000  
  210.00   4.7000    210.00   4.7000    210.00   0.7000    210.00   0.4000  
  211.00   4.9000    211.00   4.8000    211.00   0.8000    211.00   0.4000  
  212.00   4.8000    212.00   4.7000    212.00   0.8000    212.00   0.5000  
  213.00   4.8000    213.00   4.7000    213.00   0.7000    213.00   0.5000  
  214.00   4.8000    214.00   4.7000    214.00   0.8000    214.00   0.5000  
  215.00   4.8000    215.00   4.7000    215.00   0.7000    215.00   0.5000  
  216.00   4.8000    216.00   4.7000    216.00   0.6000    216.00   0.4000  
  217.00   4.8000    217.00   4.7000    217.00   0.5000    217.00   0.2000  
  218.00   4.8000    218.00   4.7000    218.00   0.5000    218.00   0.2000  
  219.00   4.7000    219.00   4.7000    219.00   0.4000    219.00   0.2000  
  220.00   4.8000    220.00   4.8000    220.00   0.5000    220.00   0.3000  
  221.00   4.8000    221.00   4.8000    221.00   0.4000    221.00   0.3000  
  222.00   4.7000    222.00   4.7000    222.00   0.6000    222.00   0.2000  
  223.00   4.8000    223.00   4.7000    223.00   0.6000    223.00   0.2000  
  224.00   4.7000    224.00   4.7000    224.00   0.5000    224.00   0.2000  
