Date : 2022/09/13 (TUE)
Time : 08:28:30
        Tension 1          Tension 2              Nip 1              Nip 2  
     X        Y         X        Y         X        Y         X        Y    
    0.00   4.7000      0.00   4.4000      0.00   0.3000      0.00  -0.1000  
    1.00   4.8000      1.00   4.4000      1.00   0.3000      1.00   0.0000  
    2.00   4.7000      2.00   4.3000      2.00   0.4000      2.00  -0.1000  
    3.00   4.8000      3.00   4.4000      3.00   0.3000      3.00  -0.1000  
    4.00   4.7000      4.00   4.4000      4.00   0.3000      4.00  -0.1000  
    5.00   4.7000      5.00   4.4000      5.00   0.4000      5.00  -0.1000  
    6.00   4.8000      6.00   4.4000      6.00   0.3000      6.00  -0.1000  
    7.00   4.7000      7.00   4.4000      7.00   0.3000      7.00   0.0000  
    8.00   4.7000      8.00   4.3000      8.00   0.3000      8.00  -0.1000  
    9.00   4.8000      9.00   4.4000      9.00   0.4000      9.00  -0.2000  
   10.00   4.6000     10.00   4.4000     10.00   0.2000     10.00  -0.1000  
   11.00   4.7000     11.00   4.4000     11.00   0.3000     11.00  -0.1000  
   12.00   4.8000     12.00   4.3000     12.00   0.3000     12.00  -0.1000  
   13.00   4.6000     13.00   4.3000     13.00   0.2000     13.00  -0.1000  
   14.00   4.9000     14.00   4.4000     14.00   0.2000     14.00  -0.1000  
   15.00   4.9000     15.00   4.4000     15.00   0.3000     15.00  -0.1000  
   16.00   4.7000     16.00   4.4000     16.00   0.4000     16.00   0.0000  
   17.00   4.8000     17.00   4.4000     17.00   0.4000     17.00  -0.2000  
   18.00   4.8000     18.00   4.4000     18.00   0.2000     18.00  -0.1000  
   19.00   4.7000     19.00   4.3000     19.00   0.3000     19.00  -0.1000  
   20.00   4.9000     20.00   4.4000     20.00   0.3000     20.00  -0.1000  
   21.00   4.6000     21.00   4.4000     21.00   0.3000     21.00  -0.1000  
   22.00   4.9000     22.00   4.4000     22.00   0.3000     22.00  -0.1000  
   23.00   4.9000     23.00   4.4000     23.00   0.4000     23.00  -0.1000  
   24.00   4.8000     24.00   4.4000     24.00   0.4000     24.00  -0.1000  
   25.00   4.7000     25.00   4.4000     25.00   0.3000     25.00  -0.2000  
   26.00   4.9000     26.00   4.4000     26.00   0.3000     26.00  -0.2000  
   27.00   4.7000     27.00   4.3000     27.00   0.3000     27.00  -0.1000  
   28.00   4.9000     28.00   4.4000     28.00   0.3000     28.00  -0.1000  
   29.00   4.7000     29.00   4.3000     29.00   0.3000     29.00  -0.2000  
   30.00   4.7000     30.00   4.4000     30.00   0.3000     30.00  -0.2000  
   31.00   4.7000     31.00   4.4000     31.00   0.3000     31.00  -0.1000  
   32.00   4.7000     32.00   4.4000     32.00   0.3000     32.00  -0.1000  
   33.00   4.7000     33.00   4.4000     33.00   0.4000     33.00  -0.1000  
   34.00   4.9000     34.00   4.3000     34.00   0.3000     34.00  -0.2000  
   35.00   4.6000     35.00   4.3000     35.00   0.3000     35.00  -0.1000  
   36.00   4.8000     36.00   4.4000     36.00   0.3000     36.00  -0.2000  
   37.00   4.7000     37.00   4.4000     37.00   0.3000     37.00   0.0000  
   38.00   4.7000     38.00   4.3000     38.00   0.3000     38.00   0.0000  
   39.00   4.9000     39.00   4.3000     39.00   0.3000     39.00   0.0000  
   40.00   4.7000     40.00   4.3000     40.00   0.3000     40.00  -0.1000  
   41.00   4.7000     41.00   4.4000     41.00   0.3000     41.00   0.0000  
   42.00   4.7000     42.00   4.4000     42.00   0.4000     42.00  -0.1000  
   43.00   4.7000     43.00   4.4000     43.00   0.4000     43.00  -0.2000  
   44.00   4.7000     44.00   4.3000     44.00   0.3000     44.00  -0.2000  
   45.00   4.8000     45.00   4.4000     45.00   0.2000     45.00  -0.1000  
   46.00   4.7000     46.00   4.4000     46.00   0.4000     46.00  -0.1000  
   47.00   4.9000     47.00   4.3000     47.00   0.4000     47.00  -0.1000  
   48.00   4.6000     48.00   4.4000     48.00   0.3000     48.00  -0.1000  
   49.00   4.8000     49.00   4.4000     49.00   0.3000     49.00  -0.1000  
   50.00   4.8000     50.00   4.4000     50.00   0.4000     50.00  -0.1000  
   51.00   4.9000     51.00   4.3000     51.00   0.4000     51.00   0.0000  
   52.00   4.6000     52.00   4.4000     52.00   0.3000     52.00   0.0000  
   53.00   4.8000     53.00   4.4000     53.00   0.3000     53.00  -0.1000  
   54.00   4.7000     54.00   4.5000     54.00   0.3000     54.00  -0.1000  
   55.00   4.9000     55.00   4.4000     55.00   0.3000     55.00  -0.1000  
   56.00   4.8000     56.00   4.4000     56.00   0.3000     56.00  -0.1000  
   57.00   4.8000     57.00   4.4000     57.00   0.3000     57.00  -0.1000  
   58.00   4.7000     58.00   4.4000     58.00   0.3000     58.00  -0.1000  
   59.00   4.8000     59.00   4.3000     59.00   0.3000     59.00   0.0000  
   60.00   4.6000     60.00   4.4000     60.00   0.4000     60.00  -0.1000  
   61.00   4.8000     61.00   4.3000     61.00   0.3000     61.00  -0.1000  
   62.00   4.8000     62.00   4.4000     62.00   0.4000     62.00  -0.1000  
   63.00   4.7000     63.00   4.4000     63.00   0.3000     63.00   0.0000  
   64.00   4.8000     64.00   4.4000     64.00   0.4000     64.00   0.0000  
