Date : 2022/09/13 (TUE)
Time : 08:28:47
   Film : Pattern         Review Cam  
     X        Y         X        Y    
    0.00 -0.17581      0.00  0.00000  
    1.00 -0.19013      1.00  0.00000  
    2.00 -0.07955      2.00  0.00000  
    3.00  0.00000      3.00  0.00000  
    4.00  0.00000      4.00  0.00000  
    5.00 -0.02353      5.00  0.00000  
    6.00 -0.00962      6.00  0.00000  
    7.00 -0.02038      7.00  0.00000  
    8.00  0.00000      8.00  0.00000  
    9.00 -0.00600      9.00  0.00000  
   10.00 -0.01442     10.00  0.00000  
   11.00 -0.01873     11.00  0.00000  
   12.00 -0.02259     12.00  0.00000  
   13.00 -0.01424     13.00  0.00000  
   14.00 -0.02180     14.00  0.00000  
   15.00 -0.02487     15.00  0.00000  
   16.00 -0.01975     16.00  0.00000  
   17.00  0.00000     17.00  0.00000  
   18.00  0.00000     18.00  0.00000  
   19.00 -0.01301     19.00  0.00000  
   20.00 -0.00890     20.00  0.00000  
   21.00 -0.00479     21.00  0.00000  
   22.00 -0.00747     22.00  0.00000  
   23.00 -0.01480     23.00  0.00000  
   24.00  0.00601     24.00  0.00000  
   25.00  0.00476     25.00  0.00000  
   26.00 -0.02276     26.00  0.00000  
   27.00 -0.01678     27.00  0.00000  
   28.00  0.02812     28.00  0.00000  
   29.00  0.01273     29.00  0.00000  
   30.00  0.00000     30.00  0.00000  
   31.00  0.00361     31.00  0.00000  
   32.00  0.00000     32.00  0.00000  
   33.00 -0.00593     33.00  0.00000  
   34.00 -0.00482     34.00  0.00000  
   35.00  0.01008     35.00  0.00000  
   36.00  0.01115     36.00  0.00000  
   37.00 -0.00349     37.00  0.00000  
   38.00 -0.00827     38.00  0.00000  
   39.00  0.00523     39.00  0.00000  
   40.00 -0.01338     40.00  0.00000  
   41.00 -0.00701     41.00  0.00000  
   42.00 -0.00747     42.00  0.00000  
   43.00 -0.00548     43.00  0.00000  
   44.00 -0.01514     44.00  0.00000  
   45.00  0.00000     45.00  0.00000  
   46.00  0.01170     46.00  0.00000  
   47.00  0.00000     47.00  0.00000  
   48.00  0.01120     48.00  0.00000  
   49.00 -0.00356     49.00  0.00000  
   50.00  0.00516     50.00  0.00000  
   51.00 -0.00586     51.00  0.00000  
   52.00 -0.00668     52.00  0.00000  
   53.00  0.00448     53.00  0.00000  
   54.00  0.01682     54.00  0.00000  
   55.00  0.00000     55.00  0.00000  
   56.00  0.00000     56.00  0.00000  
   57.00  0.00930     57.00  0.00000  
   58.00 -0.00604     58.00  0.00000  
   59.00 -0.00946     59.00  0.00000  
   60.00 -0.00497     60.00  0.00000  
   61.00  0.00000     61.00  0.00000  
   62.00  0.00962     62.00  0.00000  
   63.00  0.00559     63.00  0.00000  
   64.00  0.00000     64.00  0.00000  
   65.00 -0.00422     65.00  0.00000  
   66.00  0.00000     66.00  0.00000  
   67.00 -0.00447     67.00  0.00000  
   68.00 -0.01162     68.00  0.00000  
   69.00  0.00348     69.00  0.00000  
   70.00  0.00305     70.00  0.00000  
   71.00  0.00000     71.00  0.00000  
   72.00 -0.00472     72.00  0.00000  
   73.00 -0.00885     73.00  0.00000  
