Date : 2022/09/13 (TUE)
Time : 10:30:13
        Tension 1          Tension 2              Nip 1              Nip 2  
     X        Y         X        Y         X        Y         X        Y    
    0.00   5.4000      0.00   4.9000      0.00   0.4000      0.00   0.2000  
    1.00   5.2000      1.00   4.8000      1.00   0.4000      1.00   0.2000  
    2.00   5.2000      2.00   5.1000      2.00   0.3000      2.00   0.3000  
    3.00   5.0000      3.00   5.1000      3.00   0.4000      3.00   0.2000  
    4.00   5.0000      4.00   5.0000      4.00   0.4000      4.00   0.3000  
    5.00   5.0000      5.00   5.0000      5.00   0.3000      5.00   0.2000  
    6.00   5.1000      6.00   4.9000      6.00   0.3000      6.00   0.2000  
    7.00   5.2000      7.00   4.9000      7.00   0.3000      7.00   0.2000  
    8.00   5.3000      8.00   5.0000      8.00   0.4000      8.00   0.2000  
    9.00   5.3000      9.00   4.9000      9.00   0.3000      9.00   0.3000  
   10.00   5.3000     10.00   5.0000     10.00   0.3000     10.00   0.2000  
   11.00   5.3000     11.00   4.9000     11.00   0.4000     11.00   0.3000  
   12.00   5.2000     12.00   4.9000     12.00   0.2000     12.00   0.2000  
   13.00   5.1000     13.00   5.1000     13.00   0.4000     13.00   0.3000  
   14.00   5.0000     14.00   5.2000     14.00   0.3000     14.00   0.3000  
   15.00   5.0000     15.00   5.2000     15.00   0.4000     15.00   0.2000  
   16.00   5.2000     16.00   5.2000     16.00   0.3000     16.00   0.2000  
   17.00   5.3000     17.00   5.2000     17.00   0.3000     17.00   0.2000  
   18.00   5.4000     18.00   5.2000     18.00   0.4000     18.00   0.2000  
   19.00   5.3000     19.00   5.2000     19.00   0.4000     19.00   0.2000  
   20.00   5.4000     20.00   5.3000     20.00   0.3000     20.00   0.2000  
   21.00   5.3000     21.00   5.3000     21.00   0.4000     21.00   0.2000  
   22.00   5.2000     22.00   5.3000     22.00   0.3000     22.00   0.3000  
   23.00   5.1000     23.00   5.2000     23.00   0.3000     23.00   0.2000  
   24.00   5.0000     24.00   5.3000     24.00   0.3000     24.00   0.2000  
   25.00   5.0000     25.00   5.4000     25.00   0.4000     25.00   0.2000  
   26.00   5.0000     26.00   5.4000     26.00   0.4000     26.00   0.2000  
   27.00   5.3000     27.00   5.4000     27.00   0.4000     27.00   0.2000  
   28.00   5.4000     28.00   5.4000     28.00   0.3000     28.00   0.2000  
   29.00   5.4000     29.00   5.4000     29.00   0.4000     29.00   0.3000  
   30.00   5.3000     30.00   5.4000     30.00   0.3000     30.00   0.2000  
   31.00   5.3000     31.00   5.4000     31.00   0.3000     31.00   0.2000  
   32.00   5.2000     32.00   5.3000     32.00   0.4000     32.00   0.2000  
   33.00   5.2000     33.00   5.4000     33.00   0.3000     33.00   0.2000  
   34.00   5.1000     34.00   5.3000     34.00   0.3000     34.00   0.2000  
   35.00   5.0000     35.00   5.3000     35.00   0.4000     35.00   0.2000  
   36.00   5.0000     36.00   5.4000     36.00   0.3000     36.00   0.3000  
   37.00   5.1000     37.00   5.3000     37.00   0.4000     37.00   0.2000  
   38.00   5.2000     38.00   5.2000     38.00   0.4000     38.00   0.2000  
   39.00   5.3000     39.00   5.0000     39.00   0.3000     39.00   0.2000  
   40.00   5.3000     40.00   5.2000     40.00   0.3000     40.00   0.2000  
   41.00   5.3000     41.00   5.1000     41.00   0.4000     41.00   0.2000  
   42.00   5.2000     42.00   5.1000     42.00   0.3000     42.00   0.3000  
   43.00   5.2000     43.00   5.2000     43.00   0.4000     43.00   0.2000  
   44.00   5.0000     44.00   5.2000     44.00   0.3000     44.00   0.2000  
   45.00   5.0000     45.00   5.2000     45.00   0.4000     45.00   0.2000  
   46.00   5.0000     46.00   5.0000     46.00   0.3000     46.00   0.2000  
   47.00   5.1000     47.00   5.1000     47.00   0.4000     47.00   0.2000  
   48.00   5.2000     48.00   5.2000     48.00   0.4000     48.00   0.2000  
   49.00   5.2000     49.00   5.1000     49.00   0.4000     49.00   0.2000  
   50.00   5.1000     50.00   5.0000     50.00   0.3000     50.00   0.3000  
   51.00   5.0000     51.00   5.0000     51.00   0.4000     51.00   0.2000  
   52.00   4.9000     52.00   5.0000     52.00   0.3000     52.00   0.2000  
   53.00   4.9000     53.00   5.0000     53.00   0.3000     53.00   0.3000  
   54.00   4.9000     54.00   4.9000     54.00   0.3000     54.00   0.2000  
   55.00   4.9000     55.00   4.9000     55.00   0.3000     55.00   0.2000  
   56.00   4.8000     56.00   4.9000     56.00   0.4000     56.00   0.2000  
   57.00   4.9000     57.00   4.9000     57.00   0.4000     57.00   0.3000  
   58.00   4.8000     58.00   4.9000     58.00   0.4000     58.00   0.2000  
   59.00   4.9000     59.00   5.0000     59.00   0.4000     59.00   0.3000  
   60.00   4.9000     60.00   5.0000     60.00   0.3000     60.00   0.2000  
   61.00   4.9000     61.00   4.9000     61.00   0.4000     61.00   0.3000  
   62.00   4.9000     62.00   4.9000     62.00   0.4000     62.00   0.3000  
   63.00   5.0000     63.00   4.7000     63.00   0.4000     63.00   0.3000  
   64.00   5.0000     64.00   4.8000     64.00   0.3000     64.00   0.2000  
   65.00   4.9000     65.00   4.9000     65.00   0.3000     65.00   0.2000  
   66.00   5.0000     66.00   5.0000     66.00   0.4000     66.00   0.2000  
   67.00   5.0000     67.00   5.0000     67.00   0.4000     67.00   0.2000  
   68.00   5.0000     68.00   4.9000     68.00   0.4000     68.00   0.2000  
   69.00   5.0000     69.00   4.8000     69.00   0.4000     69.00   0.2000  
   70.00   5.0000     70.00   4.8000     70.00   0.4000     70.00   0.3000  
   71.00   5.0000     71.00   4.8000     71.00   0.4000     71.00   0.2000  
   72.00   5.0000     72.00   4.7000     72.00   0.4000     72.00   0.2000  
   73.00   4.9000     73.00   4.7000     73.00   0.3000     73.00   0.3000  
   74.00   5.0000     74.00   4.9000     74.00   0.3000     74.00   0.3000  
   75.00   4.9000     75.00   5.0000     75.00   0.4000     75.00   0.3000  
   76.00   4.9000     76.00   5.0000     76.00   0.4000     76.00   0.2000  
   77.00   5.0000     77.00   4.8000     77.00   0.4000     77.00   0.2000  
   78.00   5.0000     78.00   4.8000     78.00   0.3000     78.00   0.2000  
   79.00   5.0000     79.00   4.8000     79.00   0.3000     79.00   0.3000  
   80.00   4.9000     80.00   4.9000     80.00   0.3000     80.00   0.2000  
   81.00   4.8000     81.00   5.0000     81.00   0.4000     81.00   0.3000  
   82.00   4.9000     82.00   5.0000     82.00   0.3000     82.00   0.3000  
   83.00   4.9000     83.00   4.9000     83.00   0.4000     83.00   0.2000  
   84.00   5.0000     84.00   4.9000     84.00   0.3000     84.00   0.2000  
   85.00   4.9000     85.00   4.9000     85.00   0.3000     85.00   0.2000  
   86.00   4.9000     86.00   4.7000     86.00   0.4000     86.00   0.3000  
   87.00   5.0000     87.00   4.8000     87.00   0.4000     87.00   0.2000  
   88.00   5.0000     88.00   4.8000     88.00   0.2000     88.00   0.3000  
   89.00   5.0000     89.00   4.9000     89.00   0.4000     89.00   0.3000  
   90.00   4.9000     90.00   5.0000     90.00   0.3000     90.00   0.2000  
   91.00   4.9000     91.00   5.0000     91.00   0.4000     91.00   0.2000  
   92.00   5.0000     92.00   4.9000     92.00   0.4000     92.00   0.2000  
