Date : 2022/09/13 (TUE)
Time : 10:30:26
         UnWinder        OutFeeder 1        OutFeeder 2  
     X        Y         X        Y         X        Y    
    0.00     5.50      0.00     3.90      0.00     3.00  
    1.00     5.50      1.00     3.90      1.00     3.00  
    2.00     5.60      2.00     4.10      2.00     3.00  
    3.00     5.60      3.00     4.10      3.00     3.00  
    4.00     5.40      4.00     3.90      4.00     3.10  
    5.00     5.80      5.00     4.00      5.00     3.10  
    6.00     5.40      6.00     4.00      6.00     3.10  
    7.00     5.40      7.00     3.90      7.00     3.10  
    8.00     5.40      8.00     3.90      8.00     2.90  
    9.00     5.80      9.00     3.70      9.00     2.80  
   10.00     5.80     10.00     3.90     10.00     2.80  
   11.00     5.80     11.00     3.90     11.00     2.80  
   12.00     5.90     12.00     3.90     12.00     2.80  
   13.00     5.80     13.00     3.90     13.00     2.80  
   14.00     5.70     14.00     3.70     14.00     2.80  
   15.00     5.50     15.00     3.80     15.00     3.00  
   16.00     5.40     16.00     3.80     16.00     3.00  
   17.00     5.40     17.00     3.80     17.00     2.80  
   18.00     5.40     18.00     3.80     18.00     2.80  
   19.00     5.70     19.00     3.80     19.00     2.80  
   20.00     5.50     20.00     3.80     20.00     2.80  
   21.00     5.50     21.00     3.80     21.00     2.80  
   22.00     5.70     22.00     3.80     22.00     2.70  
   23.00     5.60     23.00     3.80     23.00     2.70  
   24.00     5.50     24.00     3.80     24.00     2.70  
   25.00     5.80     25.00     3.70     25.00     2.80  
   26.00     5.50     26.00     3.70     26.00     2.80  
   27.00     5.40     27.00     3.60     27.00     2.80  
   28.00     5.40     28.00     3.70     28.00     2.80  
   29.00     5.40     29.00     3.60     29.00     2.70  
   30.00     5.80     30.00     3.70     30.00     2.70  
   31.00     5.90     31.00     3.70     31.00     2.60  
   32.00     5.90     32.00     4.10     32.00     2.80  
   33.00     5.90     33.00     3.70     33.00     2.70  
   34.00     5.70     34.00     3.80     34.00     2.70  
   35.00     5.50     35.00     3.70     35.00     2.80  
   36.00     5.50     36.00     3.70     36.00     2.80  
   37.00     5.90     37.00     3.70     37.00     2.80  
   38.00     5.50     38.00     4.00     38.00     3.10  
   39.00     5.40     39.00     3.80     39.00     2.70  
   40.00     5.80     40.00     3.80     40.00     2.70  
   41.00     5.40     41.00     3.80     41.00     2.60  
   42.00     5.40     42.00     3.80     42.00     2.60  
   43.00     5.70     43.00     4.10     43.00     2.90  
   44.00     5.40     44.00     3.80     44.00     2.70  
   45.00     5.40     45.00     4.00     45.00     3.10  
   46.00     5.60     46.00     3.80     46.00     2.80  
   47.00     5.50     47.00     3.70     47.00     2.80  
   48.00     5.50     48.00     4.00     48.00     3.10  
   49.00     5.40     49.00     3.80     49.00     2.80  
   50.00     5.40     50.00     3.90     50.00     3.00  
   51.00     5.40     51.00     3.80     51.00     2.70  
   52.00     5.60     52.00     3.80     52.00     2.70  
   53.00     5.90     53.00     4.10     53.00     2.70  
   54.00     5.90     54.00     4.10     54.00     3.00  
   55.00     5.90     55.00     3.70     55.00     2.70  
   56.00     5.90     56.00     3.70     56.00     2.90  
