Date : 2022/09/13 (TUE)
Time : 11:40:57
        Tension 1          Tension 2              Nip 1              Nip 2  
     X        Y         X        Y         X        Y         X        Y    
    0.00   4.7000      0.00   3.9000      0.00   0.4000      0.00  -0.1000  
    1.00   4.6000      1.00   4.0000      1.00   0.3000      1.00  -0.1000  
    2.00   4.7000      2.00   4.0000      2.00   0.3000      2.00  -0.1000  
    3.00   4.6000      3.00   3.9000      3.00   0.3000      3.00  -0.1000  
    4.00   4.7000      4.00   4.0000      4.00   0.4000      4.00   0.0000  
    5.00   4.6000      5.00   3.9000      5.00   0.3000      5.00  -0.1000  
    6.00   4.6000      6.00   4.0000      6.00   0.3000      6.00  -0.1000  
    7.00   4.7000      7.00   4.0000      7.00   0.3000      7.00  -0.2000  
    8.00   4.6000      8.00   4.0000      8.00   0.3000      8.00  -0.2000  
    9.00   4.7000      9.00   4.0000      9.00   0.3000      9.00  -0.1000  
   10.00   4.5000     10.00   4.0000     10.00   0.4000     10.00   0.0000  
   11.00   4.5000     11.00   4.0000     11.00   0.4000     11.00   0.0000  
   12.00   4.6000     12.00   4.0000     12.00   0.4000     12.00  -0.1000  
   13.00   4.7000     13.00   4.0000     13.00   0.3000     13.00  -0.1000  
   14.00   4.5000     14.00   4.0000     14.00   0.3000     14.00  -0.1000  
   15.00   4.7000     15.00   4.0000     15.00   0.4000     15.00  -0.1000  
   16.00   4.5000     16.00   4.0000     16.00   0.3000     16.00  -0.2000  
   17.00   4.7000     17.00   3.9000     17.00   0.4000     17.00  -0.2000  
   18.00   4.7000     18.00   4.0000     18.00   0.4000     18.00  -0.1000  
   19.00   4.7000     19.00   4.0000     19.00   0.3000     19.00   0.0000  
   20.00   4.6000     20.00   3.9000     20.00   0.4000     20.00  -0.1000  
   21.00   4.7000     21.00   4.0000     21.00   0.3000     21.00  -0.1000  
   22.00   4.5000     22.00   4.0000     22.00   0.3000     22.00  -0.1000  
   23.00   4.7000     23.00   4.0000     23.00   0.3000     23.00  -0.1000  
   24.00   4.7000     24.00   4.0000     24.00   0.4000     24.00  -0.1000  
   25.00   4.5000     25.00   3.9000     25.00   0.3000     25.00  -0.2000  
   26.00   4.7000     26.00   4.0000     26.00   0.4000     26.00  -0.2000  
   27.00   4.6000     27.00   4.0000     27.00   0.4000     27.00  -0.1000  
   28.00   4.6000     28.00   4.0000     28.00   0.3000     28.00  -0.1000  
   29.00   4.7000     29.00   4.0000     29.00   0.4000     29.00  -0.1000  
   30.00   4.7000     30.00   3.9000     30.00   0.4000     30.00  -0.1000  
   31.00   4.5000     31.00   4.0000     31.00   0.5000     31.00  -0.2000  
   32.00   4.7000     32.00   3.9000     32.00   0.4000     32.00  -0.2000  
   33.00   4.6000     33.00   4.0000     33.00   0.3000     33.00   0.0000  
   34.00   4.8000     34.00   4.0000     34.00   0.3000     34.00  -0.1000  
   35.00   4.7000     35.00   4.0000     35.00   0.3000     35.00  -0.1000  
   36.00   4.6000     36.00   4.0000     36.00   0.3000     36.00  -0.1000  
   37.00   4.6000     37.00   4.0000     37.00   0.3000     37.00  -0.1000  
   38.00   4.6000     38.00   4.0000     38.00   0.3000     38.00  -0.1000  
   39.00   4.6000     39.00   4.0000     39.00   0.4000     39.00   0.0000  
   40.00   4.7000     40.00   4.0000     40.00   0.3000     40.00  -0.1000  
   41.00   4.6000     41.00   4.0000     41.00   0.4000     41.00  -0.1000  
   42.00   4.7000     42.00   4.0000     42.00   0.3000     42.00   0.0000  
   43.00   4.7000     43.00   3.9000     43.00   0.3000     43.00  -0.1000  
   44.00   4.6000     44.00   4.0000     44.00   0.4000     44.00  -0.1000  
   45.00   4.8000     45.00   4.0000     45.00   0.4000     45.00  -0.2000  
   46.00   4.8000     46.00   4.0000     46.00   0.4000     46.00  -0.1000  
   47.00   4.6000     47.00   4.0000     47.00   0.4000     47.00  -0.1000  
   48.00   4.6000     48.00   4.0000     48.00   0.3000     48.00  -0.1000  
   49.00   4.6000     49.00   4.0000     49.00   0.3000     49.00  -0.1000  
   50.00   4.6000     50.00   3.9000     50.00   0.3000     50.00  -0.1000  
   51.00   4.8000     51.00   4.0000     51.00   0.4000     51.00  -0.1000  
   52.00   4.5000     52.00   4.0000     52.00   0.3000     52.00  -0.1000  
   53.00   4.7000     53.00   4.0000     53.00   0.4000     53.00  -0.1000  
   54.00   4.6000     54.00   3.9000     54.00   0.3000     54.00  -0.1000  
   55.00   4.7000     55.00   3.9000     55.00   0.3000     55.00  -0.1000  
   56.00   4.7000     56.00   4.0000     56.00   0.4000     56.00  -0.2000  
   57.00   4.7000     57.00   4.0000     57.00   0.4000     57.00  -0.1000  
   58.00   4.6000     58.00   3.9000     58.00   0.3000     58.00   0.0000  
