Date : 2022/09/13 (TUE)
Time : 11:41:07
         UnWinder        OutFeeder 1        OutFeeder 2  
     X        Y         X        Y         X        Y    
    0.00     5.50      0.00     3.80      0.00     2.80  
    1.00     5.50      1.00     3.80      1.00     2.80  
    2.00     5.50      2.00     3.80      2.00     2.80  
    3.00     5.50      3.00     3.80      3.00     2.80  
    4.00     5.50      4.00     3.80      4.00     2.80  
    5.00     5.50      5.00     3.80      5.00     2.80  
    6.00     5.50      6.00     3.80      6.00     2.80  
    7.00     5.50      7.00     3.80      7.00     2.80  
    8.00     5.50      8.00     3.70      8.00     2.80  
    9.00     5.50      9.00     3.80      9.00     2.80  
   10.00     5.50     10.00     3.80     10.00     2.80  
   11.00     5.50     11.00     3.80     11.00     2.80  
   12.00     5.50     12.00     3.80     12.00     2.80  
   13.00     5.50     13.00     3.80     13.00     2.70  
   14.00     5.50     14.00     3.80     14.00     2.70  
   15.00     5.50     15.00     3.80     15.00     2.80  
   16.00     5.50     16.00     3.80     16.00     2.80  
   17.00     5.50     17.00     3.80     17.00     2.70  
   18.00     5.50     18.00     3.80     18.00     2.80  
   19.00     5.50     19.00     3.80     19.00     2.70  
   20.00     5.50     20.00     3.80     20.00     2.70  
   21.00     5.50     21.00     3.80     21.00     2.80  
   22.00     5.50     22.00     3.70     22.00     2.80  
   23.00     5.50     23.00     3.80     23.00     2.80  
   24.00     5.50     24.00     3.80     24.00     2.80  
   25.00     5.50     25.00     3.80     25.00     2.80  
   26.00     5.50     26.00     3.80     26.00     2.80  
   27.00     5.50     27.00     3.80     27.00     2.80  
   28.00     5.50     28.00     3.80     28.00     2.80  
   29.00     5.50     29.00     3.80     29.00     2.80  
   30.00     5.50     30.00     3.80     30.00     2.80  
   31.00     5.50     31.00     3.80     31.00     2.80  
   32.00     5.50     32.00     3.80     32.00     2.80  
   33.00     5.50     33.00     3.80     33.00     2.80  
   34.00     5.50     34.00     3.80     34.00     2.80  
   35.00     5.50     35.00     3.80     35.00     2.80  
   36.00     5.50     36.00     3.70     36.00     2.80  
   37.00     5.50     37.00     3.80     37.00     2.80  
   38.00     5.50     38.00     3.80     38.00     2.80  
   39.00     5.50     39.00     3.80     39.00     2.80  
   40.00     5.50     40.00     3.80     40.00     2.80  
   41.00     5.50     41.00     3.80     41.00     2.80  
   42.00     5.50     42.00     3.80     42.00     2.80  
   43.00     5.50     43.00     3.80     43.00     2.80  
   44.00     5.50     44.00     3.80     44.00     2.80  
   45.00     5.50     45.00     3.80     45.00     2.80  
   46.00     5.50     46.00     3.80     46.00     2.80  
   47.00     5.50     47.00     3.70     47.00     2.80  
   48.00     5.50     48.00     3.70     48.00     2.80  
   49.00     5.50     49.00     3.80     49.00     2.80  
   50.00     5.50     50.00     3.80     50.00     2.80  
   51.00     5.50     51.00     3.80     51.00     2.80  
   52.00     5.50     52.00     3.80     52.00     2.80  
   53.00     5.50     53.00     3.80     53.00     2.80  
   54.00     5.50     54.00     3.80     54.00     2.80  
   55.00     5.50     55.00     3.80     55.00     2.80  
   56.00     5.50     56.00     3.70     56.00     2.80  
   57.00     5.50     57.00     3.80     57.00     2.80  
   58.00     5.50     58.00     3.80     58.00     2.90  
   59.00     5.50     59.00     3.80     59.00     2.80  
   60.00     5.50     60.00     3.80     60.00     2.80  
   61.00     5.50     61.00     3.80     61.00     2.80  
   62.00     5.50     62.00     3.80     62.00     2.80  
   63.00     5.50     63.00     3.80     63.00     2.80  
   64.00     5.50     64.00     3.70     64.00     2.80  
   65.00     5.50     65.00     3.80     65.00     2.80  
   66.00     5.50     66.00     3.80     66.00     2.80  
   67.00     5.50     67.00     3.80     67.00     2.80  
   68.00     5.50     68.00     3.80     68.00     2.80  
   69.00     5.50     69.00     3.80     69.00     2.80  
   70.00     5.50     70.00     3.80     70.00     2.80  
   71.00     5.50     71.00     3.80     71.00     2.80  
   72.00     5.50     72.00     3.80     72.00     2.80  
   73.00     5.50     73.00     3.80     73.00     2.80  
   74.00     5.50     74.00     3.80     74.00     2.80  
   75.00     5.50     75.00     3.70     75.00     2.80  
   76.00     5.50     76.00     3.70     76.00     2.80  
   77.00     5.50     77.00     3.80     77.00     2.70  
   78.00     5.50     78.00     3.80     78.00     2.80  
   79.00     5.50     79.00     3.80     79.00     2.80  
   80.00     5.50     80.00     3.80     80.00     2.90  
   81.00     5.50     81.00     3.80     81.00     2.80  
   82.00     5.50     82.00     3.80     82.00     2.80  
   83.00     5.50     83.00     3.80     83.00     2.70  
   84.00     5.50     84.00     3.80     84.00     2.80  
   85.00     5.50     85.00     3.70     85.00     2.80  
