Date : 2022/09/13 (TUE)
Time : 11:40:44
   Film : Pattern         Review Cam  
     X        Y         X        Y    
    0.00  0.16442      0.00  0.00000  
    1.00  0.18487      1.00  0.00000  
    2.00 -0.02087      2.00  0.00000  
    3.00  0.00323      3.00  0.00000  
    4.00  0.00947      4.00  0.00000  
    5.00  0.01054      5.00  0.00000  
    6.00  0.00489      6.00  0.00000  
    7.00  0.00000      7.00  0.00000  
    8.00 -0.00872      8.00  0.00000  
    9.00 -0.00925      9.00  0.00000  
   10.00  0.00000     10.00  0.00000  
   11.00 -0.01872     11.00  0.00000  
   12.00 -0.00507     12.00  0.00000  
   13.00 -0.00817     13.00  0.00000  
   14.00 -0.01091     14.00  0.00000  
   15.00 -0.01366     15.00  0.00000  
   16.00 -0.01286     16.00  0.00000  
   17.00 -0.01617     17.00  0.00000  
   18.00 -0.01557     18.00  0.00000  
   19.00 -0.01456     19.00  0.00000  
   20.00 -0.00678     20.00  0.00000  
   21.00 -0.01685     21.00  0.00000  
   22.00 -0.01630     22.00  0.00000  
   23.00 -0.01299     23.00  0.00000  
   24.00 -0.01538     24.00  0.00000  
   25.00 -0.01872     25.00  0.00000  
   26.00 -0.01083     26.00  0.00000  
   27.00 -0.01298     27.00  0.00000  
   28.00  0.00000     28.00  0.00000  
   29.00 -0.01133     29.00  0.00000  
   30.00 -0.00538     30.00  0.00000  
   31.00  0.00000     31.00  0.00000  
   32.00 -0.00493     32.00  0.00000  
   33.00 -0.00651     33.00  0.00000  
   34.00 -0.00316     34.00  0.00000  
   35.00 -0.00823     35.00  0.00000  
   36.00  0.00000     36.00  0.00000  
   37.00  0.00000     37.00  0.00000  
   38.00 -0.00576     38.00  0.00000  
   39.00 -0.00664     39.00  0.00000  
   40.00 -0.00559     40.00  0.00000  
   41.00  0.00000     41.00  0.00000  
   42.00  0.00000     42.00  0.00000  
   43.00  0.00000     43.00  0.00000  
   44.00  0.00000     44.00  0.00000  
   45.00 -0.00895     45.00  0.00000  
   46.00 -0.01788     46.00  0.00000  
   47.00 -0.00431     47.00  0.00000  
   48.00  0.00000     48.00  0.00000  
   49.00  0.00000     49.00  0.00000  
   50.00  0.00337     50.00  0.00000  
   51.00  0.00000     51.00  0.00000  
   52.00  0.00000     52.00  0.00000  
   53.00 -0.00801     53.00  0.00000  
   54.00 -0.01489     54.00  0.00000  
   55.00 -0.00827     55.00  0.00000  
   56.00  0.00000     56.00  0.00000  
   57.00  0.00387     57.00  0.00000  
   58.00  0.00434     58.00  0.00000  
   59.00 -0.00373     59.00  0.00000  
   60.00  0.00000     60.00  0.00000  
   61.00  0.00000     61.00  0.00000  
   62.00 -0.00352     62.00  0.00000  
   63.00 -0.00863     63.00  0.00000  
   64.00 -0.00672     64.00  0.00000  
   65.00  0.00306     65.00  0.00000  
   66.00  0.00607     66.00  0.00000  
   67.00  0.00000     67.00  0.00000  
   68.00  0.00000     68.00  0.00000  
   69.00 -0.00701     69.00  0.00000  
   70.00 -0.01046     70.00  0.00000  
   71.00 -0.00910     71.00  0.00000  
   72.00 -0.00442     72.00  0.00000  
   73.00  0.00411     73.00  0.00000  
   74.00  0.00655     74.00  0.00000  
   75.00 -0.00333     75.00  0.00000  
   76.00  0.00000     76.00  0.00000  
   77.00 -0.00387     77.00  0.00000  
   78.00 -0.00923     78.00  0.00000  
   79.00 -0.01178     79.00  0.00000  
   80.00  0.00000     80.00  0.00000  
   81.00  0.00879     81.00  0.00000  
   82.00  0.00550     82.00  0.00000  
   83.00 -0.01073     83.00  0.00000  
   84.00 -0.01184     84.00  0.00000  
   85.00 -0.01332     85.00  0.00000  
   86.00  0.00000     86.00  0.00000  
   87.00  0.00000     87.00  0.00000  
