Date : 2022/09/13 (TUE)
Time : 08:28:37
         UnWinder        OutFeeder 1        OutFeeder 2  
     X        Y         X        Y         X        Y    
    0.00     5.60      0.00     3.60      0.00     2.80  
    1.00     5.70      1.00     3.60      1.00     2.80  
    2.00     5.70      2.00     3.60      2.00     2.80  
    3.00     5.60      3.00     3.60      3.00     2.80  
    4.00     5.70      4.00     3.70      4.00     2.90  
    5.00     5.70      5.00     3.60      5.00     2.80  
    6.00     5.70      6.00     3.50      6.00     2.80  
    7.00     5.70      7.00     3.60      7.00     2.80  
    8.00     5.70      8.00     3.60      8.00     2.80  
    9.00     5.70      9.00     3.60      9.00     2.80  
   10.00     5.70     10.00     3.60     10.00     2.80  
   11.00     5.60     11.00     3.50     11.00     2.80  
   12.00     5.60     12.00     3.50     12.00     2.80  
   13.00     5.60     13.00     3.60     13.00     2.80  
   14.00     5.60     14.00     3.60     14.00     2.80  
   15.00     5.60     15.00     3.60     15.00     2.80  
   16.00     5.60     16.00     3.60     16.00     2.80  
   17.00     5.60     17.00     3.60     17.00     2.80  
   18.00     5.60     18.00     3.50     18.00     2.80  
   19.00     5.60     19.00     3.60     19.00     2.80  
   20.00     5.60     20.00     3.60     20.00     2.80  
   21.00     5.60     21.00     3.60     21.00     2.80  
   22.00     5.60     22.00     3.60     22.00     2.80  
   23.00     5.60     23.00     3.60     23.00     2.80  
   24.00     5.60     24.00     3.60     24.00     2.80  
   25.00     5.60     25.00     3.60     25.00     2.80  
   26.00     5.60     26.00     3.50     26.00     2.80  
   27.00     5.60     27.00     3.60     27.00     2.80  
   28.00     5.60     28.00     3.60     28.00     2.80  
   29.00     5.60     29.00     3.60     29.00     2.80  
   30.00     5.60     30.00     3.60     30.00     2.80  
   31.00     5.60     31.00     3.60     31.00     2.80  
   32.00     5.60     32.00     3.60     32.00     2.80  
   33.00     5.60     33.00     3.60     33.00     2.80  
   34.00     5.60     34.00     3.60     34.00     2.80  
   35.00     5.60     35.00     3.60     35.00     2.80  
   36.00     5.60     36.00     3.60     36.00     2.80  
   37.00     5.60     37.00     3.60     37.00     2.80  
   38.00     5.60     38.00     3.60     38.00     2.80  
   39.00     5.60     39.00     3.60     39.00     2.80  
   40.00     5.60     40.00     3.60     40.00     2.80  
   41.00     5.60     41.00     3.60     41.00     2.80  
   42.00     5.60     42.00     3.60     42.00     2.80  
   43.00     5.60     43.00     3.60     43.00     2.80  
   44.00     5.60     44.00     3.60     44.00     2.80  
   45.00     5.60     45.00     3.60     45.00     2.80  
   46.00     5.60     46.00     3.60     46.00     2.90  
   47.00     5.60     47.00     3.60     47.00     2.80  
   48.00     5.60     48.00     3.60     48.00     2.80  
   49.00     5.60     49.00     3.50     49.00     2.80  
   50.00     5.60     50.00     3.50     50.00     2.80  
   51.00     5.60     51.00     3.60     51.00     2.80  
   52.00     5.60     52.00     3.50     52.00     2.80  
   53.00     5.60     53.00     3.60     53.00     2.80  
   54.00     5.60     54.00     3.60     54.00     2.80  
   55.00     5.60     55.00     3.50     55.00     2.80  
   56.00     5.60     56.00     3.60     56.00     2.80  
   57.00     5.60     57.00     3.50     57.00     2.80  
   58.00     5.60     58.00     3.60     58.00     2.80  
   59.00     5.60     59.00     3.60     59.00     2.80  
   60.00     5.60     60.00     3.50     60.00     2.80  
   61.00     5.60     61.00     3.50     61.00     2.80  
   62.00     5.60     62.00     3.60     62.00     2.80  
   63.00     5.60     63.00     3.50     63.00     2.80  
   64.00     5.60     64.00     3.60     64.00     2.80  
   65.00     5.60     65.00     3.60     65.00     2.80  
   66.00     5.60     66.00     3.50     66.00     2.80  
   67.00     5.60     67.00     3.60     67.00     2.80  
   68.00     5.60     68.00     3.60     68.00     2.80  
   69.00     5.60     69.00     3.60     69.00     2.80  
   70.00     5.70     70.00     3.60     70.00     2.80  
   71.00     5.60     71.00     3.60     71.00     2.80  
   72.00     5.60     72.00     3.60     72.00     2.90  
   73.00     5.60     73.00     3.60     73.00     2.80  
   74.00     5.60     74.00     3.50     74.00     2.80  
   75.00     5.60     75.00     3.60     75.00     2.80  
   76.00     5.60     76.00     3.60     76.00     2.80  
   77.00     5.60     77.00     3.60     77.00     2.80  
   78.00     5.60     78.00     3.60     78.00     2.80  
   79.00     5.60     79.00     3.60     79.00     2.80  
   80.00     5.60     80.00     3.60     80.00     2.80  
   81.00     5.60     81.00     3.60     81.00     2.80  
   82.00     5.60     82.00     3.60     82.00     2.80  
   83.00     5.60     83.00     3.60     83.00     2.80  
   84.00     5.70     84.00     3.60     84.00     2.80  
   85.00     5.60     85.00     3.60     85.00     2.80  
   86.00     5.60     86.00     3.60     86.00     2.80  
   87.00     5.60     87.00     3.60     87.00     2.80  
   88.00     5.60     88.00     3.50     88.00     2.80  
   89.00     5.60     89.00     3.50     89.00     2.80  
   90.00     5.60     90.00     3.60     90.00     2.80  
   91.00     5.60     91.00     3.60     91.00     2.80  
   92.00     5.60     92.00     3.60     92.00     2.80  
   93.00     5.60     93.00     3.60     93.00     2.80  
   94.00     5.60     94.00     3.60     94.00     2.80  
   95.00     5.60     95.00     3.60     95.00     2.80  
   96.00     5.60     96.00     3.60     96.00     2.80  
   97.00     5.60     97.00     3.60     97.00     2.80  
   98.00     5.60     98.00     3.60     98.00     2.80  
