Date : 2022/09/13 (TUE)
Time : 10:30:20
        Tension 1          Tension 2              Nip 1              Nip 2  
     X        Y         X        Y         X        Y         X        Y    
    0.00   4.5000      0.00   4.4000      0.00   0.3000      0.00  -0.1000  
    1.00   5.0000      1.00   4.6000      1.00   0.4000      1.00  -0.1000  
    2.00   5.1000      2.00   4.6000      2.00   0.3000      2.00  -0.1000  
    3.00   5.0000      3.00   4.6000      3.00   0.3000      3.00  -0.2000  
    4.00   4.8000      4.00   4.3000      4.00   0.4000      4.00  -0.2000  
    5.00   4.8000      5.00   4.2000      5.00   0.3000      5.00  -0.1000  
    6.00   5.1000      6.00   4.2000      6.00   0.3000      6.00  -0.1000  
    7.00   5.2000      7.00   4.2000      7.00   0.3000      7.00  -0.1000  
    8.00   4.6000      8.00   4.1000      8.00   0.3000      8.00   0.0000  
    9.00   5.2000      9.00   4.4000      9.00   0.3000      9.00  -0.1000  
   10.00   5.2000     10.00   4.3000     10.00   0.3000     10.00  -0.1000  
   11.00   5.0000     11.00   4.6000     11.00   0.3000     11.00  -0.1000  
   12.00   5.1000     12.00   4.5000     12.00   0.4000     12.00  -0.1000  
   13.00   5.0000     13.00   4.6000     13.00   0.4000     13.00  -0.1000  
   14.00   4.6000     14.00   4.4000     14.00   0.3000     14.00  -0.1000  
   15.00   5.2000     15.00   4.3000     15.00   0.4000     15.00  -0.1000  
   16.00   5.0000     16.00   4.2000     16.00   0.4000     16.00  -0.1000  
   17.00   4.7000     17.00   4.2000     17.00   0.3000     17.00  -0.1000  
   18.00   5.0000     18.00   4.2000     18.00   0.3000     18.00  -0.1000  
   19.00   5.0000     19.00   4.2000     19.00   0.3000     19.00  -0.1000  
   20.00   4.9000     20.00   4.2000     20.00   0.3000     20.00  -0.1000  
   21.00   4.9000     21.00   4.3000     21.00   0.3000     21.00  -0.1000  
   22.00   4.9000     22.00   4.6000     22.00   0.3000     22.00  -0.2000  
   23.00   4.9000     23.00   4.6000     23.00   0.4000     23.00  -0.1000  
   24.00   5.0000     24.00   4.6000     24.00   0.4000     24.00  -0.1000  
   25.00   4.9000     25.00   4.4000     25.00   0.3000     25.00  -0.2000  
   26.00   5.1000     26.00   4.4000     26.00   0.4000     26.00  -0.2000  
   27.00   5.1000     27.00   4.2000     27.00   0.3000     27.00  -0.1000  
   28.00   4.9000     28.00   4.2000     28.00   0.3000     28.00  -0.2000  
   29.00   5.2000     29.00   4.1000     29.00   0.4000     29.00  -0.1000  
   30.00   5.2000     30.00   4.2000     30.00   0.4000     30.00   0.0000  
   31.00   5.1000     31.00   4.4000     31.00   0.3000     31.00   0.0000  
   32.00   5.3000     32.00   4.6000     32.00   0.3000     32.00  -0.1000  
   33.00   5.1000     33.00   4.6000     33.00   0.4000     33.00  -0.1000  
   34.00   5.2000     34.00   4.6000     34.00   0.3000     34.00  -0.2000  
   35.00   4.6000     35.00   4.4000     35.00   0.3000     35.00  -0.1000  
   36.00   4.9000     36.00   4.4000     36.00   0.3000     36.00  -0.1000  
   37.00   5.1000     37.00   4.2000     37.00   0.3000     37.00  -0.1000  
   38.00   5.1000     38.00   4.1000     38.00   0.3000     38.00  -0.1000  
   39.00   5.1000     39.00   4.2000     39.00   0.4000     39.00  -0.2000  
   40.00   5.2000     40.00   4.4000     40.00   0.3000     40.00  -0.1000  
   41.00   4.7000     41.00   4.3000     41.00   0.3000     41.00  -0.1000  
   42.00   4.7000     42.00   4.6000     42.00   0.4000     42.00  -0.1000  
   43.00   5.1000     43.00   4.6000     43.00   0.4000     43.00  -0.2000  
   44.00   4.9000     44.00   4.5000     44.00   0.4000     44.00  -0.1000  
   45.00   5.0000     45.00   4.3000     45.00   0.3000     45.00  -0.1000  
   46.00   5.0000     46.00   4.3000     46.00   0.3000     46.00  -0.1000  
   47.00   4.8000     47.00   4.2000     47.00   0.3000     47.00  -0.1000  
   48.00   5.0000     48.00   4.2000     48.00   0.3000     48.00  -0.2000  
   49.00   5.1000     49.00   4.2000     49.00   0.3000     49.00  -0.1000  
   50.00   5.0000     50.00   4.4000     50.00   0.3000     50.00  -0.2000  
   51.00   5.0000     51.00   4.4000     51.00   0.3000     51.00  -0.2000  
