Date : 2022/09/13 (TUE)
Time : 10:30:05
   Film : Pattern         Review Cam  
     X        Y         X        Y    
    0.00  1.65853      0.00  0.00000  
    1.00 -0.02405      1.00  0.00000  
    2.00  0.01499      2.00  0.00000  
    3.00 -0.01012      3.00  0.00000  
    4.00 -0.07467      4.00  0.00000  
    5.00 -0.00713      5.00  0.00000  
    6.00  0.00000      6.00  0.00000  
    7.00 -0.01143      7.00  0.00000  
    8.00 -0.00826      8.00  0.00000  
    9.00 -0.02168      9.00  0.00000  
   10.00 -0.01376     10.00  0.00000  
   11.00 -0.02446     11.00  0.00000  
   12.00 -0.01536     12.00  0.00000  
   13.00 -0.03143     13.00  0.00000  
   14.00 -0.00711     14.00  0.00000  
   15.00 -0.00517     15.00  0.00000  
   16.00  0.00000     16.00  0.00000  
   17.00 -0.00925     17.00  0.00000  
   18.00 -0.01055     18.00  0.00000  
   19.00 -0.01012     19.00  0.00000  
   20.00 -0.00961     20.00  0.00000  
   21.00 -0.01502     21.00  0.00000  
   22.00 -0.00647     22.00  0.00000  
   23.00 -0.00877     23.00  0.00000  
   24.00  0.00518     24.00  0.00000  
   25.00  0.00324     25.00  0.00000  
   26.00 -0.01264     26.00  0.00000  
   27.00 -0.01649     27.00  0.00000  
   28.00 -0.00970     28.00  0.00000  
   29.00  0.00512     29.00  0.00000  
   30.00  0.00605     30.00  0.00000  
   31.00  0.01255     31.00  0.00000  
   32.00  0.01419     32.00  0.00000  
   33.00  0.00909     33.00  0.00000  
   34.00 -0.00475     34.00  0.00000  
   35.00  0.00000     35.00  0.00000  
   36.00 -0.00543     36.00  0.00000  
   37.00 -0.01339     37.00  0.00000  
   38.00 -0.00493     38.00  0.00000  
   39.00  0.00000     39.00  0.00000  
   40.00  0.00667     40.00  0.00000  
   41.00  0.01188     41.00  0.00000  
   42.00  0.00000     42.00  0.00000  
   43.00 -0.00888     43.00  0.00000  
   44.00 -0.00949     44.00  0.00000  
   45.00 -0.00564     45.00  0.00000  
   46.00 -0.00799     46.00  0.00000  
   47.00  0.00000     47.00  0.00000  
   48.00  0.01097     48.00  0.00000  
   49.00  0.01317     49.00  0.00000  
   50.00  0.00321     50.00  0.00000  
   51.00  0.00000     51.00  0.00000  
   52.00 -0.00711     52.00  0.00000  
   53.00 -0.00696     53.00  0.00000  
   54.00 -0.00602     54.00  0.00000  
   55.00  0.01199     55.00  0.00000  
   56.00  0.01493     56.00  0.00000  
   57.00  0.01165     57.00  0.00000  
   58.00  0.00597     58.00  0.00000  
   59.00 -0.00962     59.00  0.00000  
   60.00 -0.01609     60.00  0.00000  
   61.00 -0.00898     61.00  0.00000  
   62.00 -0.00411     62.00  0.00000  
   63.00  0.00467     63.00  0.00000  
   64.00  0.00580     64.00  0.00000  
   65.00  0.00375     65.00  0.00000  
   66.00  0.00000     66.00  0.00000  
   67.00 -0.00429     67.00  0.00000  
   68.00 -0.01234     68.00  0.00000  
   69.00 -0.01080     69.00  0.00000  
   70.00 -0.00637     70.00  0.00000  
   71.00  0.00000     71.00  0.00000  
   72.00  0.00000     72.00  0.00000  
   73.00  0.00000     73.00  0.00000  
   74.00 -0.00502     74.00  0.00000  
   75.00 -0.01527     75.00  0.00000  
   76.00 -0.01254     76.00  0.00000  
   77.00 -0.00833     77.00  0.00000  
   78.00 -0.00346     78.00  0.00000  
   79.00  0.00441     79.00  0.00000  
   80.00  0.02000     80.00  0.00000  
   81.00  0.01534     81.00  0.00000  
   82.00  0.00982     82.00  0.00000  
   83.00 -0.00726     83.00  0.00000  
   84.00 -0.01789     84.00  0.00000  
   85.00 -0.00744     85.00  0.00000  
   86.00  0.00000     86.00  0.00000  
   87.00  0.01826     87.00  0.00000  
   88.00  0.02413     88.00  0.00000  
   89.00  0.00814     89.00  0.00000  
   90.00  0.00354     90.00  0.00000  
   91.00 -0.00785     91.00  0.00000  
   92.00 -0.01730     92.00  0.00000  
   93.00  0.00341     93.00  0.00000  
   94.00  0.01149     94.00  0.00000  
   95.00  0.01170     95.00  0.00000  
   96.00  0.01521     96.00  0.00000  
   97.00  0.01463     97.00  0.00000  
   98.00  0.01060     98.00  0.00000  
   99.00 -0.00836     99.00  0.00000  
  100.00 -0.02104    100.00  0.00000  
  101.00 -0.00704    101.00  0.00000  
  102.00  0.00000    102.00  0.00000  
  103.00  0.01122    103.00  0.00000  
  104.00  0.01473    104.00  0.00000  
  105.00  0.01576    105.00  0.00000  
  106.00  0.00796    106.00  0.00000  
  107.00 -0.00421    107.00  0.00000  
  108.00 -0.00886    108.00  0.00000  
  109.00 -0.00576    109.00  0.00000  
  110.00  0.00000    110.00  0.00000  
  111.00  0.00000    111.00  0.00000  
  112.00  0.00736    112.00  0.00000  
  113.00  0.00693    113.00  0.00000  
  114.00  0.00000    114.00  0.00000  
  115.00  0.00433    115.00  0.00000  
  116.00 -0.04808    116.00  0.00000  
  117.00 -0.00937    117.00  0.00000  
  118.00 -0.00320    118.00  0.00000  
  119.00 -0.00686    119.00  0.00000  
  120.00 -0.00621    120.00  0.00000  
  121.00  0.00300    121.00  0.00000  
  122.00  0.01319    122.00  0.00000  
  123.00 -0.03142    123.00  0.00000  
  124.00 -0.02003    124.00  0.00000  
  125.00  0.00000    125.00  0.00000  
  126.00  0.01543    126.00  0.00000  
  127.00  0.01010    127.00  0.00000  
  128.00  0.01041    128.00  0.00000  
  129.00  0.01333    129.00  0.00000  
  130.00  0.01124    130.00  0.00000  
  131.00  0.02095    131.00  0.00000  
  132.00 -0.00424    132.00  0.00000  
  133.00 -0.01571    133.00  0.00000  
  134.00 -0.01566    134.00  0.00000  
  135.00 -0.00393    135.00  0.00000  
  136.00  0.00315    136.00  0.00000  
  137.00  0.00872    137.00  0.00000  
  138.00  0.00355    138.00  0.00000  
  139.00  0.00000    139.00  0.00000  
  140.00 -0.04985    140.00  0.00000  
  141.00 -0.02894    141.00  0.00000  
  142.00 -0.00309    142.00  0.00000  
  143.00  0.01233    143.00  0.00000  
  144.00  0.01912    144.00  0.00000  
  145.00  0.00603    145.00  0.00000  
  146.00  0.00696    146.00  0.00000  
  147.00  0.00379    147.00  0.00000  
  148.00  0.00445    148.00  0.00000  
  149.00 -0.00397    149.00  0.00000  
  150.00 -0.01466    150.00  0.00000  
  151.00 -0.01145    151.00  0.00000  
  152.00 -0.05675    152.00  0.00000  
  153.00 -0.02772    153.00  0.00000  
  154.00  0.02246    154.00  0.00000  
  155.00  0.03087    155.00  0.00000  
  156.00  0.00000    156.00  0.00000  
  157.00 -0.01366    157.00  0.00000  
  158.00 -0.02323    158.00  0.00000  
  159.00  0.00000    159.00  0.00000  
  160.00  0.01283    160.00  0.00000  
  161.00  0.01436    161.00  0.00000  
  162.00  0.00477    162.00  0.00000  
  163.00 -0.01497    163.00  0.00000  
  164.00 -0.01816    164.00  0.00000  
  165.00 -0.01001    165.00  0.00000  
  166.00 -0.00777    166.00  0.00000  
  167.00 -0.00482    167.00  0.00000  
  168.00  0.00841    168.00  0.00000  
  169.00  0.01461    169.00  0.00000  
  170.00  0.01167    170.00  0.00000  
  171.00  0.00000    171.00  0.00000  
  172.00 -0.00777    172.00  0.00000  
  173.00 -0.01565    173.00  0.00000  
  174.00 -0.00864    174.00  0.00000  
  175.00  0.00000    175.00  0.00000  
  176.00 -0.00309    176.00  0.00000  
  177.00  0.00000    177.00  0.00000  
  178.00  0.00677    178.00  0.00000  
  179.00  0.00393    179.00  0.00000  
  180.00 -0.00815    180.00  0.00000  
