Date : 2022/09/13 (TUE)
Time : 10:30:00
   Film : Pattern         Review Cam  
     X        Y         X        Y    
    0.00 -0.41172      0.00  0.00000  
    1.00 -0.45932      1.00  0.00000  
    2.00 -0.46593      2.00  0.00000  
    3.00 -0.42700      3.00  0.00000  
    4.00 -1.33361      4.00  0.00000  
    5.00 -1.21251      5.00  0.00000  
    6.00 -1.01121      6.00  0.00000  
    7.00 -0.83187      7.00  0.00000  
    8.00 -0.67770      8.00  0.00000  
    9.00 -0.56258      9.00  0.00000  
   10.00 -0.47488     10.00  0.00000  
   11.00 -0.40583     11.00  0.00000  
   12.00 -0.37927     12.00  0.00000  
   13.00 -0.38163     13.00  0.00000  
   14.00 -0.38025     14.00  0.00000  
   15.00 -0.37071     15.00  0.00000  
   16.00 -0.35669     16.00  0.00000  
   17.00 -0.31668     17.00  0.00000  
   18.00 -0.29289     18.00  0.00000  
   19.00 -0.28871     19.00  0.00000  
   20.00 -0.30152     20.00  0.00000  
   21.00 -0.32105     21.00  0.00000  
   22.00 -0.35264     22.00  0.00000  
   23.00 -0.33874     23.00  0.00000  
   24.00 -0.32420     24.00  0.00000  
   25.00 -0.30891     25.00  0.00000  
   26.00 -0.29121     26.00  0.00000  
   27.00 -0.28233     27.00  0.00000  
   28.00 -0.29606     28.00  0.00000  
   29.00 -0.32219     29.00  0.00000  
   30.00 -0.34510     30.00  0.00000  
   31.00 -0.34735     31.00  0.00000  
   32.00 -0.32906     32.00  0.00000  
   33.00 -0.31324     33.00  0.00000  
   34.00 -0.29958     34.00  0.00000  
   35.00 -1.06590     35.00  0.00000  
   36.00 -0.62459     36.00  0.00000  
   37.00 -0.48612     37.00  0.00000  
   38.00 -0.43292     38.00  0.00000  
   39.00 -0.43531     39.00  0.00000  
   40.00 -0.40052     40.00  0.00000  
   41.00 -0.35916     41.00  0.00000  
   42.00 -0.31883     42.00  0.00000  
   43.00 -0.30465     43.00  0.00000  
   44.00 -0.28889     44.00  0.00000  
   45.00 -0.29748     45.00  0.00000  
   46.00 -0.32332     46.00  0.00000  
   47.00 -0.32956     47.00  0.00000  
   48.00 -0.33375     48.00  0.00000  
   49.00 -0.31993     49.00  0.00000  
   50.00 -0.29149     50.00  0.00000  
   51.00 -0.28734     51.00  0.00000  
   52.00 -0.26631     52.00  0.00000  
   53.00 -0.29732     53.00  0.00000  
   54.00 -0.30729     54.00  0.00000  
   55.00 -0.34693     55.00  0.00000  
   56.00 -0.35151     56.00  0.00000  
   57.00 -0.32744     57.00  0.00000  
   58.00 -0.29687     58.00  0.00000  
   59.00 -0.28886     59.00  0.00000  
   60.00 -0.31894     60.00  0.00000  
   61.00 -0.33264     61.00  0.00000  
   62.00 -0.33990     62.00  0.00000  
   63.00 -0.36069     63.00  0.00000  
   64.00 -0.35539     64.00  0.00000  
   65.00 -0.33387     65.00  0.00000  
   66.00 -0.30968     66.00  0.00000  
   67.00 -0.29091     67.00  0.00000  
   68.00 -0.28664     68.00  0.00000  
   69.00 -0.29422     69.00  0.00000  
   70.00 -0.31060     70.00  0.00000  
   71.00 -0.33808     71.00  0.00000  
   72.00 -0.34302     72.00  0.00000  
   73.00 -0.32719     73.00  0.00000  
   74.00 -0.30313     74.00  0.00000  
   75.00 -0.28977     75.00  0.00000  
   76.00 -0.27911     76.00  0.00000  
   77.00 -0.29045     77.00  0.00000  
   78.00 -0.31412     78.00  0.00000  
   79.00 -0.33084     79.00  0.00000  
   80.00 -0.33562     80.00  0.00000  
   81.00 -0.32335     81.00  0.00000  
   82.00 -0.30460     82.00  0.00000  
   83.00 -0.29283     83.00  0.00000  
   84.00 -0.26983     84.00  0.00000  
   85.00 -0.28980     85.00  0.00000  
   86.00 -0.30532     86.00  0.00000  
   87.00 -0.33807     87.00  0.00000  
   88.00 -0.35476     88.00  0.00000  
   89.00 -0.33923     89.00  0.00000  
   90.00 -0.31067     90.00  0.00000  
   91.00 -0.30532     91.00  0.00000  
   92.00 -0.29176     92.00  0.00000  
   93.00 -0.30021     93.00  0.00000  
   94.00 -0.31320     94.00  0.00000  
   95.00 -0.33950     95.00  0.00000  
   96.00 -0.34743     96.00  0.00000  
   97.00 -0.34331     97.00  0.00000  
   98.00 -0.31343     98.00  0.00000  
   99.00 -0.30438     99.00  0.00000  
  100.00 -0.27548    100.00  0.00000  
  101.00 -0.29108    101.00  0.00000  
  102.00 -0.31946    102.00  0.00000  
  103.00 -0.35115    103.00  0.00000  
  104.00 -0.35708    104.00  0.00000  
  105.00 -0.33966    105.00  0.00000  
  106.00 -0.31822    106.00  0.00000  
  107.00 -0.31721    107.00  0.00000  
  108.00 -0.30498    108.00  0.00000  
  109.00 -0.31941    109.00  0.00000  
  110.00 -0.32990    110.00  0.00000  
  111.00 -0.35793    111.00  0.00000  
  112.00 -0.37324    112.00  0.00000  
  113.00 -0.33988    113.00  0.00000  
  114.00 -0.31677    114.00  0.00000  
  115.00 -1.91866    115.00  0.00000  
  116.00 -0.19137    116.00  0.00000  
  117.00  0.08138    117.00  0.00000  
  118.00  0.02483    118.00  0.00000  
  119.00 -0.07771    119.00  0.00000  
  120.00 -0.16195    120.00  0.00000  
  121.00 -0.21692    121.00  0.00000  
  122.00 -0.24068    122.00  0.00000  
  123.00 -0.24853    123.00  0.00000  
  124.00 -0.25301    124.00  0.00000  
  125.00 -0.25349    125.00  0.00000  
  126.00 -0.29929    126.00  0.00000  
  127.00 -0.31051    127.00  0.00000  
  128.00 -0.32439    128.00  0.00000  
  129.00 -0.33696    129.00  0.00000  
  130.00 -0.31912    130.00  0.00000  
  131.00 -0.31426    131.00  0.00000  
  132.00 -0.30191    132.00  0.00000  
  133.00 -0.29281    133.00  0.00000  
  134.00 -0.30791    134.00  0.00000  
  135.00 -0.30839    135.00  0.00000  
  136.00 -0.33786    136.00  0.00000  
  137.00 -0.33795    137.00  0.00000  
  138.00 -0.33028    138.00  0.00000  
  139.00 -0.29972    139.00  0.00000  
  140.00 -0.29303    140.00  0.00000  
  141.00 -0.27845    141.00  0.00000  
  142.00 -0.28661    142.00  0.00000  
  143.00 -0.31369    143.00  0.00000  
  144.00 -0.33101    144.00  0.00000  
  145.00 -0.32238    145.00  0.00000  
  146.00 -0.31056    146.00  0.00000  
  147.00 -0.28972    147.00  0.00000  
  148.00 -0.19045    148.00  0.00000  
  149.00 -0.14093    149.00  0.00000  
  150.00 -0.11750    150.00  0.00000  
  151.00 -0.13547    151.00  0.00000  
  152.00 -0.16725    152.00  0.00000  
  153.00 -0.18021    153.00  0.00000  
  154.00 -0.20393    154.00  0.00000  
  155.00 -0.22265    155.00  0.00000  
  156.00 -0.24242    156.00  0.00000  
  157.00 -0.23665    157.00  0.00000  
  158.00 -0.25902    158.00  0.00000  
  159.00 -0.28407    159.00  0.00000  
  160.00 -0.31622    160.00  0.00000  
  161.00 -0.32356    161.00  0.00000  
  162.00 -0.31741    162.00  0.00000  
  163.00 -0.27646    163.00  0.00000  
  164.00 -0.28295    164.00  0.00000  
  165.00 -0.28321    165.00  0.00000  
  166.00 -0.30056    166.00  0.00000  
  167.00 -0.31805    167.00  0.00000  
  168.00 -0.34128    168.00  0.00000  
  169.00 -0.34942    169.00  0.00000  
  170.00 -0.33378    170.00  0.00000  
  171.00 -0.31518    171.00  0.00000  
  172.00 -0.29756    172.00  0.00000  
  173.00 -0.28374    173.00  0.00000  
  174.00 -0.30531    174.00  0.00000  
  175.00 -0.32413    175.00  0.00000  
  176.00 -0.34872    176.00  0.00000  
  177.00 -0.35666    177.00  0.00000  
  178.00 -0.34507    178.00  0.00000  
  179.00 -0.31590    179.00  0.00000  
  180.00 -0.31652    180.00  0.00000  
  181.00 -0.30773    181.00  0.00000  
  182.00 -0.30038    182.00  0.00000  
  183.00 -0.32591    183.00  0.00000  
  184.00 -0.34692    184.00  0.00000  
  185.00 -0.34947    185.00  0.00000  
  186.00 -0.34507    186.00  0.00000  
  187.00 -0.31955    187.00  0.00000  
  188.00 -0.31445    188.00  0.00000  
  189.00 -0.30874    189.00  0.00000  
  190.00 -0.31231    190.00  0.00000  
  191.00 -0.33364    191.00  0.00000  
  192.00 -0.36469    192.00  0.00000  
  193.00 -0.36509    193.00  0.00000  
  194.00 -0.35351    194.00  0.00000  
  195.00 -0.32493    195.00  0.00000  
  196.00 -0.32422    196.00  0.00000  
  197.00 -0.31371    197.00  0.00000  
  198.00 -0.32985    198.00  0.00000  
  199.00 -0.33861    199.00  0.00000  
  200.00 -0.36054    200.00  0.00000  
  201.00 -0.37290    201.00  0.00000  
  202.00 -0.34383    202.00  0.00000  
  203.00 -0.32998    203.00  0.00000  
  204.00 -0.32325    204.00  0.00000  
  205.00 -0.30891    205.00  0.00000  
  206.00 -0.31871    206.00  0.00000  
  207.00 -0.34868    207.00  0.00000  
  208.00 -0.37476    208.00  0.00000  
  209.00 -0.37459    209.00  0.00000  
  210.00 -0.35930    210.00  0.00000  
  211.00 -0.33593    211.00  0.00000  
  212.00 -0.33362    212.00  0.00000  
  213.00 -0.31452    213.00  0.00000  
  214.00 -0.33038    214.00  0.00000  
  215.00 -0.34196    215.00  0.00000  
  216.00 -0.35670    216.00  0.00000  
  217.00 -0.36585    217.00  0.00000  
  218.00 -0.34293    218.00  0.00000  
  219.00 -0.32089    219.00  0.00000  
  220.00 -0.31189    220.00  0.00000  
  221.00 -0.32642    221.00  0.00000  
  222.00 -0.33642    222.00  0.00000  
  223.00 -0.35611    223.00  0.00000  
  224.00 -0.37850    224.00  0.00000  
  225.00 -0.38525    225.00  0.00000  
  226.00 -0.35998    226.00  0.00000  
  227.00 -0.33822    227.00  0.00000  
  228.00 -0.33859    228.00  0.00000  
  229.00 -0.32806    229.00  0.00000  
  230.00 -0.33861    230.00  0.00000  
  231.00 -0.35399    231.00  0.00000  
  232.00 -0.38426    232.00  0.00000  
  233.00 -0.37101    233.00  0.00000  
  234.00 -0.36337    234.00  0.00000  
  235.00 -0.33616    235.00  0.00000  
  236.00 -0.33499    236.00  0.00000  
  237.00 -0.32630    237.00  0.00000  
  238.00 -0.33997    238.00  0.00000  
  239.00 -0.35293    239.00  0.00000  
  240.00 -0.37766    240.00  0.00000  
  241.00 -0.37628    241.00  0.00000  
  242.00 -0.35562    242.00  0.00000  
  243.00 -0.32803    243.00  0.00000  
  244.00 -0.33445    244.00  0.00000  
  245.00 -0.32448    245.00  0.00000  
  246.00 -0.33622    246.00  0.00000  
  247.00 -0.35478    247.00  0.00000  
  248.00 -0.38026    248.00  0.00000  
  249.00 -0.38116    249.00  0.00000  
  250.00 -0.35807    250.00  0.00000  
  251.00 -0.32389    251.00  0.00000  
  252.00 -0.32403    252.00  0.00000  
  253.00 -0.31919    253.00  0.00000  
  254.00 -0.31723    254.00  0.00000  
  255.00 -0.34817    255.00  0.00000  
  256.00 -0.36416    256.00  0.00000  
  257.00 -0.35805    257.00  0.00000  
  258.00 -0.33880    258.00  0.00000  
  259.00 -0.33186    259.00  0.00000  
  260.00 -0.31911    260.00  0.00000  
  261.00 -0.31236    261.00  0.00000  
  262.00 -0.32752    262.00  0.00000  
  263.00 -0.35146    263.00  0.00000  
  264.00 -0.36453    264.00  0.00000  
  265.00 -0.36897    265.00  0.00000  
  266.00 -0.35576    266.00  0.00000  
  267.00 -0.33606    267.00  0.00000  
  268.00 -0.32655    268.00  0.00000  
  269.00 -0.31025    269.00  0.00000  
  270.00 -0.31920    270.00  0.00000  
  271.00 -0.33442    271.00  0.00000  
  272.00 -0.35372    272.00  0.00000  
  273.00 -0.36424    273.00  0.00000  
  274.00 -0.35512    274.00  0.00000  
  275.00 -0.33082    275.00  0.00000  
  276.00 -0.31926    276.00  0.00000  
  277.00 -0.31374    277.00  0.00000  
  278.00 -0.33308    278.00  0.00000  
  279.00 -0.33502    279.00  0.00000  
  280.00 -0.35297    280.00  0.00000  
  281.00 -0.36682    281.00  0.00000  
  282.00 -0.34623    282.00  0.00000  
  283.00 -0.32501    283.00  0.00000  
  284.00 -0.32940    284.00  0.00000  
  285.00 -0.30064    285.00  0.00000  
  286.00 -0.32185    286.00  0.00000  
  287.00 -0.33445    287.00  0.00000  
  288.00 -0.34957    288.00  0.00000  
  289.00 -0.35874    289.00  0.00000  
  290.00 -0.34911    290.00  0.00000  
  291.00 -0.31376    291.00  0.00000  
  292.00 -0.32392    292.00  0.00000  
  293.00 -0.29931    293.00  0.00000  
