,ts,T2,T3,NIP1_M,NIP1_F,T4,T5,NIP2_M,NIP2_F,T1,T6_OF
0,2022-09-24 18:11:07.400,4.7,4.2,0.4,-0.1,5.0,4.8,0.3,0.2,5.3,3.05
1,2022-09-24 18:11:07.600,4.6,4.2,0.2,-0.1,5.0,4.7,0.4,0.2,5.3,3.05
2,2022-09-24 18:11:07.800,4.7,4.2,0.3,-0.1,5.0,4.7,0.4,0.2,5.3,3.05
3,2022-09-24 18:11:08.000,4.7,4.2,0.3,-0.1,5.0,4.7,0.3,0.3,5.3,3.0
4,2022-09-24 18:11:08.200,4.6,4.2,0.3,-0.2,5.0,4.7,0.3,0.3,5.3,3.05
5,2022-09-24 18:11:08.400,4.7,4.2,0.3,-0.1,5.0,4.8,0.2,0.2,5.3,3.05
6,2022-09-24 18:11:08.600,4.5,4.1,0.3,-0.2,5.0,4.8,0.3,0.2,5.3,3.05
7,2022-09-24 18:11:08.800,4.8,4.2,0.4,-0.1,5.0,4.8,0.3,0.2,5.4,3.05
8,2022-09-24 18:11:09.000,4.6,4.2,0.2,0.0,5.0,4.7,0.3,0.3,5.3,3.0
9,2022-09-24 18:11:09.200,4.6,4.2,0.3,-0.1,5.0,4.7,0.4,0.2,5.4,3.1
10,2022-09-24 18:11:09.400,4.7,4.2,0.3,-0.1,5.0,4.8,0.3,0.3,5.4,3.05
11,2022-09-24 18:11:09.600,4.7,4.2,0.4,-0.1,5.0,4.7,0.3,0.3,5.4,3.0
12,2022-09-24 18:11:09.800,4.6,4.2,0.3,-0.1,5.0,4.8,0.3,0.3,5.3,3.05
13,2022-09-24 18:11:10.000,4.7,4.2,0.4,-0.1,5.0,4.8,0.3,0.3,5.3,3.05
14,2022-09-24 18:11:10.200,4.7,4.2,0.4,-0.1,5.0,4.8,0.3,0.2,5.3,3.05
15,2022-09-24 18:11:10.400,4.6,4.2,0.4,-0.2,5.0,4.8,0.4,0.3,5.3,3.05
16,2022-09-24 18:11:10.600,4.7,4.2,0.3,-0.2,5.0,4.8,0.3,0.2,5.3,3.05
17,2022-09-24 18:11:10.800,4.5,4.1,0.3,-0.1,5.0,4.7,0.3,0.3,5.3,3.05
18,2022-09-24 18:11:11.000,4.7,4.2,0.4,-0.1,5.0,4.8,0.3,0.3,5.3,3.05
19,2022-09-24 18:11:11.200,4.7,4.2,0.3,-0.1,4.9,4.8,0.3,0.3,5.3,3.05
20,2022-09-24 18:11:11.400,4.6,4.2,0.3,-0.1,5.0,4.8,0.4,0.2,5.3,3.05
21,2022-09-24 18:11:11.600,4.6,4.2,0.3,-0.1,5.0,4.8,0.3,0.2,5.3,3.1
22,2022-09-24 18:11:11.800,4.5,4.2,0.4,-0.1,5.0,4.8,0.3,0.2,5.3,3.1
23,2022-09-24 18:11:12.000,4.7,4.1,0.4,-0.1,5.0,4.8,0.3,0.3,5.3,3.1
24,2022-09-24 18:11:12.200,4.7,4.1,0.3,-0.1,5.0,4.7,0.3,0.3,5.3,3.1
25,2022-09-24 18:11:12.400,4.6,4.1,0.4,-0.1,5.0,4.7,0.3,0.3,5.3,3.05
26,2022-09-24 18:11:12.600,4.6,4.1,0.3,-0.1,5.0,4.7,0.3,0.2,5.3,3.0
27,2022-09-24 18:11:12.800,4.6,4.1,0.3,-0.1,5.0,4.7,0.3,0.3,5.3,3.05
28,2022-09-24 18:11:13.000,4.5,4.2,0.4,-0.1,5.0,4.7,0.4,0.3,5.3,3.05
29,2022-09-24 18:11:13.200,4.7,4.2,0.3,0.0,5.0,4.8,0.8,0.4,5.3,3.05
30,2022-09-24 18:11:13.400,4.6,4.2,0.4,-0.2,5.0,4.8,1.2,0.7,5.3,3.05
31,2022-09-24 18:11:13.600,4.6,4.1,0.4,0.0,5.0,4.8,1.3,0.9,5.3,3.05
32,2022-09-24 18:11:13.800,4.7,4.2,0.2,-0.2,5.0,4.8,1.3,0.8,5.3,3.05
33,2022-09-24 18:11:14.000,4.5,4.2,0.4,-0.1,5.0,4.7,1.3,0.9,5.3,3.0
34,2022-09-24 18:11:14.200,4.6,4.2,0.4,-0.1,5.0,4.8,1.2,0.8,5.3,3.05
35,2022-09-24 18:11:14.400,4.6,4.2,0.4,0.0,5.0,4.8,1.3,0.8,5.3,3.05
36,2022-09-24 18:11:14.600,4.6,4.2,0.3,-0.1,5.0,4.8,1.3,0.8,5.3,3.05
37,2022-09-24 18:11:14.800,4.6,4.1,0.5,-0.1,5.0,4.8,1.2,0.8,5.3,3.1
38,2022-09-24 18:11:15.000,4.7,4.2,0.4,-0.1,5.0,4.8,1.3,0.8,5.3,3.05
39,2022-09-24 18:11:15.200,4.5,4.1,0.4,-0.1,5.0,4.8,0.7,0.5,5.3,3.05
40,2022-09-24 18:11:15.400,4.7,4.2,0.4,-0.2,5.0,4.8,0.3,0.2,5.4,3.05
41,2022-09-24 18:11:15.600,4.7,4.2,0.4,-0.1,5.0,4.8,0.3,0.2,5.3,3.05
42,2022-09-24 18:11:15.800,4.6,4.2,0.4,-0.1,5.0,4.7,0.3,0.3,5.3,3.05
43,2022-09-24 18:11:16.000,4.7,4.2,0.3,-0.1,5.0,4.8,0.4,0.2,5.3,3.05
44,2022-09-24 18:11:16.200,4.5,4.2,0.3,-0.1,5.0,4.7,0.4,0.3,5.3,3.05
45,2022-09-24 18:11:16.400,4.6,4.2,0.3,-0.1,5.0,4.7,0.3,0.5,5.3,3.05
46,2022-09-24 18:11:16.600,4.6,4.1,0.3,-0.1,5.0,4.7,0.4,0.4,5.3,3.05
47,2022-09-24 18:11:16.800,4.6,4.1,0.3,-0.1,5.0,4.8,0.3,0.3,5.3,3.05
48,2022-09-24 18:11:17.000,4.6,4.2,0.3,-0.1,5.0,4.8,0.4,0.3,5.3,3.05
49,2022-09-24 18:11:17.200,4.8,4.2,0.3,-0.1,5.0,4.8,0.4,0.3,5.3,3.0
50,2022-09-24 18:11:17.400,4.6,4.2,0.3,-0.1,5.0,4.8,0.4,0.2,5.3,3.05
51,2022-09-24 18:11:17.600,4.6,4.1,0.3,-0.1,5.0,4.7,0.3,0.2,5.3,3.05
52,2022-09-24 18:11:17.800,4.7,4.2,0.4,-0.2,5.0,4.8,0.4,0.3,5.3,3.0
53,2022-09-24 18:11:18.000,4.6,4.2,0.4,-0.1,5.0,4.7,0.4,0.3,5.3,3.05
54,2022-09-24 18:11:18.200,4.7,4.2,0.3,-0.1,5.0,4.8,0.4,0.2,5.3,3.05
55,2022-09-24 18:11:18.400,4.5,4.2,0.3,-0.1,5.0,4.7,0.5,0.4,5.3,3.05
56,2022-09-24 18:11:18.600,4.6,4.1,0.3,-0.1,5.0,4.8,0.7,0.4,5.3,3.05
57,2022-09-24 18:11:18.800,4.7,4.2,0.3,-0.1,5.0,4.7,0.5,0.4,5.3,3.05
58,2022-09-24 18:11:19.000,4.6,4.2,0.3,-0.2,5.0,4.7,0.4,0.2,5.3,3.1
59,2022-09-24 18:11:19.200,4.6,4.2,0.4,-0.1,5.0,4.7,0.5,0.2,5.3,3.05
60,2022-09-24 18:11:19.400,4.7,4.2,0.4,-0.2,5.0,4.8,0.7,0.2,5.3,3.1
61,2022-09-24 18:11:19.600,4.6,4.2,0.3,-0.1,5.0,4.8,0.7,0.2,5.3,3.05
62,2022-09-24 18:11:19.800,4.6,4.2,0.3,-0.1,5.0,4.8,1.7,0.2,5.3,3.05
63,2022-09-24 18:11:20.000,4.7,4.1,0.3,-0.1,5.0,4.8,2.0,0.4,5.3,3.1
64,2022-09-24 18:11:20.200,4.6,4.2,0.3,-0.1,5.0,4.7,0.5,0.2,5.3,3.0
65,2022-09-24 18:11:20.400,4.7,4.2,0.3,-0.1,5.0,4.8,0.3,0.3,5.3,3.0
66,2022-09-24 18:11:20.600,4.6,4.2,0.4,-0.1,5.0,4.7,0.3,0.2,5.3,3.0
67,2022-09-24 18:11:20.800,4.6,4.2,0.3,-0.1,5.0,4.8,0.4,0.2,5.4,3.05
68,2022-09-24 18:11:21.000,4.7,4.2,0.3,-0.1,5.0,4.7,0.4,0.4,5.3,3.0
69,2022-09-24 18:11:21.200,4.6,4.2,0.4,0.0,5.0,4.8,0.3,0.7,5.3,3.05
70,2022-09-24 18:11:21.400,4.6,4.1,0.3,0.0,5.0,4.8,0.3,0.7,5.3,3.05
71,2022-09-24 18:11:21.600,4.7,4.1,0.4,-0.2,5.0,4.8,0.3,0.7,5.3,3.1
72,2022-09-24 18:11:21.800,4.5,4.2,0.3,-0.2,5.0,4.8,0.3,0.2,5.3,3.05
73,2022-09-24 18:11:22.000,4.6,4.2,0.3,-0.2,5.0,4.7,0.4,0.4,5.3,3.05
74,2022-09-24 18:11:22.200,4.6,4.2,0.3,-0.1,5.0,4.8,0.4,0.5,5.3,3.05
75,2022-09-24 18:11:22.400,4.6,4.2,0.4,-0.1,5.0,4.7,0.4,0.6,5.3,3.0
76,2022-09-24 18:11:22.600,4.8,4.2,0.4,-0.1,5.0,4.7,0.4,0.2,5.3,3.0
77,2022-09-24 18:11:22.800,4.5,4.2,0.4,-0.2,5.0,4.8,0.3,0.2,5.3,3.05
78,2022-09-24 18:11:23.000,4.8,4.2,0.3,-0.2,4.9,4.8,0.4,0.2,5.3,3.05
79,2022-09-24 18:11:23.200,4.5,4.2,0.3,-0.1,5.0,4.8,0.4,0.3,5.3,3.05
80,2022-09-24 18:11:23.400,4.6,4.2,0.3,0.0,5.0,4.8,0.5,0.2,5.3,3.05
81,2022-09-24 18:11:23.600,4.6,4.2,0.3,-0.1,5.0,4.8,0.7,0.4,5.3,3.05
82,2022-09-24 18:11:23.800,4.8,4.2,0.3,-0.1,5.0,4.8,0.7,0.4,5.3,3.1
83,2022-09-24 18:11:24.000,4.5,4.2,0.4,-0.2,5.0,4.8,1.0,0.5,5.3,3.05
84,2022-09-24 18:11:24.200,4.6,4.1,0.3,-0.1,5.0,4.7,0.8,0.4,5.3,3.05
85,2022-09-24 18:11:24.400,4.7,4.2,0.4,-0.1,5.0,4.8,0.5,0.4,5.3,3.05
86,2022-09-24 18:11:24.600,4.5,4.1,0.3,-0.1,5.0,4.8,0.7,0.5,5.3,3.05
87,2022-09-24 18:11:24.800,4.7,4.2,0.3,-0.1,5.0,4.8,0.5,0.4,5.3,3.05
88,2022-09-24 18:11:25.000,4.5,4.2,0.3,-0.1,5.0,4.7,0.3,0.3,5.3,3.05
89,2022-09-24 18:11:25.200,4.7,4.1,0.3,-0.1,4.9,4.9,0.3,0.2,5.3,3.05
90,2022-09-24 18:11:25.400,4.7,4.1,0.3,-0.1,5.0,4.9,0.3,0.2,5.3,3.05
91,2022-09-24 18:11:25.600,4.5,4.1,0.4,-0.1,5.0,4.9,0.3,0.3,5.3,3.1
92,2022-09-24 18:11:25.800,4.7,4.1,0.4,-0.1,5.0,4.9,0.3,0.7,5.3,3.05
93,2022-09-24 18:11:26.000,4.6,4.2,0.3,-0.1,5.0,4.9,0.3,0.5,5.3,3.0
94,2022-09-24 18:11:26.200,4.6,4.2,0.4,-0.1,5.0,4.8,0.4,0.5,5.3,3.0
95,2022-09-24 18:11:26.400,4.6,4.2,0.4,0.0,5.0,4.8,0.4,0.5,5.3,3.05
96,2022-09-24 18:11:26.600,4.7,4.1,0.3,-0.1,5.0,4.8,0.4,0.7,5.3,3.05
97,2022-09-24 18:11:26.800,4.6,4.2,0.3,-0.2,5.0,4.9,0.5,0.9,5.3,3.1
98,2022-09-24 18:11:27.000,4.7,4.2,0.3,-0.2,5.0,4.9,0.3,0.3,5.3,3.05
99,2022-09-24 18:11:27.200,4.6,4.2,0.4,-0.1,5.0,4.9,0.3,0.3,5.3,3.05
100,2022-09-24 18:11:27.400,4.7,4.2,0.4,0.0,5.0,4.9,0.3,0.2,5.3,3.05
101,2022-09-24 18:11:27.600,4.7,4.1,0.3,-0.1,5.0,4.9,0.4,0.3,5.3,3.05
102,2022-09-24 18:11:27.800,4.6,4.2,0.2,-0.1,5.0,4.8,0.7,0.2,5.3,3.0
103,2022-09-24 18:11:28.000,4.7,4.2,0.4,-0.1,5.0,4.8,1.0,0.8,5.3,3.05
104,2022-09-24 18:11:28.200,4.5,4.2,0.4,-0.2,4.9,4.8,1.1,0.6,5.3,3.05
105,2022-09-24 18:11:28.400,4.5,4.2,0.4,-0.1,5.0,4.7,0.5,0.6,5.3,3.05
106,2022-09-24 18:11:28.600,4.7,4.1,0.3,-0.1,5.0,4.7,0.5,0.2,5.3,3.05
107,2022-09-24 18:11:28.800,4.6,4.2,0.4,-0.2,5.0,4.7,0.5,0.7,5.3,3.05
108,2022-09-24 18:11:29.000,4.6,4.2,0.3,-0.1,5.0,4.8,1.0,0.5,5.3,3.05
109,2022-09-24 18:11:29.200,4.8,4.2,0.4,-0.2,5.0,4.8,0.3,0.3,5.3,3.05
110,2022-09-24 18:11:29.400,4.5,4.2,0.3,-0.1,5.0,4.8,0.4,0.3,5.3,3.05
111,2022-09-24 18:11:29.600,4.7,4.1,0.3,-0.2,5.0,4.8,0.3,0.2,5.3,3.05
112,2022-09-24 18:11:29.800,4.7,4.1,0.3,-0.1,5.0,4.8,0.4,0.2,5.3,3.05
113,2022-09-24 18:11:30.000,4.6,4.2,0.3,-0.1,5.0,4.8,0.4,0.2,5.4,3.05
114,2022-09-24 18:11:30.200,4.7,4.2,0.3,-0.1,5.0,4.9,0.2,0.4,5.4,3.1
115,2022-09-24 18:11:30.400,4.7,4.2,0.4,-0.1,5.0,4.8,0.3,0.5,5.4,3.05
116,2022-09-24 18:11:30.600,4.6,4.2,0.3,-0.2,5.0,4.7,0.3,0.5,5.3,3.0
117,2022-09-24 18:11:30.800,4.6,4.0,0.3,-0.1,5.0,4.7,0.3,0.8,5.3,3.1
118,2022-09-24 18:11:31.000,4.7,4.2,0.4,-0.1,5.0,4.8,0.4,1.0,5.3,3.05
119,2022-09-24 18:11:31.200,4.6,4.1,0.3,-0.3,5.0,4.7,0.4,1.1,5.3,3.05
120,2022-09-24 18:11:31.400,4.8,4.2,0.4,-0.1,5.0,4.8,0.5,1.1,5.3,3.1
121,2022-09-24 18:11:31.600,4.5,4.1,0.4,-0.1,5.0,4.8,0.4,1.0,5.3,3.1
122,2022-09-24 18:11:31.800,4.7,4.2,0.3,-0.2,5.0,4.8,0.3,0.3,5.3,3.1
123,2022-09-24 18:11:32.000,4.7,4.2,0.3,-0.1,5.0,4.8,0.4,0.4,5.3,3.0
124,2022-09-24 18:11:32.200,4.6,4.2,0.3,-0.1,5.0,4.8,0.3,0.6,5.3,3.05
125,2022-09-24 18:11:32.400,4.7,4.2,0.4,-0.1,5.0,4.8,0.3,0.2,5.3,3.05
126,2022-09-24 18:11:32.600,4.7,4.2,0.3,-0.1,5.0,4.7,0.3,0.6,5.3,3.05
127,2022-09-24 18:11:32.800,4.6,4.2,0.3,-0.1,5.1,4.8,0.3,0.6,5.3,3.05
128,2022-09-24 18:11:33.000,4.6,4.1,0.3,-0.1,5.0,4.8,0.4,0.5,5.3,3.05
129,2022-09-24 18:11:33.200,4.7,4.2,0.4,-0.1,5.0,4.8,0.4,0.5,5.3,3.0
130,2022-09-24 18:11:33.400,4.6,4.2,0.4,-0.1,5.0,4.7,0.3,0.4,5.3,3.05
131,2022-09-24 18:11:33.600,4.7,4.2,0.3,-0.1,5.0,4.8,0.3,0.2,5.3,3.05
132,2022-09-24 18:11:33.800,4.5,4.2,0.4,-0.2,5.0,4.8,0.3,0.3,5.3,3.05
133,2022-09-24 18:11:34.000,4.6,4.2,0.3,-0.1,5.0,4.8,0.4,0.2,5.3,3.05
134,2022-09-24 18:11:34.200,4.7,4.1,0.3,-0.1,5.0,4.8,0.8,0.4,5.3,3.05
