,ts,T2,T3,NIP1_M,NIP1_F,T4,T5,NIP2_M,NIP2_F,T1,T6_OF
0,2022-09-24 16:01:07.600,4.7,4.4,0.3,-0.2,5.1,5.3,0.7,0.4,5.4,3.3
1,2022-09-24 16:01:07.800,4.7,4.4,0.3,-0.1,5.2,5.2,0.6,0.4,5.3,3.35
2,2022-09-24 16:01:08.000,4.5,4.2,0.4,0.0,5.3,5.2,0.7,0.6,5.5,3.4000000000000004
3,2022-09-24 16:01:08.200,4.7,4.2,0.3,-0.1,5.3,5.3,0.7,0.5,5.8,3.4000000000000004
4,2022-09-24 16:01:08.400,4.8,4.2,0.4,-0.2,5.3,5.3,0.6,0.5,5.8,3.4
5,2022-09-24 16:01:08.600,4.8,4.4,0.3,-0.1,5.4,5.3,0.7,0.4,5.9,3.35
6,2022-09-24 16:01:08.800,4.8,4.4,0.3,0.0,5.3,5.4,0.6,0.4,5.9,3.4
7,2022-09-24 16:01:09.000,4.7,4.5,0.3,-0.1,5.2,5.3,0.7,0.5,5.5,3.3
8,2022-09-24 16:01:09.200,4.7,4.6,0.4,-0.1,5.1,5.2,0.6,0.5,5.8,3.4
9,2022-09-24 16:01:09.400,4.7,4.4,0.3,-0.1,5.1,5.2,0.7,0.5,5.6,3.3
10,2022-09-24 16:01:09.600,4.7,4.4,0.3,-0.2,5.1,5.3,0.6,0.5,5.5,3.45
11,2022-09-24 16:01:09.800,4.7,4.4,0.3,-0.2,5.2,5.3,0.6,0.5,5.8,3.35
12,2022-09-24 16:01:10.000,5.0,4.2,0.4,-0.1,5.3,5.2,0.7,0.5,5.8,3.35
13,2022-09-24 16:01:10.200,4.8,4.2,0.4,-0.1,5.4,5.3,0.6,0.6,5.8,3.3
14,2022-09-24 16:01:10.400,4.7,4.2,0.4,-0.1,5.4,5.3,0.7,0.6,5.9,3.3
15,2022-09-24 16:01:10.600,4.6,4.3,0.4,-0.1,5.3,5.3,0.6,0.6,5.8,3.3
16,2022-09-24 16:01:10.800,4.9,4.3,0.4,-0.1,5.2,5.3,0.7,0.5,5.8,3.3499999999999996
17,2022-09-24 16:01:11.000,4.7,4.3,0.3,-0.1,5.1,5.3,0.6,0.5,5.4,3.4
18,2022-09-24 16:01:11.200,4.7,4.5,0.4,-0.1,5.2,5.2,0.7,0.5,5.6,3.45
19,2022-09-24 16:01:11.400,4.7,4.6,0.4,-0.1,5.0,5.2,0.6,0.5,5.4,3.3499999999999996
20,2022-09-24 16:01:11.600,4.9,4.3,0.3,-0.1,5.0,5.3,0.7,0.5,5.3,3.35
21,2022-09-24 16:01:11.800,4.7,4.4,0.3,-0.1,5.1,5.3,0.6,0.5,5.3,3.35
22,2022-09-24 16:01:12.000,4.8,4.2,0.3,-0.1,5.3,5.3,0.6,0.5,5.3,3.35
23,2022-09-24 16:01:12.200,4.7,4.2,0.3,-0.2,5.4,5.3,0.7,0.5,5.4,3.35
24,2022-09-24 16:01:12.400,4.7,4.2,0.3,-0.2,5.4,5.2,0.6,0.5,5.7,3.3
25,2022-09-24 16:01:12.600,4.9,4.2,0.3,0.0,5.4,5.4,0.6,0.5,5.4,3.35
26,2022-09-24 16:01:12.800,4.9,4.3,0.4,-0.1,5.3,5.3,0.7,0.5,5.6,3.45
27,2022-09-24 16:01:13.000,4.8,4.3,0.4,-0.1,5.2,5.3,0.7,0.5,5.6,3.3
28,2022-09-24 16:01:13.200,4.9,4.6,0.4,-0.1,5.2,5.3,0.6,0.6,5.6,3.3
