,ts,T2,T3,NIP1_M,NIP1_F,T4,T5,NIP2_M,NIP2_F,T1,T6_OF
0,2022-09-24 17:06:42.000,4.6,4.6,0.3,-0.2,5.6,4.9,0.6,0.5,5.4,3.2
1,2022-09-24 17:06:42.200,4.7,4.8,0.4,-0.1,5.6,4.9,0.5,0.5,5.4,3.2
2,2022-09-24 17:06:42.400,4.7,4.7,0.3,-0.1,5.6,4.9,0.6,0.5,5.4,3.25
3,2022-09-24 17:06:42.600,4.7,4.7,0.3,-0.1,5.6,4.9,0.5,0.5,5.7,3.2
4,2022-09-24 17:06:42.800,4.7,4.8,0.4,-0.1,5.6,4.9,0.5,0.4,5.7,3.25
5,2022-09-24 17:06:43.000,4.8,4.8,0.3,-0.1,5.6,4.9,0.6,0.5,5.5,3.2
6,2022-09-24 17:06:43.200,5.0,4.8,0.4,-0.1,5.6,4.9,0.5,0.5,5.6,3.2
7,2022-09-24 17:06:43.400,4.9,4.6,0.3,-0.1,5.5,4.9,0.5,0.4,5.5,3.2
8,2022-09-24 17:06:43.600,4.9,4.6,0.4,-0.1,5.5,4.9,0.5,0.5,5.4,3.25
9,2022-09-24 17:06:43.800,5.0,4.6,0.3,-0.1,5.4,4.9,0.5,0.5,5.4,3.2
10,2022-09-24 17:06:44.000,4.7,4.3,0.3,-0.1,5.4,4.8,0.5,0.5,5.4,3.25
11,2022-09-24 17:06:44.200,5.1,4.3,0.3,-0.2,5.3,4.9,0.5,0.4,5.3,3.25
12,2022-09-24 17:06:44.400,5.0,4.4,0.3,-0.2,5.3,4.9,0.5,0.5,5.3,3.25
13,2022-09-24 17:06:44.600,4.7,4.6,0.3,-0.1,5.3,4.9,0.5,0.6,5.3,3.2
14,2022-09-24 17:06:44.800,4.8,4.6,0.3,-0.1,5.4,4.9,0.5,0.5,5.3,3.2
15,2022-09-24 17:06:45.000,4.7,4.6,0.4,-0.1,5.4,4.8,0.5,0.5,5.3,3.2
16,2022-09-24 17:06:45.200,4.6,4.8,0.3,-0.1,5.5,4.9,0.5,0.4,5.7,3.15
