Date : 2022/09/24 (SAT)
Time : 09:22:32
        Tension 1          Tension 2              Nip 1              Nip 2  
     X        Y         X        Y         X        Y         X        Y    
    0.00   4.7000      0.00   4.2000      0.00   0.3000      0.00  -0.1000  
    1.00   4.6000      1.00   4.2000      1.00   0.4000      1.00  -0.1000  
    2.00   4.7000      2.00   4.2000      2.00   0.4000      2.00  -0.2000  
    3.00   4.7000      3.00   4.2000      3.00   0.4000      3.00  -0.1000  
    4.00   4.6000      4.00   4.2000      4.00   0.2000      4.00  -0.1000  
    5.00   4.7000      5.00   4.2000      5.00   0.3000      5.00  -0.1000  
    6.00   4.7000      6.00   4.2000      6.00   0.3000      6.00  -0.1000  
    7.00   4.6000      7.00   4.2000      7.00   0.3000      7.00  -0.2000  
    8.00   4.7000      8.00   4.2000      8.00   0.3000      8.00  -0.1000  
    9.00   4.5000      9.00   4.1000      9.00   0.3000      9.00  -0.2000  
   10.00   4.8000     10.00   4.2000     10.00   0.4000     10.00  -0.1000  
   11.00   4.6000     11.00   4.2000     11.00   0.2000     11.00   0.0000  
   12.00   4.6000     12.00   4.2000     12.00   0.3000     12.00  -0.1000  
   13.00   4.7000     13.00   4.2000     13.00   0.3000     13.00  -0.1000  
   14.00   4.7000     14.00   4.2000     14.00   0.4000     14.00  -0.1000  
   15.00   4.6000     15.00   4.2000     15.00   0.3000     15.00  -0.1000  
   16.00   4.7000     16.00   4.2000     16.00   0.4000     16.00  -0.1000  
   17.00   4.7000     17.00   4.2000     17.00   0.4000     17.00  -0.1000  
   18.00   4.6000     18.00   4.2000     18.00   0.4000     18.00  -0.2000  
   19.00   4.7000     19.00   4.2000     19.00   0.3000     19.00  -0.2000  
   20.00   4.5000     20.00   4.1000     20.00   0.3000     20.00  -0.1000  
   21.00   4.7000     21.00   4.2000     21.00   0.4000     21.00  -0.1000  
   22.00   4.7000     22.00   4.2000     22.00   0.3000     22.00  -0.1000  
   23.00   4.6000     23.00   4.2000     23.00   0.3000     23.00  -0.1000  
   24.00   4.6000     24.00   4.2000     24.00   0.3000     24.00  -0.1000  
   25.00   4.5000     25.00   4.2000     25.00   0.4000     25.00  -0.1000  
   26.00   4.7000     26.00   4.1000     26.00   0.4000     26.00  -0.1000  
   27.00   4.7000     27.00   4.1000     27.00   0.3000     27.00  -0.1000  
   28.00   4.6000     28.00   4.1000     28.00   0.4000     28.00  -0.1000  
   29.00   4.6000     29.00   4.1000     29.00   0.3000     29.00  -0.1000  
   30.00   4.6000     30.00   4.1000     30.00   0.3000     30.00  -0.1000  
   31.00   4.5000     31.00   4.2000     31.00   0.4000     31.00  -0.1000  
   32.00   4.7000     32.00   4.2000     32.00   0.3000     32.00   0.0000  
   33.00   4.6000     33.00   4.2000     33.00   0.4000     33.00  -0.2000  
   34.00   4.6000     34.00   4.1000     34.00   0.4000     34.00   0.0000  
   35.00   4.7000     35.00   4.2000     35.00   0.2000     35.00  -0.2000  
   36.00   4.5000     36.00   4.2000     36.00   0.4000     36.00  -0.1000  
   37.00   4.6000     37.00   4.2000     37.00   0.4000     37.00  -0.1000  
   38.00   4.6000     38.00   4.2000     38.00   0.4000     38.00   0.0000  
   39.00   4.6000     39.00   4.2000     39.00   0.3000     39.00  -0.1000  
   40.00   4.6000     40.00   4.1000     40.00   0.5000     40.00  -0.1000  
   41.00   4.7000     41.00   4.2000     41.00   0.4000     41.00  -0.1000  
   42.00   4.5000     42.00   4.1000     42.00   0.4000     42.00  -0.1000  
   43.00   4.7000     43.00   4.2000     43.00   0.4000     43.00  -0.2000  
   44.00   4.7000     44.00   4.2000     44.00   0.4000     44.00  -0.1000  
   45.00   4.6000     45.00   4.2000     45.00   0.4000     45.00  -0.1000  
   46.00   4.7000     46.00   4.2000     46.00   0.3000     46.00  -0.1000  
   47.00   4.5000     47.00   4.2000     47.00   0.3000     47.00  -0.1000  
   48.00   4.6000     48.00   4.2000     48.00   0.3000     48.00  -0.1000  
   49.00   4.6000     49.00   4.1000     49.00   0.3000     49.00  -0.1000  
   50.00   4.6000     50.00   4.1000     50.00   0.3000     50.00  -0.1000  
   51.00   4.6000     51.00   4.2000     51.00   0.3000     51.00  -0.1000  
   52.00   4.8000     52.00   4.2000     52.00   0.3000     52.00  -0.1000  
   53.00   4.6000     53.00   4.2000     53.00   0.3000     53.00  -0.1000  
   54.00   4.6000     54.00   4.1000     54.00   0.3000     54.00  -0.1000  
   55.00   4.7000     55.00   4.2000     55.00   0.4000     55.00  -0.2000  
   56.00   4.6000     56.00   4.2000     56.00   0.4000     56.00  -0.1000  
   57.00   4.7000     57.00   4.2000     57.00   0.3000     57.00  -0.1000  
   58.00   4.5000     58.00   4.2000     58.00   0.3000     58.00  -0.1000  
   59.00   4.6000     59.00   4.1000     59.00   0.3000     59.00  -0.1000  
   60.00   4.7000     60.00   4.2000     60.00   0.3000     60.00  -0.1000  
   61.00   4.6000     61.00   4.2000     61.00   0.3000     61.00  -0.2000  
   62.00   4.6000     62.00   4.2000     62.00   0.4000     62.00  -0.1000  
   63.00   4.7000     63.00   4.2000     63.00   0.4000     63.00  -0.2000  
   64.00   4.6000     64.00   4.2000     64.00   0.3000     64.00  -0.1000  
   65.00   4.6000     65.00   4.2000     65.00   0.3000     65.00  -0.1000  
   66.00   4.7000     66.00   4.1000     66.00   0.3000     66.00  -0.1000  
   67.00   4.6000     67.00   4.2000     67.00   0.3000     67.00  -0.1000  
   68.00   4.7000     68.00   4.2000     68.00   0.3000     68.00  -0.1000  
   69.00   4.6000     69.00   4.2000     69.00   0.4000     69.00  -0.1000  
   70.00   4.6000     70.00   4.2000     70.00   0.3000     70.00  -0.1000  
   71.00   4.7000     71.00   4.2000     71.00   0.3000     71.00  -0.1000  
   72.00   4.6000     72.00   4.2000     72.00   0.4000     72.00   0.0000  
   73.00   4.6000     73.00   4.1000     73.00   0.3000     73.00   0.0000  
   74.00   4.7000     74.00   4.1000     74.00   0.4000     74.00  -0.2000  
   75.00   4.5000     75.00   4.2000     75.00   0.3000     75.00  -0.2000  
   76.00   4.6000     76.00   4.2000     76.00   0.3000     76.00  -0.2000  
   77.00   4.6000     77.00   4.2000     77.00   0.3000     77.00  -0.1000  
   78.00   4.6000     78.00   4.2000     78.00   0.4000     78.00  -0.1000  
   79.00   4.8000     79.00   4.2000     79.00   0.4000     79.00  -0.1000  
   80.00   4.5000     80.00   4.2000     80.00   0.4000     80.00  -0.2000  
   81.00   4.8000     81.00   4.2000     81.00   0.3000     81.00  -0.2000  
   82.00   4.5000     82.00   4.2000     82.00   0.3000     82.00  -0.1000  
   83.00   4.6000     83.00   4.2000     83.00   0.3000     83.00   0.0000  
   84.00   4.6000     84.00   4.2000     84.00   0.3000     84.00  -0.1000  
   85.00   4.8000     85.00   4.2000     85.00   0.3000     85.00  -0.1000  
   86.00   4.5000     86.00   4.2000     86.00   0.4000     86.00  -0.2000  
   87.00   4.6000     87.00   4.1000     87.00   0.3000     87.00  -0.1000  
   88.00   4.7000     88.00   4.2000     88.00   0.4000     88.00  -0.1000  
   89.00   4.5000     89.00   4.1000     89.00   0.3000     89.00  -0.1000  
   90.00   4.7000     90.00   4.2000     90.00   0.3000     90.00  -0.1000  
   91.00   4.5000     91.00   4.2000     91.00   0.3000     91.00  -0.1000  
   92.00   4.7000     92.00   4.1000     92.00   0.3000     92.00  -0.1000  
   93.00   4.7000     93.00   4.1000     93.00   0.3000     93.00  -0.1000  
   94.00   4.5000     94.00   4.1000     94.00   0.4000     94.00  -0.1000  
   95.00   4.7000     95.00   4.1000     95.00   0.4000     95.00  -0.1000  
   96.00   4.6000     96.00   4.2000     96.00   0.3000     96.00  -0.1000  
   97.00   4.6000     97.00   4.2000     97.00   0.4000     97.00  -0.1000  
   98.00   4.6000     98.00   4.2000     98.00   0.4000     98.00   0.0000  
   99.00   4.7000     99.00   4.1000     99.00   0.3000     99.00  -0.1000  
  100.00   4.6000    100.00   4.2000    100.00   0.3000    100.00  -0.2000  
  101.00   4.7000    101.00   4.2000    101.00   0.3000    101.00  -0.2000  
  102.00   4.6000    102.00   4.2000    102.00   0.4000    102.00  -0.1000  
  103.00   4.7000    103.00   4.2000    103.00   0.4000    103.00   0.0000  
  104.00   4.7000    104.00   4.1000    104.00   0.3000    104.00  -0.1000  
  105.00   4.6000    105.00   4.2000    105.00   0.2000    105.00  -0.1000  
  106.00   4.7000    106.00   4.2000    106.00   0.4000    106.00  -0.1000  
  107.00   4.5000    107.00   4.2000    107.00   0.4000    107.00  -0.2000  
  108.00   4.5000    108.00   4.2000    108.00   0.4000    108.00  -0.1000  
  109.00   4.7000    109.00   4.1000    109.00   0.3000    109.00  -0.1000  
  110.00   4.6000    110.00   4.2000    110.00   0.4000    110.00  -0.2000  
  111.00   4.6000    111.00   4.2000    111.00   0.3000    111.00  -0.1000  
  112.00   4.8000    112.00   4.2000    112.00   0.4000    112.00  -0.2000  
  113.00   4.5000    113.00   4.2000    113.00   0.3000    113.00  -0.1000  
  114.00   4.7000    114.00   4.1000    114.00   0.3000    114.00  -0.2000  
  115.00   4.7000    115.00   4.1000    115.00   0.3000    115.00  -0.1000  
  116.00   4.6000    116.00   4.2000    116.00   0.3000    116.00  -0.1000  
  117.00   4.7000    117.00   4.2000    117.00   0.3000    117.00  -0.1000  
  118.00   4.7000    118.00   4.2000    118.00   0.4000    118.00  -0.1000  
  119.00   4.6000    119.00   4.2000    119.00   0.3000    119.00  -0.2000  
  120.00   4.6000    120.00   4.0000    120.00   0.3000    120.00  -0.1000  
  121.00   4.7000    121.00   4.2000    121.00   0.4000    121.00  -0.1000  
  122.00   4.6000    122.00   4.1000    122.00   0.3000    122.00  -0.3000  
  123.00   4.8000    123.00   4.2000    123.00   0.4000    123.00  -0.1000  
  124.00   4.5000    124.00   4.1000    124.00   0.4000    124.00  -0.1000  
  125.00   4.7000    125.00   4.2000    125.00   0.3000    125.00  -0.2000  
  126.00   4.7000    126.00   4.2000    126.00   0.3000    126.00  -0.1000  
