Date : 2022/09/24 (SAT)
Time : 09:22:37
         UnWinder        OutFeeder 1        OutFeeder 2  
     X        Y         X        Y         X        Y    
    0.00     5.30      0.00     3.50      0.00     2.60  
    1.00     5.30      1.00     3.50      1.00     2.60  
    2.00     5.30      2.00     3.40      2.00     2.60  
    3.00     5.30      3.00     3.50      3.00     2.50  
    4.00     5.30      4.00     3.50      4.00     2.60  
    5.00     5.30      5.00     3.50      5.00     2.60  
    6.00     5.30      6.00     3.50      6.00     2.60  
    7.00     5.30      7.00     3.40      7.00     2.60  
    8.00     5.30      8.00     3.50      8.00     2.60  
    9.00     5.30      9.00     3.50      9.00     2.60  
   10.00     5.30     10.00     3.50     10.00     2.60  
   11.00     5.40     11.00     3.50     11.00     2.60  
   12.00     5.30     12.00     3.40     12.00     2.60  
   13.00     5.40     13.00     3.50     13.00     2.70  
   14.00     5.40     14.00     3.50     14.00     2.60  
   15.00     5.40     15.00     3.40     15.00     2.60  
   16.00     5.30     16.00     3.50     16.00     2.60  
   17.00     5.30     17.00     3.50     17.00     2.60  
   18.00     5.30     18.00     3.50     18.00     2.60  
   19.00     5.30     19.00     3.50     19.00     2.60  
   20.00     5.30     20.00     3.50     20.00     2.60  
   21.00     5.30     21.00     3.50     21.00     2.60  
   22.00     5.30     22.00     3.50     22.00     2.60  
   23.00     5.30     23.00     3.50     23.00     2.60  
   24.00     5.30     24.00     3.50     24.00     2.60  
   25.00     5.30     25.00     3.50     25.00     2.70  
   26.00     5.30     26.00     3.50     26.00     2.70  
   27.00     5.30     27.00     3.50     27.00     2.70  
   28.00     5.30     28.00     3.50     28.00     2.70  
   29.00     5.30     29.00     3.50     29.00     2.60  
   30.00     5.30     30.00     3.40     30.00     2.60  
   31.00     5.30     31.00     3.50     31.00     2.60  
   32.00     5.30     32.00     3.50     32.00     2.60  
   33.00     5.30     33.00     3.50     33.00     2.60  
   34.00     5.30     34.00     3.50     34.00     2.60  
   35.00     5.30     35.00     3.50     35.00     2.60  
   36.00     5.30     36.00     3.50     36.00     2.60  
   37.00     5.30     37.00     3.40     37.00     2.60  
   38.00     5.30     38.00     3.50     38.00     2.60  
   39.00     5.30     39.00     3.50     39.00     2.60  
   40.00     5.30     40.00     3.50     40.00     2.60  
   41.00     5.30     41.00     3.50     41.00     2.70  
   42.00     5.30     42.00     3.40     42.00     2.70  
   43.00     5.30     43.00     3.50     43.00     2.60  
   44.00     5.40     44.00     3.50     44.00     2.60  
   45.00     5.30     45.00     3.50     45.00     2.60  
   46.00     5.30     46.00     3.50     46.00     2.60  
   47.00     5.30     47.00     3.50     47.00     2.60  
   48.00     5.30     48.00     3.50     48.00     2.60  
   49.00     5.30     49.00     3.50     49.00     2.60  
   50.00     5.30     50.00     3.50     50.00     2.60  
   51.00     5.30     51.00     3.40     51.00     2.70  
   52.00     5.30     52.00     3.50     52.00     2.60  
   53.00     5.30     53.00     3.40     53.00     2.60  
   54.00     5.30     54.00     3.50     54.00     2.60  
   55.00     5.30     55.00     3.50     55.00     2.60  
   56.00     5.30     56.00     3.40     56.00     2.60  
   57.00     5.30     57.00     3.50     57.00     2.60  
   58.00     5.30     58.00     3.50     58.00     2.60  
   59.00     5.30     59.00     3.50     59.00     2.60  
   60.00     5.30     60.00     3.50     60.00     2.60  
   61.00     5.30     61.00     3.50     61.00     2.60  
   62.00     5.30     62.00     3.50     62.00     2.70  
   63.00     5.30     63.00     3.50     63.00     2.60  
   64.00     5.30     64.00     3.50     64.00     2.70  
   65.00     5.30     65.00     3.50     65.00     2.60  
   66.00     5.30     66.00     3.50     66.00     2.60  
   67.00     5.30     67.00     3.50     67.00     2.70  
   68.00     5.30     68.00     3.40     68.00     2.60  
   69.00     5.30     69.00     3.40     69.00     2.60  
   70.00     5.30     70.00     3.40     70.00     2.60  
   71.00     5.40     71.00     3.50     71.00     2.60  
   72.00     5.30     72.00     3.40     72.00     2.60  
   73.00     5.30     73.00     3.50     73.00     2.60  
   74.00     5.30     74.00     3.50     74.00     2.60  
   75.00     5.30     75.00     3.50     75.00     2.70  
   76.00     5.30     76.00     3.50     76.00     2.60  
   77.00     5.30     77.00     3.50     77.00     2.60  
   78.00     5.30     78.00     3.50     78.00     2.60  
   79.00     5.30     79.00     3.40     79.00     2.60  
   80.00     5.30     80.00     3.40     80.00     2.60  
   81.00     5.30     81.00     3.50     81.00     2.60  
   82.00     5.30     82.00     3.50     82.00     2.60  
   83.00     5.30     83.00     3.50     83.00     2.60  
   84.00     5.30     84.00     3.50     84.00     2.60  
   85.00     5.30     85.00     3.50     85.00     2.60  
   86.00     5.30     86.00     3.50     86.00     2.70  
   87.00     5.30     87.00     3.50     87.00     2.60  
   88.00     5.30     88.00     3.50     88.00     2.60  
   89.00     5.30     89.00     3.50     89.00     2.60  
   90.00     5.30     90.00     3.50     90.00     2.60  
   91.00     5.30     91.00     3.50     91.00     2.60  
   92.00     5.30     92.00     3.50     92.00     2.60  
   93.00     5.30     93.00     3.50     93.00     2.60  
   94.00     5.30     94.00     3.50     94.00     2.60  
   95.00     5.30     95.00     3.50     95.00     2.70  
   96.00     5.30     96.00     3.50     96.00     2.60  
   97.00     5.30     97.00     3.40     97.00     2.60  
   98.00     5.30     98.00     3.40     98.00     2.60  
   99.00     5.30     99.00     3.50     99.00     2.60  
  100.00     5.30    100.00     3.50    100.00     2.60  
  101.00     5.30    101.00     3.50    101.00     2.70  
  102.00     5.30    102.00     3.50    102.00     2.60  
  103.00     5.30    103.00     3.50    103.00     2.60  
  104.00     5.30    104.00     3.50    104.00     2.60  
  105.00     5.30    105.00     3.50    105.00     2.60  
  106.00     5.30    106.00     3.40    106.00     2.60  
  107.00     5.30    107.00     3.50    107.00     2.60  
  108.00     5.30    108.00     3.50    108.00     2.60  
  109.00     5.30    109.00     3.50    109.00     2.60  
  110.00     5.30    110.00     3.50    110.00     2.60  
  111.00     5.30    111.00     3.50    111.00     2.60  
  112.00     5.30    112.00     3.50    112.00     2.60  
  113.00     5.30    113.00     3.50    113.00     2.60  
  114.00     5.30    114.00     3.50    114.00     2.60  
  115.00     5.30    115.00     3.50    115.00     2.60  
  116.00     5.30    116.00     3.50    116.00     2.60  
  117.00     5.40    117.00     3.50    117.00     2.60  
  118.00     5.40    118.00     3.50    118.00     2.70  
  119.00     5.40    119.00     3.50    119.00     2.60  
  120.00     5.30    120.00     3.40    120.00     2.60  
  121.00     5.30    121.00     3.50    121.00     2.70  
  122.00     5.30    122.00     3.50    122.00     2.60  
  123.00     5.30    123.00     3.50    123.00     2.60  
  124.00     5.30    124.00     3.50    124.00     2.70  
  125.00     5.30    125.00     3.50    125.00     2.70  
  126.00     5.30    126.00     3.50    126.00     2.70  
  127.00     5.30    127.00     3.40    127.00     2.60  
  128.00     5.30    128.00     3.50    128.00     2.60  
  129.00     5.30    129.00     3.40    129.00     2.70  
  130.00     5.30    130.00     3.50    130.00     2.60  
  131.00     5.30    131.00     3.50    131.00     2.60  
  132.00     5.30    132.00     3.50    132.00     2.60  
  133.00     5.30    133.00     3.40    133.00     2.60  
  134.00     5.30    134.00     3.50    134.00     2.60  
  135.00     5.30    135.00     3.50    135.00     2.60  
  136.00     5.30    136.00     3.50    136.00     2.60  
  137.00     5.30    137.00     3.50    137.00     2.60  
