Date : 2022/09/24 (SAT)
Time : 09:23:02
   Film : Pattern         Review Cam  
     X        Y         X        Y    
    0.00  0.25010      0.00  0.00000  
    1.00  0.11393      1.00  0.00000  
    2.00 -0.14093      2.00  0.00000  
    3.00 -0.12310      3.00  0.00000  
    4.00 -0.08185      4.00  0.00000  
    5.00 -0.06723      5.00  0.00000  
    6.00 -0.11526      6.00  0.00000  
    7.00 -0.05647      7.00  0.00000  
    8.00 -0.03131      8.00  0.00000  
    9.00 -0.01136      9.00  0.00000  
   10.00 -0.03118     10.00  0.00000  
   11.00 -0.09500     11.00  0.00000  
   12.00 -0.09612     12.00  0.00000  
   13.00 -0.08407     13.00  0.00000  
   14.00 -0.06735     14.00  0.00000  
   15.00 -0.04977     15.00  0.00000  
   16.00 -0.04319     16.00  0.00000  
   17.00  0.20168     17.00  0.00000  
   18.00  0.20449     18.00  0.00000  
   19.00  0.15713     19.00  0.00000  
   20.00  0.12786     20.00  0.00000  
   21.00  0.06931     21.00  0.00000  
   22.00  0.00000     22.00  0.00000  
   23.00  0.01348     23.00  0.00000  
   24.00  0.03211     24.00  0.00000  
   25.00  0.01852     25.00  0.00000  
   26.00  0.03808     26.00  0.00000  
   27.00  0.04692     27.00  0.00000  
   28.00  0.03342     28.00  0.00000  
   29.00  0.03946     29.00  0.00000  
   30.00  0.04760     30.00  0.00000  
   31.00  0.05941     31.00  0.00000  
   32.00  0.13530     32.00  0.00000  
   33.00  0.14587     33.00  0.00000  
   34.00  0.11029     34.00  0.00000  
   35.00  0.09993     35.00  0.00000  
   36.00  0.02285     36.00  0.00000  
   37.00  0.00000     37.00  0.00000  
   38.00 -0.04694     38.00  0.00000  
   39.00  0.00000     39.00  0.00000  
   40.00  0.00743     40.00  0.00000  
   41.00  0.04377     41.00  0.00000  
   42.00  0.07776     42.00  0.00000  
   43.00  0.06057     43.00  0.00000  
   44.00  0.04601     44.00  0.00000  
   45.00  0.01114     45.00  0.00000  
   46.00  0.00525     46.00  0.00000  
   47.00  0.01323     47.00  0.00000  
   48.00  0.02074     48.00  0.00000  
   49.00 -0.04981     49.00  0.00000  
   50.00  0.08435     50.00  0.00000  
   51.00  0.07002     51.00  0.00000  
   52.00 -0.07082     52.00  0.00000  
   53.00 -0.10579     53.00  0.00000  
   54.00  0.00909     54.00  0.00000  
   55.00  0.03187     55.00  0.00000  
   56.00 -0.08337     56.00  0.00000  
   57.00 -0.02720     57.00  0.00000  
   58.00  0.12774     58.00  0.00000  
   59.00  0.10793     59.00  0.00000  
   60.00 -0.06576     60.00  0.00000  
   61.00 -0.18921     61.00  0.00000  
   62.00 -0.23673     62.00  0.00000  
   63.00 -0.15618     63.00  0.00000  
   64.00 -0.15349     64.00  0.00000  
   65.00 -0.16946     65.00  0.00000  
   66.00  0.06069     66.00  0.00000  
   67.00 -0.08973     67.00  0.00000  
   68.00  0.01324     68.00  0.00000  
   69.00 -0.13305     69.00  0.00000  
   70.00 -0.11769     70.00  0.00000  
   71.00 -0.07481     71.00  0.00000  
   72.00 -0.07558     72.00  0.00000  
   73.00 -0.09444     73.00  0.00000  
   74.00 -0.50286     74.00  0.00000  
   75.00 -0.29959     75.00  0.00000  
   76.00 -0.45418     76.00  0.00000  
   77.00 -0.10095     77.00  0.00000  
   78.00  0.03513     78.00  0.00000  
   79.00  0.05601     79.00  0.00000  
   80.00  0.43785     80.00  0.00000  
   81.00 -0.24908     81.00  0.00000  
   82.00 -0.28195     82.00  0.00000  
   83.00 -0.22150     83.00  0.00000  
   84.00  0.14838     84.00  0.00000  
   85.00 -0.03051     85.00  0.00000  
   86.00  0.39614     86.00  0.00000  
   87.00  0.07439     87.00  0.00000  
   88.00 -0.07697     88.00  0.00000  
   89.00 -0.07274     89.00  0.00000  
   90.00  0.09157     90.00  0.00000  
   91.00 -0.05213     91.00  0.00000  
   92.00 -0.13841     92.00  0.00000  
   93.00  0.08972     93.00  0.00000  
   94.00  0.27850     94.00  0.00000  
   95.00  0.01055     95.00  0.00000  
   96.00 -0.02857     96.00  0.00000  
   97.00 -0.01380     97.00  0.00000  
   98.00 -0.00370     98.00  0.00000  
   99.00 -0.39614     99.00  0.00000  
  100.00 -0.12750    100.00  0.00000  
  101.00 -0.07353    101.00  0.00000  
  102.00 -0.05219    102.00  0.00000  
  103.00 -0.03522    103.00  0.00000  
  104.00 -0.03777    104.00  0.00000  
  105.00  0.14381    105.00  0.00000  
  106.00 -0.08613    106.00  0.00000  
  107.00 -0.05490    107.00  0.00000  
  108.00  0.00000    108.00  0.00000  
  109.00  0.00672    109.00  0.00000  
  110.00  0.04457    110.00  0.00000  
  111.00  0.03307    111.00  0.00000  
  112.00  0.01968    112.00  0.00000  
  113.00 -0.03172    113.00  0.00000  
  114.00  0.08057    114.00  0.00000  
  115.00  0.11045    115.00  0.00000  
  116.00  0.11625    116.00  0.00000  
  117.00  0.08875    117.00  0.00000  
  118.00  0.06484    118.00  0.00000  
  119.00  0.03620    119.00  0.00000  
  120.00  0.28716    120.00  0.00000  
  121.00 -0.23495    121.00  0.00000  
  122.00 -0.22959    122.00  0.00000  
  123.00 -0.16462    123.00  0.00000  
  124.00 -0.10300    124.00  0.00000  
  125.00 -0.08487    125.00  0.00000  
  126.00 -0.08187    126.00  0.00000  
  127.00 -0.08534    127.00  0.00000  
  128.00 -0.08002    128.00  0.00000  
  129.00 -0.05839    129.00  0.00000  
  130.00 -0.37442    130.00  0.00000  
  131.00 -0.08470    131.00  0.00000  
  132.00  0.00000    132.00  0.00000  
  133.00  0.00000    133.00  0.00000  
  134.00 -0.01195    134.00  0.00000  
  135.00 -0.03025    135.00  0.00000  
  136.00 -0.35559    136.00  0.00000  
  137.00 -0.05809    137.00  0.00000  
  138.00 -0.00515    138.00  0.00000  
  139.00  0.01055    139.00  0.00000  
  140.00  0.01641    140.00  0.00000  
  141.00 -0.01437    141.00  0.00000  
  142.00 -0.29422    142.00  0.00000  
  143.00 -0.29305    143.00  0.00000  
  144.00 -0.27224    144.00  0.00000  
  145.00 -0.23193    145.00  0.00000  
  146.00 -0.20136    146.00  0.00000  
  147.00 -0.15440    147.00  0.00000  
  148.00 -0.10679    148.00  0.00000  
  149.00 -0.11112    149.00  0.00000  
  150.00  0.35614    150.00  0.00000  
  151.00 -0.41165    151.00  0.00000  
  152.00 -0.60687    152.00  0.00000  
  153.00 -0.86063    153.00  0.00000  
  154.00 -0.66205    154.00  0.00000  
  155.00 -0.52022    155.00  0.00000  
  156.00 -0.45823    156.00  0.00000  
  157.00 -0.37895    157.00  0.00000  
  158.00 -0.33555    158.00  0.00000  
  159.00 -0.33502    159.00  0.00000  
  160.00 -0.27121    160.00  0.00000  
  161.00 -0.17983    161.00  0.00000  
  162.00 -0.09069    162.00  0.00000  
  163.00 -0.07631    163.00  0.00000  
  164.00 -0.06801    164.00  0.00000  
  165.00 -0.06948    165.00  0.00000  
  166.00  0.01678    166.00  0.00000  
  167.00 -0.14206    167.00  0.00000  
  168.00 -0.11252    168.00  0.00000  
  169.00 -0.06426    169.00  0.00000  
  170.00 -0.01978    170.00  0.00000  
  171.00 -0.00632    171.00  0.00000  
  172.00 -0.02538    172.00  0.00000  
  173.00  0.48351    173.00  0.00000  
  174.00  0.01282    174.00  0.00000  
  175.00 -0.04147    175.00  0.00000  
  176.00 -0.04239    176.00  0.00000  
  177.00 -0.28705    177.00  0.00000  
  178.00 -0.06806    178.00  0.00000  
  179.00 -0.03063    179.00  0.00000  
  180.00 -0.02733    180.00  0.00000  
  181.00  0.00828    181.00  0.00000  
  182.00 -0.14695    182.00  0.00000  
  183.00 -0.11044    183.00  0.00000  
  184.00 -0.09345    184.00  0.00000  
  185.00 -0.08201    185.00  0.00000  
  186.00 -0.07583    186.00  0.00000  
  187.00 -0.06899    187.00  0.00000  
  188.00 -0.03833    188.00  0.00000  
  189.00 -0.02441    189.00  0.00000  
  190.00  0.01239    190.00  0.00000  
  191.00  0.03407    191.00  0.00000  
  192.00  0.02438    192.00  0.00000  
  193.00  0.00000    193.00  0.00000  
  194.00 -0.01539    194.00  0.00000  
  195.00 -0.02519    195.00  0.00000  
  196.00 -0.01283    196.00  0.00000  
  197.00  0.00000    197.00  0.00000  
  198.00  0.02140    198.00  0.00000  
  199.00  0.04158    199.00  0.00000  
  200.00 -0.07799    200.00  0.00000  
  201.00 -0.09566    201.00  0.00000  
  202.00 -0.10287    202.00  0.00000  
  203.00  0.05661    203.00  0.00000  
  204.00  0.05033    204.00  0.00000  
  205.00  0.04845    205.00  0.00000  
  206.00  0.02342    206.00  0.00000  
  207.00 -0.09747    207.00  0.00000  
  208.00 -0.07844    208.00  0.00000  
  209.00 -0.04410    209.00  0.00000  
  210.00 -0.01333    210.00  0.00000  
  211.00  0.02348    211.00  0.00000  
  212.00  0.01761    212.00  0.00000  
  213.00  0.23986    213.00  0.00000  
  214.00  0.24987    214.00  0.00000  
  215.00  0.21648    215.00  0.00000  
  216.00  0.18491    216.00  0.00000  
  217.00  0.16198    217.00 -1.01898  
  218.00  0.14865    218.00 -1.00162  
  219.00 -0.17417    219.00 -0.98949  
  220.00  0.04817    220.00 -0.99143  
  221.00  0.05600    221.00 -0.87560  
  222.00  0.03002    222.00 -0.88313  
  223.00  0.01046    223.00 -0.90159  
  224.00  0.02010    224.00 -0.91181  
  225.00  0.03174    225.00 -0.92838  
  226.00  0.05461    226.00 -1.10440  
  227.00  0.06339    227.00 -0.96921  
  228.00  0.04086    228.00 -0.96605  
  229.00  0.02110    229.00 -0.98009  
  230.00 -0.00373    230.00 -0.99417  
  231.00 -0.02101    231.00 -0.99881  
  232.00 -0.00722    232.00 -0.98778  
  233.00  0.01967    233.00 -0.98270  
  234.00  0.04814    234.00 -0.97520  
  235.00 -0.27485    235.00 -0.97499  
  236.00 -0.15964    236.00 -0.98519  
  237.00 -0.12341    237.00 -0.99888  
  238.00 -0.10703    238.00 -1.01473  
  239.00 -0.08864    239.00 -1.01458  
  240.00 -0.05290    240.00 -0.99720  
  241.00 -0.01750    241.00 -0.98683  
  242.00  0.01305    242.00 -1.13047  
  243.00  0.03975    243.00 -1.09614  
  244.00  0.03536    244.00 -1.07205  
  245.00  0.03078    245.00 -1.05910  
  246.00  0.00943    246.00 -1.05456  
  247.00  0.00318    247.00 -1.04508  
  248.00  0.02780    248.00 -1.02094  
  249.00  0.04467    249.00 -1.00533  
  250.00  0.06631    250.00 -0.98934  
  251.00  0.08141    251.00 -0.97966  
  252.00  0.07094    252.00 -0.98625  
  253.00  0.05656    253.00 -0.99278  
  254.00  0.03373    254.00 -1.00203  
  255.00  0.01951    255.00 -0.99688  
  256.00  0.03718    256.00 -0.98514  
  257.00  0.05542    257.00 -0.97615  
  258.00  0.07182    258.00 -0.96716  
  259.00  0.09938    259.00 -0.96087  
  260.00 -0.12998    260.00 -0.96895  
  261.00 -0.12536    261.00 -0.97874  
  262.00 -0.10138    262.00 -0.99393  
  263.00 -0.09072    263.00 -0.99216  
  264.00 -0.05173    264.00 -0.97999  
  265.00 -0.01334    265.00 -0.97527  
  266.00  0.02341    266.00 -0.96536  
  267.00  0.05121    267.00 -1.08036  
  268.00  0.04752    268.00 -1.07667  
  269.00  0.03316    269.00 -1.06093  
  270.00  0.02001    270.00 -1.06518  
  271.00  0.00760    271.00 -1.04228  
  272.00  0.02441    272.00 -1.01935  
  273.00  0.04625    273.00 -1.00314  
  274.00  0.06166    274.00 -0.98526  
  275.00  0.07902    275.00 -0.97585  
  276.00  0.06399    276.00 -0.98443  
  277.00  0.03709    277.00 -0.98628  
  278.00  0.02486    278.00 -1.00136  
  279.00  0.00974    279.00 -0.99752  
  280.00  0.02035    280.00 -0.98296  
  281.00  0.04405    281.00 -0.97581  
  282.00  0.06891    282.00 -0.96928  
  283.00  0.08220    283.00 -0.96302  
  284.00  0.07434    284.00 -0.97566  
  285.00  0.05401    285.00 -0.98484  
  286.00  0.03392    286.00 -0.99782  
  287.00 -0.18965    287.00 -0.99748  
  288.00 -0.15395    288.00 -0.98387  
  289.00 -0.09441    289.00 -0.97535  
  290.00 -0.03808    290.00 -0.96520  
  291.00  0.00796    291.00 -0.95803  
  292.00  0.02643    292.00 -0.96961  
  293.00  0.02097    293.00 -0.97828  
  294.00  0.00883    294.00 -1.11399  
  295.00  0.00815    295.00 -1.10154  
  296.00 -0.80078    296.00 -1.06598  
  297.00 -0.72833    297.00 -1.03487  
  298.00 -0.53810    298.00 -1.01027  
  299.00 -0.37557    299.00 -0.99246  
  300.00 -0.27409    300.00 -0.99084  
  301.00 -0.20725    301.00 -0.99202  
  302.00  0.00600    302.00 -1.00136  
  303.00  0.06325    303.00 -0.99762  
  304.00  0.09271    304.00 -1.45537  
  305.00  0.09812    305.00 -1.33888  
  306.00  0.11623    306.00 -1.24478  
  307.00  0.12822    307.00 -1.17737  
  308.00  0.11055    308.00 -1.12790  
  309.00  0.09153    309.00 -1.10579  
  310.00  0.05250    310.00 -0.98933  
  311.00  0.03409    311.00 -0.96868  
  312.00  0.03724    312.00 -0.95012  
  313.00  0.04916    313.00 -0.94658  
  314.00  0.06366    314.00 -0.94064  
  315.00  0.08936    315.00 -0.93767  
  316.00  0.07277    316.00 -0.94712  
  317.00  0.05029    317.00 -0.96428  
  318.00  0.04063    318.00 -0.98384  
  319.00  0.03751    319.00 -0.98466  
  320.00  0.04854    320.00 -0.97699  
  321.00  0.06525    321.00 -0.96953  
  322.00 -0.03903    322.00 -0.96339  
  323.00 -0.12011    323.00 -0.95366  
  324.00 -0.10486    324.00 -0.97230  
  325.00 -0.09238    325.00 -0.97434  
  326.00 -0.08104    326.00 -0.98078  
  327.00 -0.06246    327.00 -0.97860  
  328.00 -0.03333    328.00 -0.96955  
  329.00  0.00356    329.00 -1.16454  
  330.00  0.03930    330.00 -1.08204  
  331.00  0.07392    331.00 -1.06366  
  332.00  0.05851    332.00 -1.05473  
  333.00  0.05102    333.00 -1.04617  
  334.00  0.02888    334.00 -1.03862  
  335.00  0.01386    335.00 -1.02748  
  336.00  0.19381    336.00 -1.00653  
  337.00  0.24841    337.00 -0.98941  
  338.00  0.25498    338.00 -0.97131  
  339.00  0.24016    339.00 -0.96447  
  340.00  0.19332    340.00 -0.96695  
  341.00  0.14174    341.00 -0.97668  
  342.00  0.08411    342.00 -0.99188  
  343.00  0.06224    343.00 -0.98876  
  344.00  0.06306    344.00 -0.88009  
  345.00  0.06872    345.00 -0.87007  
  346.00  0.08453    346.00 -0.87154  
  347.00  0.09388    347.00 -0.88440  
  348.00  0.06618    348.00 -0.91011  
  349.00  0.04063    349.00 -0.93999  
  350.00  0.01413    350.00 -0.96680  
  351.00  0.00000    351.00 -0.97048  
  352.00  0.02565    352.00 -0.96537  
  353.00  0.02922    353.00 -0.95930  
  354.00  0.06258    354.00 -0.95775  
  355.00  0.07715    355.00 -0.95835  
  356.00  0.06596    356.00 -0.97767  
  357.00  0.04986    357.00 -0.98575  
  358.00  0.02971    358.00 -1.00281  
  359.00  0.01367    359.00 -0.99568  
  360.00  0.02651    360.00 -0.98644  
  361.00  0.04319    361.00 -0.98045  
  362.00  0.06669    362.00 -0.96772  
  363.00  0.08538    363.00 -0.96604  
  364.00  0.06490    364.00 -0.97136  
  365.00  0.05034    365.00 -0.97966  
  366.00  0.02817    366.00 -0.99207  
  367.00  0.01933    367.00 -0.99544  
  368.00  0.03796    368.00 -0.98179  
  369.00  0.04535    369.00 -0.97284  
  370.00  0.07302    370.00 -0.95961  
  371.00  0.36645    371.00 -0.95877  
  372.00 -0.02006    372.00 -0.96890  
  373.00 -0.08484    373.00 -0.98229  
  374.00 -0.11433    374.00 -0.99233  
  375.00 -0.08633    375.00 -0.98829  
  376.00 -0.04986    376.00 -0.98284  
  377.00 -0.01517    377.00 -0.96686  
  378.00  0.02832    378.00 -0.89044  
  379.00  0.05467    379.00 -1.01151  
  380.00  0.05360    380.00 -1.04472  
  381.00  0.04002    381.00 -1.06155  
  382.00  0.02397    382.00 -1.05514  
  383.00  0.01449    383.00 -1.04049  
  384.00  0.03069    384.00 -1.01591  
  385.00  0.04383    385.00 -0.99825  
  386.00  0.06696    386.00 -0.97659  
  387.00  0.08223    387.00 -0.96817  
  388.00  0.06774    388.00 -0.97164  
  389.00  0.04366    389.00 -0.97905  
  390.00  0.02115    390.00 -0.99347  
  391.00  0.01226    391.00 -0.99105  
  392.00  0.02682    392.00 -0.97887  
  393.00  0.04702    393.00 -0.97202  
  394.00  0.09542    394.00 -0.95744  
  395.00  0.08194    395.00 -0.97120  
  396.00  0.06335    396.00 -0.97449  
  397.00  0.03476    397.00 -0.99314  
  398.00  0.01836    398.00 -0.99363  
  399.00  0.02985    399.00 -0.98067  
  400.00  0.04680    400.00 -0.96658  
  401.00  0.06528    401.00 -0.95477  
  402.00  0.08657    402.00 -0.94906  
  403.00  0.07436    403.00 -0.96016  
  404.00  0.05498    404.00 -0.96602  
  405.00  0.02859    405.00 -0.99064  
  406.00  0.02203    406.00 -0.98632  
  407.00  0.02584    407.00 -0.97917  
  408.00  0.03910    408.00 -0.97193  
  409.00  0.05907    409.00 -0.95988  
  410.00  0.08013    410.00 -0.95546  
  411.00  0.05872    411.00 -0.96147  
  412.00  0.03421    412.00 -0.97753  
  413.00  0.01252    413.00 -0.99288  
  414.00  0.00000    414.00 -0.98643  
  415.00  0.01865    415.00 -0.98063  
  416.00  0.03831    416.00 -0.97098  
  417.00  0.06266    417.00 -0.96275  
  418.00  0.08329    418.00 -0.95511  
  419.00  0.06710    419.00 -0.97075  
  420.00  0.04850    420.00 -0.98815  
  421.00  0.01908    421.00 -0.99350  
  422.00  0.00000    422.00 -0.99345  
  423.00  0.01809    423.00 -0.98404  
  424.00  0.03382    424.00 -0.97218  
  425.00  0.05686    425.00 -0.95791  
  426.00  0.07042    426.00 -0.95602  
  427.00  0.05546    427.00 -0.97133  
  428.00  0.03950    428.00 -0.97886  
  429.00  0.01812    429.00 -0.99413  
  430.00  0.00680    430.00 -0.99430  
  431.00  0.02405    431.00 -0.98617  
  432.00  0.04346    432.00 -0.97398  
  433.00  0.05568    433.00 -0.96381  
  434.00  0.06996    434.00 -0.96436  
  435.00  0.05231    435.00 -0.97522  
  436.00  0.03128    436.00 -0.98151  
  437.00  0.01178    437.00 -0.99242  
  438.00  0.00000    438.00 -0.99338  
  439.00  0.01986    439.00 -0.98142  
  440.00  0.03360    440.00 -0.96995  
  441.00  0.04920    441.00 -0.96465  
  442.00  0.07604    442.00 -0.96329  
  443.00  0.06359    443.00 -0.97130  
  444.00  0.04369    444.00 -0.98592  
  445.00  0.01830    445.00 -0.99596  
  446.00  0.00000    446.00 -0.99838  
  447.00  0.02764    447.00 -0.98296  
  448.00  0.03414    448.00 -0.97534  
  449.00  0.04751    449.00 -0.96672  
  450.00  0.06763    450.00 -0.96005  
  451.00  0.05506    451.00 -0.96809  
  452.00  0.03281    452.00 -0.98255  
  453.00  0.00902    453.00 -0.99593  
  454.00  0.00000    454.00 -0.99669  
  455.00  0.02051    455.00 -0.98000  
  456.00  0.03204    456.00 -0.97528  
  457.00  0.05674    457.00 -0.97058  
  458.00  0.07534    458.00 -0.96240  
  459.00  0.05434    459.00 -0.97698  
  460.00  0.03169    460.00 -0.98386  
  461.00  0.01144    461.00 -0.99907  
  462.00 -0.00376    462.00 -0.99571  
  463.00 -0.10436    463.00 -0.98255  
  464.00 -0.07809    464.00 -0.97302  
  465.00 -0.02645    465.00 -0.96315  
  466.00  0.01935    466.00 -0.96037  
  467.00  0.01457    467.00 -0.97615  
  468.00  0.00327    468.00 -0.98608  
  469.00 -0.01019    469.00 -0.89495  
  470.00 -0.02148    470.00 -1.06408  
  471.00 -0.00521    471.00 -1.05394  
  472.00  0.01044    472.00 -1.02718  
  473.00  0.03867    473.00 -1.00333  
  474.00  0.05504    474.00 -0.98990  
  475.00  0.04170    475.00 -0.99236  
  476.00  0.02382    476.00 -0.99978  
  477.00  0.00000    477.00 -1.00945  
  478.00 -0.00519    478.00 -1.00687  
  479.00  0.00918    479.00 -0.99772  
  480.00  0.02712    480.00 -0.98667  
  481.00  0.05276    481.00 -0.97365  
  482.00  0.06679    482.00 -0.97035  
  483.00  0.04658    483.00 -0.97925  
  484.00  0.02447    484.00 -0.99262  
  485.00  0.00000    485.00 -0.99917  
  486.00 -0.01931    486.00 -1.00177  
  487.00 -0.02011    487.00 -0.98985  
  488.00  0.00653    488.00 -0.97793  
