Date : 2022/09/24 (SAT)
Time : 08:19:49
        Tension 1          Tension 2              Nip 1              Nip 2  
     X        Y         X        Y         X        Y         X        Y    
    0.00   5.6000      0.00   4.9000      0.00   0.6000      0.00   0.5000  
    1.00   5.6000      1.00   4.9000      1.00   0.5000      1.00   0.5000  
    2.00   5.6000      2.00   4.9000      2.00   0.6000      2.00   0.5000  
    3.00   5.6000      3.00   4.9000      3.00   0.5000      3.00   0.5000  
    4.00   5.6000      4.00   4.9000      4.00   0.5000      4.00   0.4000  
    5.00   5.6000      5.00   4.9000      5.00   0.6000      5.00   0.5000  
    6.00   5.6000      6.00   4.9000      6.00   0.5000      6.00   0.5000  
    7.00   5.5000      7.00   4.9000      7.00   0.5000      7.00   0.4000  
    8.00   5.5000      8.00   4.9000      8.00   0.5000      8.00   0.5000  
    9.00   5.4000      9.00   4.9000      9.00   0.5000      9.00   0.5000  
   10.00   5.4000     10.00   4.8000     10.00   0.5000     10.00   0.5000  
   11.00   5.3000     11.00   4.9000     11.00   0.5000     11.00   0.4000  
   12.00   5.3000     12.00   4.9000     12.00   0.5000     12.00   0.5000  
   13.00   5.3000     13.00   4.9000     13.00   0.5000     13.00   0.6000  
   14.00   5.4000     14.00   4.9000     14.00   0.5000     14.00   0.5000  
   15.00   5.4000     15.00   4.8000     15.00   0.5000     15.00   0.5000  
   16.00   5.5000     16.00   4.9000     16.00   0.5000     16.00   0.4000  
   17.00   5.5000     17.00   4.9000     17.00   0.5000     17.00   0.5000  
   18.00   5.6000     18.00   4.9000     18.00   0.6000     18.00   0.5000  
   19.00   5.6000     19.00   4.9000     19.00   0.6000     19.00   0.5000  
   20.00   5.6000     20.00   4.9000     20.00   0.6000     20.00   0.5000  
   21.00   5.6000     21.00   4.9000     21.00   0.5000     21.00   0.5000  
   22.00   5.6000     22.00   4.9000     22.00   0.5000     22.00   0.5000  
   23.00   5.6000     23.00   4.9000     23.00   0.5000     23.00   0.5000  
   24.00   5.5000     24.00   4.9000     24.00   0.6000     24.00   0.4000  
   25.00   5.3000     25.00   4.9000     25.00   0.5000     25.00   0.5000  
   26.00   5.3000     26.00   4.8000     26.00   0.6000     26.00   0.5000  
   27.00   5.3000     27.00   4.8000     27.00   0.5000     27.00   0.5000  
   28.00   5.3000     28.00   4.7000     28.00   0.5000     28.00   0.5000  
   29.00   5.4000     29.00   4.8000     29.00   0.5000     29.00   0.5000  
   30.00   5.4000     30.00   4.7000     30.00   0.5000     30.00   0.4000  
   31.00   5.4000     31.00   4.7000     31.00   0.5000     31.00   0.5000  
   32.00   5.5000     32.00   4.8000     32.00   0.5000     32.00   0.4000  
   33.00   5.6000     33.00   4.9000     33.00   0.5000     33.00   0.4000  
   34.00   5.6000     34.00   4.9000     34.00   0.6000     34.00   0.5000  
   35.00   5.6000     35.00   4.9000     35.00   0.5000     35.00   0.5000  
   36.00   5.7000     36.00   4.9000     36.00   0.5000     36.00   0.5000  
   37.00   5.6000     37.00   4.9000     37.00   0.6000     37.00   0.5000  
   38.00   5.6000     38.00   4.9000     38.00   0.5000     38.00   0.5000  
   39.00   5.5000     39.00   4.9000     39.00   0.6000     39.00   0.5000  
   40.00   5.4000     40.00   4.9000     40.00   0.5000     40.00   0.5000  
   41.00   5.3000     41.00   4.8000     41.00   0.5000     41.00   0.5000  
