Date : 2022/09/24 (SAT)
Time : 08:20:00
         UnWinder        OutFeeder 1        OutFeeder 2  
     X        Y         X        Y         X        Y    
    0.00     5.60      0.00     3.80      0.00     2.60  
    1.00     5.50      1.00     3.80      1.00     2.70  
    2.00     5.60      2.00     3.70      2.00     2.70  
    3.00     5.50      3.00     3.80      3.00     2.70  
    4.00     5.40      4.00     3.80      4.00     2.80  
    5.00     5.40      5.00     3.60      5.00     2.80  
    6.00     5.40      6.00     3.60      6.00     2.80  
    7.00     5.40      7.00     3.70      7.00     2.80  
    8.00     5.70      8.00     3.70      8.00     2.70  
    9.00     5.70      9.00     3.80      9.00     2.70  
   10.00     5.50     10.00     3.80     10.00     2.60  
   11.00     5.60     11.00     3.80     11.00     2.60  
   12.00     5.50     12.00     3.80     12.00     2.60  
   13.00     5.40     13.00     3.90     13.00     2.60  
   14.00     5.40     14.00     3.80     14.00     2.60  
   15.00     5.40     15.00     3.90     15.00     2.60  
   16.00     5.30     16.00     3.80     16.00     2.70  
   17.00     5.30     17.00     3.80     17.00     2.70  
   18.00     5.30     18.00     3.70     18.00     2.70  
   19.00     5.30     19.00     3.60     19.00     2.80  
   20.00     5.30     20.00     3.60     20.00     2.80  
   21.00     5.70     21.00     3.50     21.00     2.80  
   22.00     5.50     22.00     3.60     22.00     2.80  
   23.00     5.60     23.00     3.70     23.00     2.80  
   24.00     5.80     24.00     3.70     24.00     2.70  
   25.00     5.60     25.00     3.80     25.00     2.70  
   26.00     5.60     26.00     3.80     26.00     2.70  
   27.00     5.80     27.00     3.80     27.00     2.70  
   28.00     5.80     28.00     3.80     28.00     2.70  
   29.00     5.90     29.00     3.80     29.00     2.70  
   30.00     5.90     30.00     3.80     30.00     2.60  
   31.00     5.90     31.00     3.80     31.00     2.60  
   32.00     5.90     32.00     3.70     32.00     2.70  
   33.00     5.90     33.00     3.80     33.00     2.60  
   34.00     5.90     34.00     3.70     34.00     2.70  
   35.00     5.90     35.00     3.70     35.00     2.70  
   36.00     5.60     36.00     3.60     36.00     2.80  
   37.00     5.40     37.00     3.70     37.00     2.80  
   38.00     5.40     38.00     3.60     38.00     2.80  
   39.00     5.30     39.00     3.60     39.00     2.70  
   40.00     5.30     40.00     3.70     40.00     2.60  
   41.00     5.70     41.00     3.80     41.00     2.60  
   42.00     5.40     42.00     3.80     42.00     2.60  
   43.00     5.60     43.00     3.80     43.00     2.60  
   44.00     5.50     44.00     3.80     44.00     2.60  
   45.00     5.50     45.00     3.80     45.00     2.60  
   46.00     5.40     46.00     3.80     46.00     2.60  
   47.00     5.30     47.00     3.70     47.00     2.70  
   48.00     5.30     48.00     3.70     48.00     2.60  
   49.00     5.30     49.00     3.60     49.00     2.70  
   50.00     5.30     50.00     3.50     50.00     2.70  
   51.00     5.30     51.00     3.50     51.00     2.80  
   52.00     5.30     52.00     3.50     52.00     2.80  
   53.00     5.30     53.00     3.60     53.00     2.80  
   54.00     5.30     54.00     3.70     54.00     2.70  
   55.00     5.30     55.00     3.80     55.00     2.70  
   56.00     5.70     56.00     3.80     56.00     2.60  
   57.00     5.50     57.00     3.80     57.00     2.60  
   58.00     5.70     58.00     3.80     58.00     2.60  
   59.00     5.50     59.00     3.80     59.00     2.60  
   60.00     5.60     60.00     3.80     60.00     2.60  
   61.00     5.70     61.00     3.80     61.00     2.60  
   62.00     5.80     62.00     3.80     62.00     2.60  
   63.00     5.90     63.00     3.60     63.00     2.60  
   64.00     5.90     64.00     3.60     64.00     2.60  
   65.00     5.90     65.00     3.60     65.00     2.60  
   66.00     5.90     66.00     3.50     66.00     2.70  
   67.00     5.90     67.00     3.60     67.00     2.80  
   68.00     5.90     68.00     3.60     68.00     2.80  
   69.00     5.90     69.00     3.50     69.00     2.80  
   70.00     5.90     70.00     3.60     70.00     2.70  
   71.00     5.50     71.00     3.70     71.00     2.60  
   72.00     5.50     72.00     3.60     72.00     2.60  
   73.00     5.40     73.00     3.70     73.00     2.60  
   74.00     5.40     74.00     3.80     74.00     2.60  
   75.00     5.70     75.00     3.80     75.00     2.60  
   76.00     5.40     76.00     3.70     76.00     2.60  
   77.00     5.70     77.00     3.80     77.00     2.70  
   78.00     5.70     78.00     3.60     78.00     2.70  
   79.00     5.50     79.00     3.70     79.00     2.60  
   80.00     5.50     80.00     3.60     80.00     2.70  
   81.00     5.40     81.00     3.60     81.00     2.70  
   82.00     5.30     82.00     3.50     82.00     2.80  
   83.00     5.30     83.00     3.60     83.00     2.70  
   84.00     5.30     84.00     3.50     84.00     2.80  
   85.00     5.30     85.00     3.60     85.00     2.70  
   86.00     5.30     86.00     3.60     86.00     2.60  
   87.00     5.30     87.00     3.80     87.00     2.70  
   88.00     5.30     88.00     3.80     88.00     2.60  
   89.00     5.30     89.00     3.80     89.00     2.60  
   90.00     5.40     90.00     3.80     90.00     2.60  
   91.00     5.80     91.00     3.70     91.00     2.60  
   92.00     5.60     92.00     3.70     92.00     2.60  
   93.00     5.60     93.00     3.70     93.00     2.70  
   94.00     5.80     94.00     3.70     94.00     2.70  
   95.00     5.60     95.00     3.60     95.00     2.70  
