Day,Time,Minute,Second,Speed[rpm],Pattern_X [Pixel], Pattern_Y [Pixel], Film_X [Pixel], Film_Y [Pixel],Film_Result_X [mm], Film_Result_Y [mm],Zoom_1st_X [Pixel], Zoom_1st_Y [Pixel], Zoom_Curr_X [Pixel], Zoom_Curr_Y [Pixel],Normal_1st_X [Pixel], Normal_1st_Y [Pixel], Normal_Curr_X [Pixel], Normal_Curr_Y [Pixel],Zoom_Result_X [mm], Zoom_Result_Y [mm], Film_Result_X [mm], Film_Result_Y [mm],FileName
24,16,05,14,0.0,220.244,109.371,529.047,167.952,0.431,-0.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,23,0.0,226.381,323.945,523.487,394.537,0.373,-0.730,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,26,0.0,303.646,156.164,522.446,322.957,-0.003,-1.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,27,0.0,301.741,216.970,519.322,328.010,-0.008,-0.927,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,28,0.0,299.654,294.600,516.456,333.553,-0.013,-0.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,29,0.0,296.533,354.414,515.303,344.102,0.000,-0.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,30,0.0,297.083,379.044,513.643,334.603,-0.015,-0.177,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,30,0.0,295.364,400.926,511.571,329.347,-0.016,-0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,31,0.0,292.662,414.967,509.873,324.870,-0.013,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,32,0.0,290.443,434.088,507.893,323.966,-0.012,0.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,33,0.0,287.179,447.209,505.410,322.732,-0.006,0.207,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,34,0.0,283.747,458.129,502.711,322.854,-0.004,0.260,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,35,0.0,281.125,460.223,500.823,318.433,0.000,0.289,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,36,0.0,282.696,470.688,500.949,332.054,-0.008,0.272,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,36,0.0,281.921,461.432,501.318,326.421,0.000,0.256,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,37,0.0,282.045,462.168,501.888,328.033,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,38,0.0,283.874,464.697,501.705,327.776,-0.009,0.267,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,39,0.0,282.981,467.038,501.345,325.355,-0.005,0.288,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
24,16,05,40,0.0,281.243,470.505,500.465,321.504,0.000,0.324,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
