Date : 2022/09/24 (SAT)
Time : 07:22:29
        Tension 1          Tension 2              Nip 1              Nip 2  
     X        Y         X        Y         X        Y         X        Y    
    0.00   5.1000      0.00   5.3000      0.00   0.6000      0.00   0.5000  
    1.00   5.0000      1.00   5.3000      1.00   0.6000      1.00   0.5000  
    2.00   5.1000      2.00   5.3000      2.00   0.7000      2.00   0.4000  
    3.00   5.2000      3.00   5.2000      3.00   0.6000      3.00   0.4000  
    4.00   5.3000      4.00   5.2000      4.00   0.7000      4.00   0.6000  
    5.00   5.3000      5.00   5.3000      5.00   0.7000      5.00   0.5000  
    6.00   5.3000      6.00   5.3000      6.00   0.6000      6.00   0.5000  
    7.00   5.4000      7.00   5.3000      7.00   0.7000      7.00   0.4000  
    8.00   5.3000      8.00   5.4000      8.00   0.6000      8.00   0.4000  
    9.00   5.2000      9.00   5.3000      9.00   0.7000      9.00   0.5000  
   10.00   5.1000     10.00   5.2000     10.00   0.6000     10.00   0.5000  
   11.00   5.1000     11.00   5.2000     11.00   0.7000     11.00   0.5000  
   12.00   5.1000     12.00   5.3000     12.00   0.6000     12.00   0.5000  
   13.00   5.2000     13.00   5.3000     13.00   0.6000     13.00   0.5000  
   14.00   5.3000     14.00   5.2000     14.00   0.7000     14.00   0.5000  
   15.00   5.4000     15.00   5.3000     15.00   0.6000     15.00   0.6000  
   16.00   5.4000     16.00   5.3000     16.00   0.7000     16.00   0.6000  
   17.00   5.3000     17.00   5.3000     17.00   0.6000     17.00   0.6000  
   18.00   5.2000     18.00   5.3000     18.00   0.7000     18.00   0.5000  
   19.00   5.1000     19.00   5.3000     19.00   0.6000     19.00   0.5000  
   20.00   5.2000     20.00   5.2000     20.00   0.7000     20.00   0.5000  
   21.00   5.0000     21.00   5.2000     21.00   0.6000     21.00   0.5000  
   22.00   5.0000     22.00   5.3000     22.00   0.7000     22.00   0.5000  
   23.00   5.1000     23.00   5.3000     23.00   0.6000     23.00   0.5000  
   24.00   5.3000     24.00   5.3000     24.00   0.6000     24.00   0.5000  
   25.00   5.4000     25.00   5.3000     25.00   0.7000     25.00   0.5000  
   26.00   5.4000     26.00   5.2000     26.00   0.6000     26.00   0.5000  
   27.00   5.4000     27.00   5.4000     27.00   0.6000     27.00   0.5000  
   28.00   5.3000     28.00   5.3000     28.00   0.7000     28.00   0.5000  
   29.00   5.2000     29.00   5.3000     29.00   0.7000     29.00   0.5000  
   30.00   5.2000     30.00   5.3000     30.00   0.6000     30.00   0.6000  
   31.00   5.1000     31.00   5.2000     31.00   0.7000     31.00   0.5000  
   32.00   5.0000     32.00   5.3000     32.00   0.6000     32.00   0.4000  
   33.00   5.0000     33.00   5.3000     33.00   0.7000     33.00   0.5000  
   34.00   5.0000     34.00   5.3000     34.00   0.7000     34.00   0.5000  
   35.00   5.4000     35.00   5.2000     35.00   0.6000     35.00   0.6000  
   36.00   5.4000     36.00   5.2000     36.00   0.7000     36.00   0.5000  
   37.00   5.4000     37.00   5.3000     37.00   0.6000     37.00   0.5000  
   38.00   5.3000     38.00   5.3000     38.00   0.6000     38.00   0.5000  
   39.00   5.2000     39.00   5.4000     39.00   0.6000     39.00   0.5000  
   40.00   5.1000     40.00   5.3000     40.00   0.7000     40.00   0.5000  
   41.00   5.0000     41.00   5.3000     41.00   0.6000     41.00   0.4000  
   42.00   5.0000     42.00   5.3000     42.00   0.7000     42.00   0.6000  
   43.00   5.0000     43.00   5.3000     43.00   0.6000     43.00   0.6000  
   44.00   5.2000     44.00   5.3000     44.00   0.7000     44.00   0.5000  
   45.00   5.3000     45.00   5.3000     45.00   0.7000     45.00   0.6000  
   46.00   5.3000     46.00   5.2000     46.00   0.7000     46.00   0.6000  
   47.00   5.4000     47.00   5.4000     47.00   0.6000     47.00   0.6000  
   48.00   5.3000     48.00   5.3000     48.00   0.6000     48.00   0.5000  
   49.00   5.3000     49.00   5.3000     49.00   0.7000     49.00   0.5000  
   50.00   5.2000     50.00   5.2000     50.00   0.6000     50.00   0.5000  
   51.00   5.1000     51.00   5.3000     51.00   0.7000     51.00   0.5000  
   52.00   5.0000     52.00   5.2000     52.00   0.6000     52.00   0.5000  
   53.00   5.0000     53.00   5.3000     53.00   0.6000     53.00   0.5000  
   54.00   5.1000     54.00   5.3000     54.00   0.6000     54.00   0.5000  
