Date : 2022/09/24 (SAT)
Time : 07:22:49
   Film : Pattern         Review Cam  
     X        Y         X        Y    
    0.00 -0.67022      0.00  0.00000  
    1.00 -0.72986      1.00  0.00000  
    2.00 -1.18961      2.00  0.00000  
    3.00 -0.92654      3.00  0.00000  
    4.00 -0.57792      4.00  0.00000  
    5.00 -0.34361      5.00  0.00000  
    6.00 -0.17738      6.00  0.00000  
    7.00 -0.04835      7.00  0.00000  
    8.00  0.04304      8.00  0.00000  
    9.00  0.13962      9.00  0.00000  
   10.00  0.20740     10.00  0.00000  
   11.00  0.25981     11.00  0.00000  
   12.00  0.28907     12.00  0.00000  
   13.00  0.27210     13.00  0.00000  
   14.00  0.25647     14.00  0.00000  
   15.00  0.25040     15.00  0.00000  
   16.00  0.26734     16.00  0.00000  
   17.00  0.28818     17.00  0.00000  
   18.00  0.32402     18.00  0.00000  
   19.00  0.33004     19.00  0.00000  
   20.00  0.32889     20.00  0.00000  
   21.00  0.30114     21.00  0.00000  
   22.00  0.27922     22.00  0.00000  
   23.00  0.26526     23.00  0.00000  
   24.00  0.27182     24.00  0.00000  
   25.00  0.30338     25.00  0.00000  
   26.00  0.33502     26.00  0.00000  
   27.00  0.33909     27.00  0.00000  
   28.00  0.34749     28.00  0.00000  
   29.00  0.31290     29.00  0.00000  
   30.00  0.27097     30.00  0.00000  
   31.00  0.25683     31.00  0.00000  
   32.00  0.25777     32.00  0.00000  
   33.00  0.27975     33.00  0.00000  
   34.00  0.31499     34.00  0.00000  
   35.00  0.34411     35.00  0.00000  
   36.00  0.35694     36.00  0.00000  
   37.00  0.29978     37.00  0.00000  
   38.00  0.27691     38.00  0.00000  
   39.00  0.27403     39.00  0.00000  
   40.00  0.26956     40.00  0.00000  
   41.00  0.29045     41.00  0.00000  
   42.00  0.32760     42.00  0.00000  
   43.00  0.33311     43.00  0.00000  
   44.00  0.32194     44.00  0.00000  
   45.00  0.29049     45.00  0.00000  
   46.00  0.25146     46.00  0.00000  
   47.00  0.24156     47.00  0.00000  
   48.00  0.23244     48.00  0.00000  
   49.00  0.24552     49.00  0.00000  
   50.00  0.27861     50.00  0.00000  
   51.00  0.28068     51.00  0.00000  
   52.00  0.27516     52.00  0.00000  
   53.00  0.21771     53.00  0.00000  
   54.00  0.17192     54.00  0.00000  
   55.00  0.16343     55.00  0.00000  
   56.00  0.16183     56.00  0.00000  
   57.00  0.20320     57.00  0.00000  
   58.00  0.23238     58.00  0.00000  
   59.00  0.25242     59.00  0.00000  
   60.00  0.28650     60.00  0.00000  
   61.00  0.24977     61.00  0.00000  
   62.00  0.21745     62.00  0.00000  
   63.00  0.18797     63.00  0.00000  
   64.00  0.18607     64.00  0.00000  
   65.00  0.21038     65.00  0.00000  
   66.00  0.24764     66.00  0.00000  
   67.00  0.26253     67.00  0.00000  
   68.00  0.26944     68.00  0.00000  
   69.00  0.20669     69.00  0.00000  
   70.00  0.20665     70.00  0.00000  
   71.00  0.22460     71.00  0.00000  
   72.00  0.26282     72.00  0.00000  
   73.00  0.29882     73.00  0.00000  
   74.00  0.31934     74.00  0.00000  
   75.00  0.31986     75.00  0.00000  
   76.00  0.26201     76.00  0.00000  
   77.00  0.23139     77.00  0.00000  
   78.00  0.21275     78.00  0.00000  
   79.00  0.04244     79.00  0.00000  
   80.00 -0.84212     80.00  0.00000  
   81.00 -0.51694     81.00  0.00000  
   82.00 -0.19041     82.00  0.00000  
   83.00 -0.01174     83.00  0.00000  
   84.00  0.07632     84.00  0.00000  
   85.00  0.12273     85.00  0.00000  
   86.00  0.16060     86.00  0.00000  
   87.00  0.18525     87.00  0.00000  
   88.00  0.22969     88.00  0.00000  
   89.00  0.27918     89.00  0.00000  
   90.00  0.29653     90.00  0.00000  
   91.00  0.31188     91.00  0.00000  
   92.00  0.29103     92.00  0.00000  
   93.00  0.23834     93.00  0.00000  
   94.00  0.23161     94.00  0.00000  
   95.00  0.24739     95.00  0.00000  
   96.00  0.27069     96.00  0.00000  
   97.00  0.31129     97.00  0.00000  
   98.00  0.32461     98.00  0.00000  
   99.00  0.31355     99.00  0.00000  
  100.00 -0.10154    100.00  0.00000  
  101.00 -0.04273    101.00  0.00000  
  102.00 -1.01832    102.00  0.00000  
  103.00 -0.86278    103.00  0.00000  
  104.00 -0.54171    104.00  0.00000  
  105.00 -0.27819    105.00  0.00000  
  106.00 -0.10072    106.00  0.00000  
  107.00 -0.00974    107.00  0.00000  
  108.00  0.04741    108.00  0.00000  
  109.00  0.11757    109.00  0.00000  
  110.00  0.22126    110.00  0.00000  
  111.00  0.26106    111.00  0.00000  
  112.00  0.30306    112.00  0.00000  
  113.00  0.28376    113.00  0.00000  
  114.00  0.25952    114.00  0.00000  
  115.00  0.25780    115.00  0.00000  
  116.00  0.26973    116.00  0.00000  
  117.00  0.30240    117.00  0.00000  
  118.00  0.41734    118.00  0.00000  
  119.00  0.40881    119.00  0.00000  
  120.00  0.38230    120.00  0.00000  
  121.00  0.32971    121.00  0.00000  
  122.00  0.27916    122.00  0.00000  
  123.00  0.25328    123.00  0.00000  
  124.00  0.24885    124.00  0.00000  
  125.00  0.36567    125.00  0.00000  
  126.00  0.39187    126.00  0.00000  
  127.00  0.38549    127.00  0.00000  
  128.00  0.37256    128.00  0.00000  
  129.00  0.33459    129.00  0.00000  
  130.00  0.28859    130.00  0.00000  
  131.00  0.27715    131.00  0.00000  
  132.00  0.31760    132.00  0.00000  
  133.00  0.31648    133.00  0.00000  
  134.00  0.30814    134.00  0.00000  
  135.00  0.27691    135.00  0.00000  
  136.00  0.24858    136.00  0.00000  
  137.00  0.25062    137.00  0.00000  
  138.00  0.25623    138.00  0.00000  
  139.00  0.28658    139.00  0.00000  
  140.00  0.31961    140.00  0.00000  
  141.00  0.33004    141.00  0.00000  
  142.00  0.32087    142.00  0.00000  
  143.00  0.29096    143.00  0.00000  
  144.00  0.53411    144.00  0.00000  
  145.00  0.56278    145.00  0.00000  
  146.00  0.54105    146.00  0.00000  
  147.00  0.51473    147.00  0.00000  
  148.00  0.49171    148.00  0.00000  
  149.00  0.44278    149.00  0.00000  
  150.00  0.37823    150.00  0.00000  
  151.00  0.32471    151.00  0.00000  
  152.00  0.27405    152.00  0.00000  
  153.00  0.27092    153.00  0.00000  
  154.00  0.36633    154.00  0.00000  
  155.00  0.39148    155.00  0.00000  
  156.00  0.39819    156.00  0.00000  
  157.00  0.38061    157.00  0.00000  
  158.00  0.35451    158.00  0.00000  
  159.00  0.30249    159.00  0.00000  
  160.00  0.26159    160.00  0.00000  
  161.00  0.25380    161.00  0.00000  
  162.00  0.26065    162.00  0.00000  
  163.00 -1.06381    163.00  0.00000  
  164.00 -0.59794    164.00  0.00000  
  165.00 -0.48957    165.00  0.00000  
  166.00 -0.29629    166.00  0.00000  
  167.00 -0.15855    167.00  0.00000  
  168.00 -0.04256    168.00  0.00000  
  169.00  0.06729    169.00  0.00000  
  170.00  0.16158    170.00  0.00000  
  171.00  0.23128    171.00  0.00000  
  172.00  0.26854    172.00  0.00000  
  173.00  0.26663    173.00  0.00000  
  174.00  0.25925    174.00  0.00000  
  175.00  0.25156    175.00  0.00000  
  176.00  0.26484    176.00  0.00000  
  177.00  0.29849    177.00  0.00000  
  178.00  0.32750    178.00  0.00000  
  179.00  0.33128    179.00  0.00000  
  180.00  0.33868    180.00  0.00000  
  181.00  0.29750    181.00  0.00000  
  182.00  0.25846    182.00  0.00000  
  183.00  0.23499    183.00  0.00000  
  184.00  0.23501    184.00  0.00000  
  185.00  0.26502    185.00  0.00000  
  186.00  0.29612    186.00  0.00000  
  187.00  0.30334    187.00  0.00000  
  188.00  0.30167    188.00  0.00000  
  189.00  0.26933    189.00  0.00000  
  190.00  0.24317    190.00  0.00000  
  191.00  0.23651    191.00  0.00000  
  192.00  0.25111    192.00  0.00000  
  193.00  0.28572    193.00  0.00000  
  194.00  0.31276    194.00  0.00000  
  195.00  0.31401    195.00  0.00000  
  196.00  0.30826    196.00  0.00000  
  197.00  0.27087    197.00  0.00000  
  198.00  0.24042    198.00  0.00000  
  199.00  0.22979    199.00  0.00000  
  200.00  0.24643    200.00  0.00000  
  201.00  0.27331    201.00  0.00000  
  202.00  0.30265    202.00  0.00000  
  203.00  0.31556    203.00  0.00000  
  204.00  0.31752    204.00  0.00000  
  205.00  0.29104    205.00  0.00000  
  206.00  0.25483    206.00  0.00000  
  207.00  0.23826    207.00  0.00000  
  208.00  0.23905    208.00  0.00000  
  209.00  0.27406    209.00  0.00000  
  210.00  0.30593    210.00  0.00000  
  211.00  0.31244    211.00  0.00000  
  212.00  0.31639    212.00  0.00000  
  213.00  0.30014    213.00  0.00000  
  214.00  0.26347    214.00  0.00000  
  215.00  0.24825    215.00  0.00000  
  216.00  0.26390    216.00  0.00000  
  217.00 -0.71280    217.00  0.00000  
  218.00 -0.61329    218.00  0.00000  
  219.00 -0.36095    219.00  0.00000  
  220.00 -0.14196    220.00  0.00000  
  221.00 -0.00516    221.00  0.00000  
  222.00  0.05229    222.00  0.00000  
  223.00  0.30445    223.00  0.00000  
  224.00  0.38798    224.00  0.00000  
  225.00  0.45049    225.00  0.00000  
  226.00  0.47173    226.00  0.00000  
  227.00  0.46809    227.00  0.00000  
  228.00  0.43531    228.00  0.00000  
  229.00  0.36830    229.00  0.00000  
  230.00  0.32779    230.00  0.00000  
  231.00  0.28998    231.00  0.00000  
  232.00  0.29494    232.00  0.00000  
  233.00  0.31333    233.00  0.00000  
  234.00  0.33832    234.00  0.00000  
  235.00  0.33958    235.00  0.00000  
  236.00  0.33509    236.00  0.00000  
  237.00  0.29249    237.00  0.00000  
  238.00  0.25879    238.00  0.00000  
  239.00  0.26034    239.00  0.00000  
  240.00  0.27054    240.00  0.00000  
  241.00  0.30187    241.00  0.00000  
  242.00  0.34137    242.00  0.00000  
  243.00  0.33652    243.00  0.00000  
  244.00  0.33255    244.00  0.00000  
  245.00  0.28928    245.00  0.00000  
  246.00  0.24362    246.00  0.00000  
  247.00  0.22688    247.00  0.00000  
  248.00  0.24927    248.00  0.00000  
  249.00  0.27157    249.00  0.00000  
  250.00  0.30594    250.00  0.00000  
  251.00  0.31727    251.00  0.00000  
  252.00  0.32347    252.00  0.00000  
  253.00  0.29288    253.00  0.00000  
  254.00  0.25935    254.00  0.00000  
  255.00  0.24602    255.00  0.00000  
  256.00  0.25793    256.00  0.00000  
  257.00  0.48291    257.00  0.00000  
  258.00  0.55630    258.00  0.00000  
  259.00  0.54577    259.00  0.00000  
  260.00  0.49016    260.00  0.00000  
  261.00  0.39970    261.00  0.00000  
  262.00  0.31590    262.00  0.00000  
  263.00  0.27275    263.00  0.00000  
  264.00  0.26614    264.00  0.00000  
  265.00  0.29148    265.00  0.00000  
  266.00  0.30642    266.00  0.00000  
  267.00  0.29890    267.00  0.00000  
  268.00  0.28980    268.00  0.00000  
  269.00  0.25923    269.00  0.00000  
  270.00  0.21642    270.00  0.00000  
  271.00  0.19031    271.00  0.00000  
  272.00  0.20620    272.00  0.00000  
  273.00  0.22942    273.00  0.00000  
  274.00  0.25866    274.00  0.00000  
  275.00  0.27227    275.00  0.00000  
  276.00  0.27569    276.00  0.00000  
  277.00  0.25477    277.00  0.00000  
  278.00  0.23084    278.00  0.00000  
  279.00  0.21925    279.00  0.00000  
  280.00  0.22713    280.00  0.00000  
  281.00  0.25536    281.00  0.00000  
  282.00  0.28406    282.00  0.00000  
  283.00  0.28880    283.00  0.00000  
  284.00  0.29510    284.00  0.00000  
  285.00  0.25557    285.00  0.00000  
  286.00  0.23393    286.00  0.00000  
  287.00  0.22507    287.00  0.00000  
  288.00  0.23904    288.00  0.00000  
  289.00  0.26839    289.00  0.00000  
  290.00  0.31120    290.00  0.00000  
  291.00  0.31065    291.00  0.00000  
  292.00  0.31863    292.00  0.00000  
  293.00  0.28722    293.00  0.00000  
  294.00  0.24797    294.00  0.00000  
  295.00  0.22483    295.00  0.00000  
  296.00  0.24047    296.00  0.00000  
  297.00  0.26971    297.00  0.00000  
  298.00  0.29632    298.00  0.00000  
