timestamp,Day,Time,Minute,Second,Speed[rpm],Pattern_X [Pixel], Pattern_Y [Pixel], Film_X [Pixel], Film_Y [Pixel],Film_Result_X [mm], Film_Result_Y [mm],Zoom_1st_X [Pixel], Zoom_1st_Y [Pixel], Zoom_Curr_X [Pixel], Zoom_Curr_Y [Pixel],Normal_1st_X [Pixel], Normal_1st_Y [Pixel], Normal_Curr_X [Pixel], Normal_Curr_Y [Pixel],Zoom_Result_X [mm], Zoom_Result_Y [mm], Film_Result_X [mm], Film_Result_Y [mm].1,T2,T3,NIP1_M,NIP1_F,T4,T5,NIP2_M,NIP2_F,T1,T6_OF
2022-09-24 17:14:55,24,17,14,81,0.0,855.457,370.656,503.768,472.603,0.007,-0.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,4.333333333333333,0.3666666666666667,-0.10000000000000002,5.233333333333333,5.033333333333333,6.0,6.099999999999999,5.3,3.4499999999999997
2022-09-24 17:14:55,24,17,14,81,0.0,854.45,423.637,505.678,471.772,0.022,-0.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.4,0.4,-0.1,5.2,4.95,5.9,5.95,5.550000000000001,3.525
2022-09-24 17:14:56,24,17,14,82,0.0,858.654,461.107,507.822,483.361,0.011,-0.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.133333333333334,4.366666666666667,0.3666666666666667,-0.10000000000000002,5.2,5.033333333333333,5.866666666666667,5.933333333333334,5.6000000000000005,3.3833333333333333
2022-09-24 17:14:56,24,17,14,82,0.0,861.533,491.654,509.457,486.749,0.007,-0.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.4,0.3,-0.1,5.199999999999999,5.1,5.699999999999999,6.05,5.65,3.375
2022-09-24 17:14:57,24,17,14,83,0.0,862.447,514.633,509.87,486.224,0.0,-0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86,4.54,0.32,-0.1,5.42,5.0,5.76,6.1,5.840000000000001,3.3300000000000005
2022-09-24 17:14:58,24,17,14,84,0.0,864.159,526.764,510.57,483.981,0.0,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.066666666666666,4.333333333333333,0.3333333333333333,-0.10000000000000002,5.366666666666667,4.9,5.2,5.766666666666667,5.5,3.35
2022-09-24 17:14:58,24,17,14,84,0.0,865.664,537.682,510.361,486.9,-0.008,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,4.3,0.3,-0.2,5.2,4.9,5.15,5.75,5.449999999999999,3.35
2022-09-24 17:14:59,24,17,14,85,0.0,865.47,537.816,509.525,478.978,-0.012,-0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.449999999999999,0.4,-0.15000000000000002,5.3,4.9,5.25,5.95,5.449999999999999,3.45
2022-09-24 17:14:59,24,17,14,85,0.0,860.852,535.299,507.68,467.486,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.6,0.4,-0.1,5.4,4.9,5.5,6.1,5.5,3.5
2022-09-24 17:15:00,24,17,15,85,0.0,859.84,544.126,507.88,475.462,0.006,-0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,4.6,0.3,-0.2,5.4,4.9,5.6,6.2,5.4,3.55
2022-09-24 17:15:00,24,17,15,85,0.0,860.229,549.115,507.173,485.379,0.004,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,4.6,0.3,-0.1,5.4,4.9,5.8,6.4,5.5,3.2
2022-09-24 17:15:01,24,17,15,86,0.0,861.579,544.609,507.521,481.968,0.0,-0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,4.46,0.36,-0.08,5.3,4.84,5.86,6.44,5.4399999999999995,3.3600000000000003
2022-09-24 17:15:02,24,17,15,87,0.0,861.27,552.625,506.724,486.613,-0.006,-0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.133333333333333,4.466666666666667,0.3,-0.06666666666666667,5.3,4.8999999999999995,5.8,6.2,5.633333333333333,3.3833333333333333
2022-09-24 17:15:02,24,17,15,87,0.0,861.389,549.768,506.77,479.39,-0.007,-0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,4.6,0.35,-0.15000000000000002,5.35,5.05,5.6,6.050000000000001,5.8,3.4
2022-09-24 17:15:03,24,17,15,88,0.0,861.148,549.931,507.171,481.825,0.0,-0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,4.466666666666666,0.3,-0.10000000000000002,5.366666666666667,4.933333333333334,5.366666666666667,5.966666666666666,5.7,3.4333333333333336
2022-09-24 17:15:03,24,17,15,88,0.0,860.543,552.966,505.927,484.219,-0.007,-0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.35,0.3,-0.1,5.3,5.0,5.3,5.85,5.5,3.325
2022-09-24 17:15:04,24,17,15,89,0.0,859.825,552.672,505.107,482.062,-0.004,-0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.966666666666667,4.466666666666667,0.3,-0.10000000000000002,5.233333333333333,4.9,5.333333333333333,5.933333333333334,5.5,3.4500000000000006
2022-09-24 17:15:04,24,17,15,89,0.0,858.843,557.653,506.44,491.846,0.006,-0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,4.55,0.3,-0.1,5.45,4.95,5.55,5.9,5.55,3.325
2022-09-24 17:15:05,24,17,15,90,0.0,856.505,557.218,507.808,493.816,0.022,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,4.46,0.32,-0.12000000000000002,5.34,5.06,5.9399999999999995,6.3,5.36,3.41
2022-09-24 17:15:06,24,17,15,91,0.0,860.263,553.078,510.014,493.672,0.018,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.933333333333334,4.433333333333334,0.3333333333333333,-0.06666666666666667,5.266666666666667,5.0,6.033333333333334,6.3,5.566666666666666,3.5
2022-09-24 17:15:06,24,17,15,91,0.0,864.116,560.458,511.083,500.824,0.004,-0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,4.6,0.35,-0.1,5.35,4.95,5.85,6.2,5.75,3.55
2022-09-24 17:15:07,24,17,15,92,0.0,867.288,568.175,511.503,504.333,-0.011,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.166666666666667,4.5,0.3666666666666667,-0.10000000000000002,5.466666666666666,5.066666666666666,5.566666666666666,6.033333333333334,5.666666666666667,3.4333333333333336
2022-09-24 17:15:07,24,17,15,92,0.0,868.587,566.44,511.231,500.663,-0.017,-0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,4.3,0.3,-0.1,5.3,5.05,5.5,5.95,5.45,3.5
2022-09-24 17:15:08,24,17,15,93,0.0,862.921,558.573,509.774,490.297,0.0,-0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.4,0.3333333333333333,-0.10000000000000002,5.333333333333333,4.866666666666667,5.366666666666667,5.833333333333333,5.3999999999999995,3.5499999999999994
2022-09-24 17:15:08,24,17,15,93,0.0,861.5,552.41,508.481,485.987,0.0,-0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,4.6,0.35,-0.15000000000000002,5.4,5.1,5.3,5.9,5.6,3.35
2022-09-24 17:15:09,24,17,15,94,0.0,861.533,554.164,508.369,496.872,0.0,-0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.933333333333334,4.566666666666666,0.3,-0.16666666666666666,5.3999999999999995,4.933333333333334,5.6000000000000005,6.066666666666666,5.466666666666666,3.516666666666667
2022-09-24 17:15:09,24,17,15,94,0.0,861.635,554.546,508.039,502.607,0.0,-0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.050000000000001,4.449999999999999,0.4,-0.1,5.3,4.95,5.85,6.25,5.4,3.325
2022-09-24 17:15:10,24,17,15,95,0.0,861.312,559.977,507.667,508.5,0.0,-0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9399999999999995,4.4799999999999995,0.32,-0.14,5.279999999999999,4.94,6.0200000000000005,6.36,5.64,3.44
2022-09-24 17:15:11,24,17,15,96,0.0,861.609,559.196,505.82,502.059,-0.013,-0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.566666666666666,0.4000000000000001,-0.06666666666666667,5.3999999999999995,5.066666666666666,5.766666666666667,6.3,5.7,3.3333333333333335
2022-09-24 17:15:11,24,17,15,96,0.0,860.783,562.29,504.412,502.04,-0.013,-0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,4.4,0.4,-0.1,5.35,4.949999999999999,5.55,6.25,5.550000000000001,3.375
2022-09-24 17:15:12,24,17,15,97,0.0,859.052,567.279,504.322,507.69,-0.005,-0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.433333333333334,0.3,-0.10000000000000002,5.333333333333333,4.9,5.366666666666667,6.0,5.366666666666667,3.483333333333333
2022-09-24 17:15:12,24,17,15,97,0.0,856.757,562.796,503.438,498.425,0.0,-0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,4.6,0.35,-0.15000000000000002,5.4,5.0,5.449999999999999,5.9,5.449999999999999,3.35
2022-09-24 17:15:13,24,17,15,98,0.0,856.39,563.659,502.374,502.788,0.0,-0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.066666666666666,4.566666666666666,0.3,-0.13333333333333333,5.5,5.0,5.433333333333334,5.733333333333333,5.3999999999999995,3.4166666666666665
2022-09-24 17:15:13,24,17,15,98,0.0,856.536,551.839,502.744,499.024,0.0,-0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.5,0.35,-0.1,5.4,4.9,5.55,6.0,5.35,3.45
2022-09-24 17:15:14,24,17,15,99,0.0,856.344,547.034,504.018,497.252,0.008,-0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12,4.4399999999999995,0.33999999999999997,-0.1,5.32,4.9,5.92,6.32,5.5,3.4299999999999997
2022-09-24 17:15:15,24,17,15,100,0.0,854.493,558.284,505.117,499.317,0.022,-0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.066666666666666,4.5,0.3333333333333333,-0.16666666666666666,5.466666666666666,5.033333333333333,6.033333333333334,6.233333333333333,5.8,3.4499999999999997
2022-09-24 17:15:15,24,17,15,100,0.0,859.105,561.624,506.252,504.312,0.004,-0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,4.6,0.35,-0.1,5.4,5.05,5.9,6.2,5.65,3.325
2022-09-24 17:15:16,24,17,15,101,0.0,862.405,563.687,506.434,506.757,-0.012,-0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.966666666666666,4.366666666666667,0.3666666666666667,-0.10000000000000002,5.3,4.866666666666667,6.033333333333334,6.066666666666666,5.533333333333334,3.483333333333333
2022-09-24 17:15:16,24,17,15,101,0.0,863.31,564.41,507.501,506.197,-0.011,-0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,4.6,0.3,-0.1,5.4,4.9,5.55,5.7,5.550000000000001,3.475
2022-09-24 17:15:17,24,17,15,102,0.0,858.036,566.944,507.25,510.409,0.014,-0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.566666666666666,0.3666666666666667,-0.06666666666666667,5.433333333333334,4.933333333333334,5.599999999999999,5.8999999999999995,5.5,3.483333333333333
2022-09-24 17:15:17,24,17,15,102,0.0,860.718,564.499,507.278,510.618,0.0,-0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.6,0.35,-0.15000000000000002,5.45,5.0,5.45,5.95,5.3,3.45
2022-09-24 17:15:18,24,17,15,103,0.0,861.427,574.852,508.702,527.294,0.0,-0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96,4.46,0.33999999999999997,-0.12000000000000002,5.36,4.9,5.58,5.9799999999999995,5.5,3.41
2022-09-24 17:15:19,24,17,15,104,0.0,860.478,562.611,511.005,521.901,0.022,-0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,4.533333333333333,0.3333333333333333,-0.10000000000000002,5.5,4.9,5.833333333333333,5.900000000000001,5.8,3.4499999999999997
2022-09-24 17:15:19,24,17,15,104,0.0,860.435,569.974,512.543,528.987,0.027,-0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,4.55,0.35,-0.15000000000000002,5.4,4.9,6.1,6.2,5.9,3.475
2022-09-24 17:15:20,24,17,15,105,0.0,866.252,573.7,513.156,545.724,0.004,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.033333333333333,4.5,0.3666666666666667,-0.13333333333333333,5.366666666666667,4.933333333333334,5.633333333333333,6.266666666666667,5.7,3.3833333333333333
2022-09-24 17:15:20,24,17,15,105,0.0,870.669,575.724,513.953,545.215,-0.018,-0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.6,0.35,-0.1,5.35,5.0,5.45,6.3,5.449999999999999,3.45
2022-09-24 17:15:21,24,17,15,106,0.0,872.437,581.662,514.422,549.42,-0.021,-0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1000000000000005,4.6,0.3666666666666667,-0.13333333333333333,5.433333333333334,4.8999999999999995,5.433333333333334,5.933333333333334,5.5,3.3666666666666667
2022-09-24 17:15:21,24,17,15,106,0.0,866.519,587.587,513.051,554.381,0.0,-0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,4.6,0.3,-0.1,5.4,4.9,5.35,5.75,5.45,3.45
2022-09-24 17:15:22,24,17,15,107,0.0,864.742,589.621,511.549,550.773,0.0,-0.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.58,0.33999999999999997,-0.16,5.34,4.94,5.5200000000000005,6.0200000000000005,5.4399999999999995,3.4299999999999997
2022-09-24 17:15:23,24,17,15,108,0.0,863.994,594.392,512.529,560.659,0.01,-0.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.6,0.3,-0.10000000000000002,5.466666666666666,4.9,5.866666666666667,6.366666666666667,5.766666666666667,3.516666666666667
2022-09-24 17:15:23,24,17,15,108,0.0,864.407,590.302,512.743,560.922,0.008,-0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.6,0.35,-0.15000000000000002,5.45,4.949999999999999,6.0,6.3,5.85,3.35
2022-09-24 17:15:24,24,17,15,109,0.0,865.509,588.406,512.639,556.572,0.0,-0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.033333333333333,4.6,0.3666666666666667,-0.13333333333333333,5.333333333333333,5.033333333333333,5.833333333333333,6.2,5.7,3.3166666666666664
2022-09-24 17:15:24,24,17,15,109,0.0,866.741,591.978,514.086,596.546,0.006,-0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85,4.6,0.35,-0.15000000000000002,5.35,5.0,5.6,6.2,5.6,3.475
2022-09-24 17:15:25,24,17,15,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.033333333333334,4.566666666666666,0.3666666666666667,-0.10000000000000002,5.466666666666666,4.966666666666667,5.233333333333333,6.066666666666666,5.466666666666666,3.466666666666667
2022-09-24 17:15:25,24,17,15,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.55,0.4,-0.1,5.5,4.9,5.05,5.699999999999999,5.3,3.475
2022-09-24 17:15:26,24,17,15,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9399999999999995,4.4399999999999995,0.33999999999999997,-0.1,5.34,4.92,5.32,5.2,5.4,3.46
2022-09-24 17:15:27,24,17,15,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.833333333333333,4.633333333333333,0.3333333333333333,-0.10000000000000002,5.466666666666666,4.8,5.533333333333334,5.633333333333333,5.599999999999999,3.533333333333333
2022-09-24 17:15:27,24,17,15,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.699999999999999,0.35,-0.1,5.5,4.9,5.8,5.9,5.75,3.325
2022-09-24 17:15:28,24,17,15,113,0.0,867.469,632.438,501.48,714.168,-0.06,-0.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.533333333333333,0.3333333333333333,-0.10000000000000002,5.366666666666667,4.9,5.866666666666667,6.0,5.7,3.366666666666667
2022-09-24 17:15:28,24,17,15,113,0.0,859.087,652.719,501.065,713.939,-0.02,-0.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.4,0.35,-0.15000000000000002,5.3,5.1,5.8,5.9,5.550000000000001,3.525
2022-09-24 17:15:29,24,17,15,114,0.0,853.01,656.146,499.614,691.252,0.0,-0.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.966666666666666,4.666666666666667,0.3,-0.10000000000000002,5.433333333333334,4.8999999999999995,5.6000000000000005,5.8,5.533333333333334,3.5
2022-09-24 17:15:29,24,17,15,114,0.0,852.665,476.43,501.509,493.064,0.011,-0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.699999999999999,0.4,-0.1,5.5,4.85,5.45,5.7,5.45,3.5
2022-09-24 17:15:30,24,17,15,115,0.0,853.762,459.98,501.048,451.231,0.006,-0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0600000000000005,4.5200000000000005,0.38,-0.1,5.4,4.84,5.14,5.54,5.38,3.5100000000000002
2022-09-24 17:15:31,24,17,15,116,0.0,854.903,517.387,498.539,490.301,-0.014,-0.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.933333333333334,4.6,0.3666666666666667,-0.13333333333333333,5.366666666666667,5.0,5.166666666666667,5.566666666666666,5.666666666666667,3.3833333333333333
2022-09-24 17:15:31,24,17,15,116,0.0,853.948,543.186,496.108,498.405,-0.019,-0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.6,0.4,-0.2,5.55,4.9,5.35,5.6,5.8,3.5
2022-09-24 17:15:32,24,17,15,117,0.0,852.072,553.534,495.871,505.78,-0.015,-0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.066666666666666,4.6,0.3666666666666667,-0.13333333333333333,5.5,4.866666666666667,5.7,5.933333333333334,5.866666666666667,3.516666666666667
2022-09-24 17:15:32,24,17,15,117,0.0,846.935,551.873,496.513,503.688,0.015,-0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.3,0.4,-0.05,5.3,4.85,5.9,5.9,5.65,3.45
2022-09-24 17:15:33,24,17,15,118,0.0,845.964,548.314,497.819,499.919,0.024,-0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1000000000000005,4.566666666666666,0.3666666666666667,-0.10000000000000002,5.3999999999999995,4.833333333333333,5.933333333333334,5.3999999999999995,5.433333333333334,3.4499999999999997
2022-09-24 17:15:33,24,17,15,118,0.0,849.938,544.459,498.201,495.489,0.01,-0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,4.8,0.35,-0.05,5.6,4.949999999999999,5.949999999999999,5.45,5.5,3.5
2022-09-24 17:15:34,24,17,15,119,0.0,854.491,551.169,499.932,494.082,-0.007,-0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.066666666666666,4.533333333333333,0.3666666666666667,-0.16666666666666666,5.466666666666666,4.866666666666667,5.566666666666666,5.533333333333334,5.333333333333333,3.5
2022-09-24 17:15:34,24,17,15,119,0.0,855.607,544.788,500.366,482.833,-0.008,-0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.199999999999999,4.4,0.35,-0.1,5.3,4.9,5.199999999999999,5.65,5.3,3.525
2022-09-24 17:15:35,24,17,15,120,0.0,853.599,543.105,499.496,477.921,0.0,-0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.72,0.33999999999999997,-0.12000000000000002,5.46,4.9,5.1,5.9,5.66,3.5
2022-09-24 17:15:36,24,17,15,121,0.0,852.586,540.746,497.904,474.997,-0.008,-0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.133333333333334,4.666666666666667,0.3,-0.13333333333333333,5.533333333333334,5.033333333333333,5.6000000000000005,5.966666666666666,5.8,3.3333333333333335
2022-09-24 17:15:36,24,17,15,121,0.0,851.786,535.954,498.101,474.898,0.0,-0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,4.5,0.35,-0.05,5.35,4.95,6.1,6.1,5.7,3.475
2022-09-24 17:15:37,24,17,15,122,0.0,850.506,537.218,499.094,484.605,0.012,-0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.5,0.3,-0.10000000000000002,5.400000000000001,4.9,6.333333333333333,5.8999999999999995,5.433333333333334,3.466666666666667
2022-09-24 17:15:37,24,17,15,122,0.0,851.659,538.686,499.571,486.294,0.006,-0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,4.75,0.35,-0.1,5.55,4.9,6.05,5.95,5.45,3.525
2022-09-24 17:15:38,24,17,15,123,0.0,852.755,535.66,498.984,479.118,-0.004,-0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.066666666666666,4.666666666666667,0.3666666666666667,-0.10000000000000002,5.533333333333334,4.966666666666667,5.633333333333333,6.166666666666667,5.333333333333333,3.2833333333333337
2022-09-24 17:15:38,24,17,15,123,0.0,854.522,544.642,498.912,484.969,-0.012,-0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,4.3,0.3,-0.15000000000000002,5.35,4.95,5.199999999999999,6.15,5.35,3.45
2022-09-24 17:15:39,24,17,15,124,0.0,853.792,550.117,498.161,488.792,-0.009,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.64,0.38,-0.12000000000000002,5.42,4.880000000000001,5.32,5.84,5.6,3.4899999999999998
2022-09-24 17:15:40,24,17,15,125,0.0,851.609,548.209,495.349,484.062,-0.013,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1000000000000005,4.633333333333333,0.3666666666666667,-0.13333333333333333,5.566666666666666,4.866666666666667,5.366666666666667,5.833333333333333,5.8,3.483333333333333
2022-09-24 17:15:40,24,17,15,125,0.0,848.827,545.68,492.388,478.286,-0.014,-0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,4.6,0.3,-0.05,5.4,4.85,5.550000000000001,6.05,5.8,3.5
