,0,T2,T3,NIP1_M,NIP1_F,T4,T5,NIP2_M,NIP2_F,T1,T6_OF,Film_Result_X [mm],Zoom_Result_X [mm], Zoom_Result_Y [mm]
0,2,5.1000000000000005,4.2,0.3,-0.1333333333333333,5.066666666666666,5.3,5.266666666666667,5.2,5.433333333333334,3.1666666666666665,0.0,0.0,0.0
1,2,5.1,4.2,0.3,-0.15,5.1,5.15,5.6,5.199999999999999,5.75,3.25,0.0,0.0,0.0
2,1,5.04,4.18,0.3399999999999999,-0.12,5.04,5.1,4.84,4.640000000000001,5.76,3.3600000000000003,0.0,0.0,0.0
3,1,5.0200000000000005,4.2,0.34,-0.1,5.26,5.279999999999999,4.58,3.84,5.5600000000000005,3.3600000000000003,0.0,0.0,0.0
4,1,5.0600000000000005,4.32,0.38,-0.12,5.2,5.279999999999999,4.48,3.62,5.5200000000000005,3.38,-0.005,0.0,0.0
5,1,5.0200000000000005,4.32,0.3399999999999999,-0.1,5.119999999999999,5.3,4.76,4.04,5.5200000000000005,3.46,-0.007,0.0,0.0
6,1,4.94,4.28,0.3399999999999999,-0.08,5.279999999999999,5.3,5.38,4.82,5.4,3.47,0.006,0.0,0.0
7,2,5.066666666666666,4.333333333333333,0.3333333333333333,-0.1333333333333333,5.3,5.3,5.7,5.333333333333333,5.566666666666666,3.5,0.012,0.0,0.0
8,2,4.949999999999999,4.3,0.3,-0.1,5.15,5.3,5.5,5.25,5.65,3.525,0.005,0.0,0.0
9,1,4.94,4.340000000000001,0.38,-0.12,5.119999999999999,5.26,5.4,5.0,5.74,3.5,0.013,0.0,0.0
10,1,4.98,4.18,0.26,-0.12,5.279999999999999,5.1,4.92,4.34,5.6,3.37,0.007,0.0,0.0
11,1,4.76,4.4,0.32,-0.1,5.279999999999999,5.14,4.7,3.82,5.44,3.35,0.01,0.0,0.0
12,1,5.12,4.34,0.4,-0.08,5.08,5.279999999999999,4.66,3.82,5.44,3.3600000000000003,0.005,0.0,0.0
13,1,4.94,4.26,0.32,-0.12,5.24,5.119999999999999,4.98,4.38,5.5,3.39,0.011,0.0,0.0
14,2,4.966666666666667,4.4,0.3,-0.1,5.3,5.233333333333333,5.433333333333334,5.166666666666667,5.466666666666666,3.4,0.009,0.0,0.0
15,2,4.95,4.35,0.4,-0.1,5.25,5.1,5.6,5.45,5.6,3.475,0.005,0.0,0.0
16,1,4.92,4.36,0.3399999999999999,-0.1,5.08,5.12,5.64,5.44,5.7,3.25,0.013,0.0,0.0
17,1,5.1,4.34,0.3399999999999999,-0.1,5.279999999999999,5.16,5.38,4.94,5.66,3.4,0.0,0.0,0.0
18,1,5.18,4.34,0.3399999999999999,-0.12,5.279999999999999,5.08,4.86,4.16,5.44,3.4,0.0,0.0,0.0
19,1,5.08,4.36,0.36,-0.1,5.12,5.18,4.6,3.62,5.6,3.33,0.0,0.0,0.0
20,2,4.966666666666667,4.3,0.2666666666666666,-0.0666666666666666,5.166666666666667,5.166666666666667,4.6000000000000005,3.766666666666667,5.400000000000001,3.333333333333333,0.006,0.0,0.0
21,2,5.0,4.2,0.35,-0.1,5.25,5.199999999999999,4.65,4.0,5.4,3.425,0.0,0.0,0.0
22,1,4.933333333333334,4.4,0.3,-0.1333333333333333,5.366666666666667,5.166666666666667,4.9,4.366666666666666,5.5,3.3833333333333333,-0.004,0.0,0.0
23,1,4.95,4.35,0.3,-0.1,5.3,5.2,5.300000000000001,4.9,5.5,3.3,0.009,0.0,0.0
24,1,4.96,4.5,0.32,-0.1,5.14,5.2,5.76,5.18,5.720000000000001,3.45,0.01,0.0,0.0
25,1,5.12,4.220000000000001,0.3399999999999999,-0.1,5.18,5.14,5.76,5.12,5.720000000000001,3.29,0.0,0.0,0.0
26,1,5.0,4.3,0.36,-0.08,5.34,5.24,5.14,4.8,5.58,3.39,0.008,0.0,0.0
27,2,5.033333333333333,4.533333333333333,0.3333333333333333,-0.1,5.233333333333333,5.133333333333333,4.833333333333333,4.266666666666667,5.433333333333334,3.4500000000000006,0.012,0.0,0.0
28,2,5.0,4.449999999999999,0.4,-0.1,5.15,5.15,4.9,3.9,5.55,3.3,-0.008,0.0,0.0
29,1,4.96,4.279999999999999,0.32,-0.12,5.18,5.16,4.74,3.62,5.46,3.35,0.005,0.0,0.0
30,1,5.0200000000000005,4.340000000000001,0.3,-0.12,5.38,5.16,4.720000000000001,3.96,5.5200000000000005,3.34,0.004,0.0,0.0
31,1,4.98,4.48,0.32,-0.1,5.220000000000001,5.1,5.36,4.94,5.58,3.39,0.008,0.0,0.0
32,1,5.0600000000000005,4.34,0.32,-0.14,5.2,5.16,5.68,5.48,5.8,3.34,0.0,0.0,0.0
33,1,4.96,4.34,0.32,-0.12,5.3,5.18,5.48,5.2,5.6,3.35,-0.003,0.0,0.0
34,2,5.033333333333333,4.4,0.3666666666666667,-0.1,5.266666666666667,5.2,5.166666666666667,4.8,5.433333333333334,3.4500000000000006,-0.014,0.0,0.0
35,2,4.9,4.5,0.3,-0.15,5.2,5.2,4.95,4.4,5.55,3.425,-0.006,0.0,0.0
36,1,4.9,4.36,0.36,-0.14,5.14,5.16,4.68,3.92,5.5200000000000005,3.41,-0.012,0.0,0.0
37,1,4.92,4.26,0.32,-0.04,5.36,5.16,4.58,3.72,5.32,3.37,-0.017,0.0,0.0
38,1,5.1,4.5200000000000005,0.3399999999999999,-0.12,5.26,5.220000000000001,4.86,4.4,5.42,3.38,-0.009,0.0,0.0
39,1,5.08,4.38,0.36,-0.08,5.220000000000001,5.2,5.6,5.220000000000001,5.82,3.45,-0.003,0.0,0.0
40,2,5.133333333333334,4.4,0.3333333333333333,-0.1,5.333333333333333,5.1,5.8,5.466666666666666,5.900000000000001,3.3000000000000003,-0.005,0.0,0.0
41,2,5.1,4.4,0.35,-0.05,5.35,5.2,5.65,5.35,5.5,3.3,0.0,0.0,0.0
42,1,4.82,4.5,0.36,-0.12,5.279999999999999,5.18,5.459999999999999,4.98,5.5600000000000005,3.41,0.0,0.0,0.0
43,1,5.0600000000000005,4.38,0.3399999999999999,-0.16,5.2,5.220000000000001,5.0,4.36,5.42,3.41,-0.01,0.0,0.0
44,1,5.04,4.380000000000001,0.36,-0.1,5.36,5.16,4.62,3.66,5.34,3.4200000000000004,-0.006,0.0,0.0
45,1,5.0600000000000005,4.44,0.3,-0.1,5.3,5.16,4.7,3.84,5.5,3.39,-0.017,0.0,0.0
46,1,5.040000000000001,4.46,0.32,-0.14,5.2,5.18,5.24,4.6,5.64,3.4200000000000004,0.0,0.0,0.0
47,2,4.933333333333334,4.366666666666667,0.3,-0.1666666666666666,5.233333333333333,5.166666666666667,5.666666666666667,5.1000000000000005,5.833333333333333,3.3833333333333333,0.0,0.0,0.0
48,2,5.05,4.35,0.35,-0.15,5.4,5.2,5.800000000000001,5.5,5.800000000000001,3.375,0.0,0.0,0.0
49,1,4.9,4.46,0.38,-0.12,5.34,5.2,5.7,5.44,5.48,3.44,-0.018,0.0,0.0
50,1,5.04,4.42,0.4,-0.1,5.2,5.14,5.279999999999999,4.96,5.46,3.39,0.0,0.0,0.0
51,1,5.08,4.34,0.32,-0.1,5.3,5.16,4.92,4.12,5.3,3.34,0.004,0.0,0.0
52,1,5.08,4.42,0.36,-0.08,5.36,5.2,4.779999999999999,3.6,5.48,3.43,-0.01,0.0,0.0
53,1,5.12,4.48,0.2799999999999999,-0.14,5.220000000000001,5.24,4.7,3.92,5.58,3.4200000000000004,-0.013,0.0,0.0
54,2,4.966666666666666,4.333333333333333,0.3666666666666667,-0.1333333333333333,5.2,5.166666666666667,5.1000000000000005,4.7,5.666666666666667,3.3833333333333333,-0.004,0.0,0.0
55,2,5.0,4.3,0.35,-0.1,5.35,5.2,5.55,5.0,5.65,3.35,-0.011,0.0,0.0
56,1,5.0,4.42,0.3399999999999999,-0.14,5.380000000000001,5.1,5.74,5.220000000000001,5.6,3.4200000000000004,0.0,0.0,0.0
57,1,5.06,4.6,0.3399999999999999,-0.12,5.220000000000001,5.18,5.5,5.0600000000000005,5.540000000000001,3.37,-0.007,0.0,0.0
58,1,5.04,4.3,0.36,-0.1,5.24,5.24,5.12,4.6,5.38,3.41,0.005,0.0,0.0
59,1,5.04,4.38,0.32,-0.12,5.4,5.16,4.86,3.94,5.42,3.43,0.008,0.0,0.0
60,2,4.9,4.566666666666666,0.3333333333333333,-0.1,5.266666666666667,5.133333333333334,4.666666666666667,3.533333333333333,5.533333333333334,3.4,-0.005,0.0,0.0
61,2,5.0,4.5,0.3,-0.1,5.25,5.2,4.550000000000001,3.75,5.65,3.45,0.016,0.0,0.0
62,1,5.1,4.36,0.34,-0.08,5.2,5.12,4.779999999999999,4.04,5.840000000000001,3.37,-0.009,0.0,0.0
63,1,5.0600000000000005,4.42,0.36,-0.14,5.380000000000001,5.1,6.18,5.12,5.76,3.3600000000000003,0.01,0.0,0.0
64,1,4.96,4.6,0.3399999999999999,-0.14,5.220000000000001,5.1,5.74,5.14,5.46,3.37,0.0,0.0,0.0
65,1,4.98,4.34,0.34,-0.08,5.220000000000001,5.2,5.34,5.1,5.46,3.43,0.0,0.0,0.0
66,1,4.96,4.380000000000001,0.32,-0.1,5.32,5.2,5.08,4.62,5.38,3.44,-0.013,0.0,0.0
67,2,4.966666666666667,4.5,0.3333333333333333,-0.1,5.333333333333333,5.2,4.7,4.0,5.366666666666667,3.4333333333333336,-0.003,0.0,0.0
