,timestamp,Day,Time,Minute,Second,Speed[rpm],Pattern_X [Pixel], Pattern_Y [Pixel], Film_X [Pixel], Film_Y [Pixel],Film_Result_X [mm], Film_Result_Y [mm],Zoom_1st_X [Pixel], Zoom_1st_Y [Pixel], Zoom_Curr_X [Pixel], Zoom_Curr_Y [Pixel],Normal_1st_X [Pixel], Normal_1st_Y [Pixel], Normal_Curr_X [Pixel], Normal_Curr_Y [Pixel],Zoom_Result_X [mm], Zoom_Result_Y [mm], Film_Result_X [mm], Film_Result_Y [mm].1,FileName
1099,2022-09-24 18:15:39,24,18,15,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1100,2022-09-24 18:15:41,24,18,15,41,0.0,179.043,377.592,504.691,461.809,0.255,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1101,2022-09-24 18:15:45,24,18,15,45,0.0,230.361,319.97,502.89,438.673,0.046,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1102,2022-09-24 18:15:46,24,18,15,46,0.0,237.577,262.165,500.968,445.706,0.01,-0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1103,2022-09-24 18:15:47,24,18,15,47,0.0,241.936,306.7,499.608,485.977,-0.012,-0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1104,2022-09-24 18:15:48,24,18,15,48,0.0,239.8,332.187,499.69,500.022,-0.003,-0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1105,2022-09-24 18:15:50,24,18,15,50,0.0,239.796,347.906,499.171,512.114,-0.003,-0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1106,2022-09-24 18:15:51,24,18,15,51,0.0,239.468,331.694,498.543,508.393,-0.006,-0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1107,2022-09-24 18:15:52,24,18,15,52,0.0,239.257,349.641,499.311,511.715,0.0,-0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1108,2022-09-24 18:15:54,24,18,15,54,0.0,239.73,364.037,499.842,519.347,0.0,-0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1109,2022-09-24 18:15:55,24,18,15,55,0.0,238.92,378.111,499.612,528.336,0.0,-0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1110,2022-09-24 18:15:56,24,18,15,56,0.0,236.834,381.071,498.689,536.007,0.005,-0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1111,2022-09-24 18:15:57,24,18,15,57,0.0,236.853,379.845,498.317,551.724,0.005,-0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1112,2022-09-24 18:15:59,24,18,15,59,0.0,237.759,383.561,497.889,555.244,0.0,-0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1113,2022-09-24 18:16:00,24,18,16,0,0.0,238.742,387.624,497.306,556.47,-0.007,-0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
