Date : 2022/09/24 (SAT)
Time : 09:22:26
        Tension 1          Tension 2              Nip 1              Nip 2  
     X        Y         X        Y         X        Y         X        Y    
    0.00   5.0000      0.00   4.8000      0.00   0.3000      0.00   0.2000  
    1.00   5.0000      1.00   4.7000      1.00   0.4000      1.00   0.2000  
    2.00   5.0000      2.00   4.7000      2.00   0.4000      2.00   0.2000  
    3.00   5.0000      3.00   4.7000      3.00   0.3000      3.00   0.3000  
    4.00   5.0000      4.00   4.7000      4.00   0.3000      4.00   0.3000  
    5.00   5.0000      5.00   4.8000      5.00   0.2000      5.00   0.2000  
    6.00   5.0000      6.00   4.8000      6.00   0.3000      6.00   0.2000  
    7.00   5.0000      7.00   4.8000      7.00   0.3000      7.00   0.2000  
    8.00   5.0000      8.00   4.7000      8.00   0.3000      8.00   0.3000  
    9.00   5.0000      9.00   4.7000      9.00   0.4000      9.00   0.2000  
   10.00   5.0000     10.00   4.8000     10.00   0.3000     10.00   0.3000  
   11.00   5.0000     11.00   4.7000     11.00   0.3000     11.00   0.3000  
   12.00   5.0000     12.00   4.8000     12.00   0.3000     12.00   0.3000  
   13.00   5.0000     13.00   4.8000     13.00   0.3000     13.00   0.3000  
   14.00   5.0000     14.00   4.8000     14.00   0.3000     14.00   0.2000  
   15.00   5.0000     15.00   4.8000     15.00   0.4000     15.00   0.3000  
   16.00   5.0000     16.00   4.8000     16.00   0.3000     16.00   0.2000  
   17.00   5.0000     17.00   4.7000     17.00   0.3000     17.00   0.3000  
   18.00   5.0000     18.00   4.8000     18.00   0.3000     18.00   0.3000  
   19.00   4.9000     19.00   4.8000     19.00   0.3000     19.00   0.3000  
   20.00   5.0000     20.00   4.8000     20.00   0.4000     20.00   0.2000  
   21.00   5.0000     21.00   4.8000     21.00   0.3000     21.00   0.2000  
   22.00   5.0000     22.00   4.8000     22.00   0.3000     22.00   0.2000  
   23.00   5.0000     23.00   4.8000     23.00   0.3000     23.00   0.3000  
   24.00   5.0000     24.00   4.7000     24.00   0.3000     24.00   0.3000  
   25.00   5.0000     25.00   4.7000     25.00   0.3000     25.00   0.3000  
   26.00   5.0000     26.00   4.7000     26.00   0.3000     26.00   0.2000  
   27.00   5.0000     27.00   4.7000     27.00   0.3000     27.00   0.3000  
   28.00   5.0000     28.00   4.7000     28.00   0.4000     28.00   0.3000  
   29.00   5.0000     29.00   4.8000     29.00   0.8000     29.00   0.4000  
   30.00   5.0000     30.00   4.8000     30.00   1.2000     30.00   0.7000  
   31.00   5.0000     31.00   4.8000     31.00   1.3000     31.00   0.9000  
   32.00   5.0000     32.00   4.8000     32.00   1.3000     32.00   0.8000  
   33.00   5.0000     33.00   4.7000     33.00   1.3000     33.00   0.9000  
   34.00   5.0000     34.00   4.8000     34.00   1.2000     34.00   0.8000  
   35.00   5.0000     35.00   4.8000     35.00   1.3000     35.00   0.8000  
   36.00   5.0000     36.00   4.8000     36.00   1.3000     36.00   0.8000  
   37.00   5.0000     37.00   4.8000     37.00   1.2000     37.00   0.8000  
   38.00   5.0000     38.00   4.8000     38.00   1.3000     38.00   0.8000  
   39.00   5.0000     39.00   4.8000     39.00   0.7000     39.00   0.5000  
   40.00   5.0000     40.00   4.8000     40.00   0.3000     40.00   0.2000  
   41.00   5.0000     41.00   4.8000     41.00   0.3000     41.00   0.2000  
   42.00   5.0000     42.00   4.7000     42.00   0.3000     42.00   0.3000  
   43.00   5.0000     43.00   4.8000     43.00   0.4000     43.00   0.2000  
   44.00   5.0000     44.00   4.7000     44.00   0.4000     44.00   0.3000  
   45.00   5.0000     45.00   4.7000     45.00   0.3000     45.00   0.5000  
   46.00   5.0000     46.00   4.7000     46.00   0.4000     46.00   0.4000  
   47.00   5.0000     47.00   4.8000     47.00   0.3000     47.00   0.3000  
   48.00   5.0000     48.00   4.8000     48.00   0.4000     48.00   0.3000  
   49.00   5.0000     49.00   4.8000     49.00   0.4000     49.00   0.3000  
   50.00   5.0000     50.00   4.8000     50.00   0.4000     50.00   0.2000  
   51.00   5.0000     51.00   4.7000     51.00   0.3000     51.00   0.2000  
   52.00   5.0000     52.00   4.8000     52.00   0.4000     52.00   0.3000  
   53.00   5.0000     53.00   4.7000     53.00   0.4000     53.00   0.3000  
   54.00   5.0000     54.00   4.8000     54.00   0.4000     54.00   0.2000  
   55.00   5.0000     55.00   4.7000     55.00   0.5000     55.00   0.4000  
   56.00   5.0000     56.00   4.8000     56.00   0.7000     56.00   0.4000  
   57.00   5.0000     57.00   4.7000     57.00   0.5000     57.00   0.4000  
   58.00   5.0000     58.00   4.7000     58.00   0.4000     58.00   0.2000  
   59.00   5.0000     59.00   4.7000     59.00   0.5000     59.00   0.2000  
   60.00   5.0000     60.00   4.8000     60.00   0.7000     60.00   0.2000  
   61.00   5.0000     61.00   4.8000     61.00   0.7000     61.00   0.2000  
   62.00   5.0000     62.00   4.8000     62.00   1.7000     62.00   0.2000  
   63.00   5.0000     63.00   4.8000     63.00   2.0000     63.00   0.4000  
   64.00   5.0000     64.00   4.7000     64.00   0.5000     64.00   0.2000  
   65.00   5.0000     65.00   4.8000     65.00   0.3000     65.00   0.3000  
   66.00   5.0000     66.00   4.7000     66.00   0.3000     66.00   0.2000  
   67.00   5.0000     67.00   4.8000     67.00   0.4000     67.00   0.2000  
   68.00   5.0000     68.00   4.7000     68.00   0.4000     68.00   0.4000  
   69.00   5.0000     69.00   4.8000     69.00   0.3000     69.00   0.7000  
   70.00   5.0000     70.00   4.8000     70.00   0.3000     70.00   0.7000  
   71.00   5.0000     71.00   4.8000     71.00   0.3000     71.00   0.7000  
   72.00   5.0000     72.00   4.8000     72.00   0.3000     72.00   0.2000  
   73.00   5.0000     73.00   4.7000     73.00   0.4000     73.00   0.4000  
   74.00   5.0000     74.00   4.8000     74.00   0.4000     74.00   0.5000  
   75.00   5.0000     75.00   4.7000     75.00   0.4000     75.00   0.6000  
