Date : 2022/09/24 (SAT)
Time : 09:23:10
   Film : Pattern         Review Cam  
     X        Y         X        Y    
    0.00  0.25547      0.00  0.00000  
    1.00  0.04577      1.00  0.00000  
    2.00  0.00952      2.00  0.00000  
    3.00 -0.01154      3.00  0.00000  
    4.00 -0.00314      4.00  0.00000  
    5.00 -0.00313      5.00  0.00000  
    6.00 -0.00577      6.00  0.00000  
    7.00  0.00000      7.00  0.00000  
    8.00  0.00000      8.00  0.00000  
    9.00  0.00000      9.00  0.00000  
   10.00  0.00458     10.00  0.00000  
   11.00  0.00451     11.00  0.00000  
   12.00  0.00000     12.00  0.00000  
   13.00 -0.00685     13.00  0.00000  
   14.00 -0.02214     14.00  0.00000  
   15.00 -0.02563     15.00  0.00000  
   16.00 -0.00909     16.00  0.00000  
   17.00 -0.22200     17.00  0.00000  
   18.00 -0.05478     18.00  0.00000  
   19.00 -0.02026     19.00  0.00000  
   20.00 -0.00783     20.00  0.00000  
   21.00 -0.00670     21.00  0.00000  
   22.00 -0.00609     22.00  0.00000  
   23.00 -0.00878     23.00  0.00000  
   24.00  0.00000     24.00  0.00000  
   25.00  0.00000     25.00  0.00000  
   26.00  0.00000     26.00  0.00000  
   27.00  0.00504     27.00  0.00000  
   28.00 -0.09078     28.00  0.00000  
   29.00 -0.02309     29.00  0.00000  
   30.00  0.00000     30.00  0.00000  
   31.00  0.00000     31.00  0.00000  
   32.00  0.00504     32.00  0.00000  
   33.00  0.00000     33.00  0.00000  
   34.00  0.00000     34.00  0.00000  
   35.00  0.00000     35.00  0.00000  
   36.00  0.00640     36.00  0.00000  
   37.00 -0.09628     37.00  0.00000  
   38.00 -0.02567     38.00  0.00000  
   39.00 -0.01413     39.00  0.00000  
   40.00  0.00000     40.00  0.00000  
   41.00  0.00655     41.00  0.00000  
   42.00  0.00746     42.00  0.00000  
   43.00  0.00498     43.00  0.00000  
   44.00  0.00579     44.00  0.00000  
   45.00  0.00688     45.00  0.00000  
   46.00 -0.00356     46.00  0.00000  
   47.00  0.02342     47.00  0.00000  
   48.00  0.01734     48.00  0.00000  
   49.00  0.00000     49.00  0.00000  
   50.00 -0.00615     50.00  0.00000  
   51.00  0.00474     51.00  0.00000  
   52.00 -0.00408     52.00  0.00000  
   53.00 -0.00828     53.00  0.00000  
   54.00 -0.01015     54.00  0.00000  
   55.00  0.01768     55.00  0.00000  
   56.00 -0.00881     56.00  0.00000  
   57.00 -0.00356     57.00  0.00000  
   58.00  0.00346     58.00  0.00000  
   59.00  0.00565     59.00  0.00000  
   60.00  0.03166     60.00  0.00000  
   61.00  0.00458     61.00  0.00000  
   62.00 -0.01017     62.00  0.00000  
   63.00  0.00375     63.00  0.00000  
   64.00  0.00575     64.00  0.00000  
   65.00  0.00397     65.00  0.00000  
   66.00  0.00000     66.00  0.00000  
   67.00  0.00813     67.00  0.00000  
   68.00  0.00669     68.00  0.00000  
   69.00  0.00000     69.00  0.00000  
   70.00 -0.00405     70.00  0.00000  
   71.00 -0.00496     71.00  0.00000  
   72.00  0.00000     72.00  0.00000  
   73.00  0.00000     73.00  0.00000  
   74.00  0.02822     74.00  0.00000  
   75.00  0.02288     75.00  0.00000  
   76.00 -0.00852     76.00  0.00000  
   77.00 -0.00675     77.00  0.00000  
   78.00  0.00869     78.00  0.00000  
   79.00  0.00564     79.00  0.00000  
   80.00  0.00000     80.00  0.00000  
   81.00 -0.00671     81.00  0.00000  
   82.00 -0.01159     82.00  0.00000  
   83.00  0.00412     83.00  0.00000  
   84.00  0.00969     84.00  0.00000  
   85.00  0.00611     85.00  0.00000  
   86.00  0.01554     86.00  0.00000  
   87.00  0.00822     87.00  0.00000  
   88.00 -0.00435     88.00  0.00000  
   89.00 -0.00697     89.00  0.00000  
   90.00  0.01191     90.00  0.00000  
   91.00  0.00354     91.00  0.00000  
   92.00  0.00000     92.00  0.00000  
   93.00  0.00000     93.00  0.00000  
   94.00  0.00000     94.00  0.00000  
   95.00  0.00000     95.00  0.00000  
   96.00 -0.00997     96.00  0.00000  
   97.00 -0.00979     97.00  0.00000  
   98.00  0.00000     98.00  0.00000  
   99.00  0.00000     99.00  0.00000  
  100.00  0.00638    100.00  0.00000  
  101.00  0.00914    101.00  0.00000  
  102.00  0.00982    102.00  0.00000  
  103.00  0.00592    103.00  0.00000  
  104.00  0.00000    104.00  0.00000  
  105.00 -0.00381    105.00  0.00000  
  106.00 -0.00842    106.00  0.00000  
  107.00 -0.00652    107.00  0.00000  
  108.00 -0.00424    108.00  0.00000  
  109.00  0.00000    109.00  0.00000  
  110.00 -0.00476    110.00  0.00000  
  111.00 -0.00645    111.00  0.00000  
  112.00 -0.01171    112.00  0.00000  
  113.00 -0.00331    113.00  0.00000  
  114.00  0.00000    114.00  0.00000  
  115.00 -0.00520    115.00  0.00000  
  116.00 -0.00435    116.00  0.00000  
  117.00  0.00927    117.00  0.00000  
  118.00  0.01275    118.00  0.00000  
  119.00  0.00502    119.00  0.00000  
  120.00 -0.00403    120.00  0.00000  
  121.00 -0.00664    121.00  0.00000  
  122.00 -0.00625    122.00  0.00000  
  123.00  0.00000    123.00  0.00000  
  124.00  0.00000    124.00  0.00000  
  125.00  0.00398    125.00  0.00000  
  126.00  0.00000    126.00  0.00000  
  127.00  0.00000    127.00  0.00000  
  128.00 -0.01940    128.00  0.00000  
  129.00 -0.02128    129.00  0.00000  
  130.00  0.01184    130.00  0.00000  
  131.00  0.01165    131.00  0.00000  
  132.00  0.00000    132.00  0.00000  
  133.00  0.00000    133.00  0.00000  
  134.00  0.00562    134.00  0.00000  
  135.00  0.01454    135.00  0.00000  
  136.00  0.00000    136.00  0.00000  
  137.00  0.00371    137.00  0.00000  
  138.00  0.01336    138.00  0.00000  
  139.00  0.01332    139.00  0.00000  
  140.00  0.01394    140.00  0.00000  
  141.00  0.01484    141.00  0.00000  
  142.00  0.00850    142.00  0.00000  
  143.00  0.00661    143.00  0.00000  
  144.00  0.00000    144.00  0.00000  
  145.00  0.00000    145.00  0.00000  
  146.00  0.00000    146.00  0.00000  
  147.00 -0.00525    147.00  0.00000  
  148.00  0.00000    148.00  0.00000  
  149.00  0.00636    149.00  0.00000  
  150.00  0.00914    150.00  0.00000  
  151.00 -0.00522    151.00  0.00000  
  152.00 -0.00726    152.00  0.00000  
  153.00 -0.01334    153.00  0.00000  
  154.00 -0.00686    154.00  0.00000  
  155.00 -0.00896    155.00  0.00000  
  156.00 -0.00718    156.00  0.00000  
  157.00 -0.00421    157.00  0.00000  
  158.00 -0.01123    158.00  0.00000  
  159.00  0.00000    159.00  0.00000  
  160.00 -0.00466    160.00  0.00000  
  161.00 -0.01068    161.00  0.00000  
  162.00 -0.00886    162.00  0.00000  
  163.00  0.00000    163.00  0.00000  
  164.00  0.00000    164.00  0.00000  
  165.00  0.00000    165.00  0.00000  
  166.00  0.00000    166.00  0.00000  
  167.00  0.00502    167.00  0.00000  
  168.00  0.00445    168.00  0.00000  
  169.00  0.00000    169.00  0.00000  
  170.00  0.00000    170.00  0.00000  
  171.00  0.00000    171.00  0.00000  
  172.00  0.00000    172.00  0.00000  
  173.00  0.00984    173.00  0.00000  
  174.00 -0.00337    174.00  0.00000  
  175.00 -0.00485    175.00  0.00000  
  176.00 -0.00448    176.00  0.00000  
  177.00 -0.00382    177.00  0.00000  
  178.00 -0.00784    178.00  0.00000  
  179.00  0.00000    179.00  0.00000  
  180.00  0.00000    180.00  0.00000  
  181.00  0.00000    181.00  0.00000  
  182.00  0.00559    182.00  0.00000  
  183.00  0.00812    183.00  0.00000  
  184.00  0.00580    184.00  0.00000  
  185.00  0.00389    185.00  0.00000  
  186.00  0.00000    186.00  0.00000  
  187.00  0.00000    187.00  0.00000  
  188.00  0.00000    188.00  0.00000  
  189.00 -0.00500    189.00  0.00000  
  190.00  0.00000    190.00  0.00000  
  191.00  0.00000    191.00  0.00000  
  192.00  0.00756    192.00  0.00000  
  193.00  0.00643    193.00  0.00000  
  194.00  0.00437    194.00  0.00000  
  195.00  0.00000    195.00  0.00000  
  196.00 -0.00375    196.00  0.00000  
  197.00  0.00000    197.00  0.00000  
  198.00  0.00000    198.00  0.00000  
  199.00  0.00371    199.00  0.00000  
  200.00  0.00000    200.00  0.00000  
  201.00  0.00345    201.00  0.00000  
  202.00 -0.00311    202.00  0.00000  
  203.00 -0.03024    203.00  0.00000  
  204.00 -0.02630    204.00  0.00000  
  205.00 -0.00883    205.00  0.00000  
  206.00 -0.00501    206.00  0.00000  
  207.00 -0.00551    207.00  0.00000  
  208.00  0.00000    208.00  0.00000  
  209.00  0.00000    209.00  0.00000  
  210.00  0.00000    210.00  0.00000  
  211.00  0.00000    211.00  0.00000  
  212.00 -0.00497    212.00  0.00000  
  213.00  0.00697    213.00  0.00000  
  214.00 -0.00464    214.00  0.00000  
  215.00 -0.03270    215.00  0.00000  
  216.00 -0.03643    216.00  0.00000  
  217.00  0.00000    217.00  0.74915  
  218.00  0.00726    218.00  0.74859  
  219.00  0.00875    219.00  0.74852  
  220.00  0.00000    220.00  0.74643  
  221.00 -0.00409    221.00  0.75256  
  222.00  0.00000    222.00  0.74495  
  223.00  0.00000    223.00  0.74342  
  224.00  0.00000    224.00  0.75655  
  225.00  0.00858    225.00  0.76359  
  226.00  0.01773    226.00  0.76700  
  227.00  0.01214    227.00  0.76156  
  228.00  0.01305    228.00  0.76067  
  229.00  0.01478    229.00  0.75996  
  230.00  0.00926    230.00  0.76020  
  231.00  0.00000    231.00  0.76128  
  232.00  0.00000    232.00  0.76294  
  233.00  0.00000    233.00  0.76719  
  234.00  0.00000    234.00  0.76674  
  235.00  0.00000    235.00  0.76447  
  236.00  0.00464    236.00  0.76728  
  237.00  0.01088    237.00  0.76419  
  238.00  0.00532    238.00  0.76205  
  239.00 -0.01550    239.00  0.76127  
  240.00 -0.02294    240.00  0.76134  
  241.00 -0.00758    241.00  0.76168  
  242.00  0.00369    242.00  0.76231  
  243.00  0.00304    243.00  0.76241  
  244.00  0.00000    244.00  0.76605  
  245.00 -0.00601    245.00  0.76550  
  246.00 -0.01032    246.00  0.75837  
  247.00 -0.02299    247.00  0.75091  
  248.00 -0.01278    248.00  0.76082  
  249.00 -0.00776    249.00  0.76523  
  250.00 -0.00545    250.00  0.76515  
  251.00 -0.00447    251.00  0.76300  
  252.00 -0.00535    252.00  0.76163  
  253.00 -0.00356    253.00  0.75965  
  254.00  0.00000    254.00  0.75486  
  255.00 -0.01168    255.00  0.75812  
  256.00 -0.00544    256.00  0.75857  
  257.00  0.00000    257.00  0.76113  
  258.00  0.00332    258.00  0.76066  
  259.00  0.00983    259.00  0.76163  
  260.00  0.01159    260.00  0.76198  
  261.00  0.00537    261.00  0.76137  
  262.00  0.00000    262.00  0.76000  
  263.00 -0.00588    263.00  0.75952  
  264.00 -0.00330    264.00  0.76223  
  265.00  0.00593    265.00  0.76301  
  266.00  0.00807    266.00  0.76482  
  267.00  0.00883    267.00  0.76660  
  268.00  0.01047    268.00  0.76425  
  269.00  0.01016    269.00  0.76222  
  270.00  0.00789    270.00  0.76117  
  271.00  0.00000    271.00  0.75931  
  272.00  0.00000    272.00  0.76256  
  273.00  0.00990    273.00  0.76590  
  274.00  0.01335    274.00  0.76594  
  275.00  0.00788    275.00  0.76324  
  276.00  0.01704    276.00  0.76348  
  277.00  0.01324    277.00  0.76307  
  278.00  0.01267    278.00  0.76043  
  279.00  0.00000    279.00  0.75860  
  280.00  0.00000    280.00  0.76193  
  281.00  0.00426    281.00  0.76453  
  282.00  0.00000    282.00  0.76292  
  283.00  0.00000    283.00  0.76421  
  284.00  0.00324    284.00  0.76782  
  285.00  0.00593    285.00  0.76589  
  286.00  0.00000    286.00  0.76280  
  287.00 -0.00834    287.00  0.75999  
  288.00 -0.00862    288.00  0.76073  
  289.00  0.00000    289.00  0.76375  
  290.00  0.00000    290.00  0.76193  
  291.00  0.00610    291.00  0.76269  
  292.00  0.01095    292.00  0.76430  
  293.00  0.00897    293.00  0.76322  
  294.00  0.00587    294.00  0.76007  
  295.00  0.00000    295.00  0.75676  
  296.00 -0.00499    296.00  0.76262  
  297.00 -0.00352    297.00  0.76409  
  298.00  0.00000    298.00  0.76462  
  299.00 -0.00400    299.00  0.76563  
  300.00  0.00000    300.00  0.76722  
  301.00  0.00000    301.00  0.76405  
  302.00  0.00416    302.00  0.76068  
  303.00 -0.00639    303.00  0.75809  
  304.00  0.00000    304.00  0.76381  
  305.00  0.00729    305.00  0.76863  
  306.00  0.00938    306.00  0.76595  
  307.00  0.00783    307.00  0.76029  
  308.00  0.01033    308.00  0.77200  
  309.00  0.01026    309.00  0.77197  
  310.00  0.00000    310.00  0.76880  
  311.00 -0.01285    311.00  0.76283  
  312.00 -0.01419    312.00  0.76164  
  313.00  0.00000    313.00  0.76308  
  314.00  0.00000    314.00  0.76180  
  315.00  0.00000    315.00  0.76195  
  316.00  0.00000    316.00  0.76241  
  317.00  0.00000    317.00  0.76097  
  318.00  0.00000    318.00  0.75792  
  319.00 -0.01306    319.00  0.75511  
  320.00 -0.01306    320.00  0.76041  
  321.00  0.00000    321.00  0.76387  
  322.00 -0.00481    322.00  0.76264  
  323.00  0.00000    323.00  0.76325  
  324.00  0.00613    324.00  0.76220  
  325.00  0.00321    325.00  0.76138  
  326.00  0.00000    326.00  0.75693  
  327.00 -0.00710    327.00  0.75466  
  328.00 -0.00701    328.00  0.75901  
  329.00  0.00000    329.00  0.76199  
  330.00  0.00586    330.00  0.76146  
  331.00  0.00000    331.00  0.76210  
  332.00  0.00000    332.00  0.76568  
  333.00  0.00000    333.00  0.76184  
  334.00 -0.00409    334.00  0.75783  
  335.00 -0.00604    335.00  0.75939  
  336.00  0.00600    336.00  0.76234  
  337.00  0.00743    337.00  0.76474  
  338.00  0.00000    338.00  0.76427  
  339.00  0.00593    339.00  0.76354  
  340.00  0.01619    340.00  0.76143  
  341.00  0.01751    341.00  0.76041  
  342.00  0.01271    342.00  0.75842  
  343.00  0.00000    343.00  0.76082  
  344.00 -0.00300    344.00  0.76443  
  345.00 -0.00306    345.00  0.76104  
  346.00  0.00756    346.00  0.76081  
  347.00  0.00660    347.00  0.76312  
  348.00  0.00000    348.00  0.76784  
  349.00  0.00000    349.00  0.76570  
  350.00 -0.00809    350.00  0.76198  
  351.00 -0.01553    351.00  0.75757  
  352.00 -0.00518    352.00  0.75766  
  353.00  0.00338    353.00  0.76154  
  354.00  0.00000    354.00  0.76334  
  355.00 -0.00444    355.00  0.76174  
  356.00 -0.00894    356.00  0.76104  
  357.00 -0.00594    357.00  0.75866  
  358.00  0.00000    358.00  0.75626  
  359.00  0.00000    359.00  0.75857  
  360.00  0.00000    360.00  0.76229  
  361.00  0.00000    361.00  0.76334  
  362.00  0.00000    362.00  0.76022  
  363.00  0.00000    363.00  0.75820  
  364.00 -0.00605    364.00  0.75930  
  365.00 -0.00613    365.00  0.76190  
  366.00  0.00000    366.00  0.76114  
  367.00  0.00000    367.00  0.76008  
  368.00 -0.00897    368.00  0.75973  
  369.00 -0.01021    369.00  0.76143  
  370.00 -0.00340    370.00  0.75985  
  371.00  0.00338    371.00  0.76070  
  372.00  0.00000    372.00  0.76328  
  373.00  0.00000    373.00  0.76265  
  374.00  0.00000    374.00  0.76131  
  375.00  0.00000    375.00  0.75849  
  376.00  0.00000    376.00  0.75627  
  377.00  0.00375    377.00  0.76133  
  378.00  0.00000    378.00  0.76583  
  379.00  0.00000    379.00  0.76232  
  380.00  0.00399    380.00  0.76136  
  381.00  0.00000    381.00  0.76098  
  382.00  0.00000    382.00  0.76096  
  383.00 -0.00406    383.00  0.76306  
  384.00 -0.00762    384.00  0.76150  
  385.00  0.00000    385.00  0.76372  
  386.00  0.00000    386.00  0.76182  
  387.00  0.00000    387.00  0.76249  
  388.00  0.00957    388.00  0.76475  
  389.00  0.01141    389.00  0.76289  
  390.00  0.01032    390.00  0.76273  
  391.00  0.00000    391.00  0.75781  
  392.00 -0.00554    392.00  0.75874  
  393.00 -0.00543    393.00  0.76343  
  394.00  0.00585    394.00  0.76296  
  395.00  0.00000    395.00  0.76818  
  396.00 -0.00679    396.00  0.76377  
  397.00 -0.00455    397.00  0.76049  
  398.00 -0.01445    398.00  0.75844  
  399.00 -0.01833    399.00  0.75875  
  400.00 -0.00632    400.00  0.76449  
  401.00  0.00815    401.00  0.76477  
  402.00  0.00756    402.00  0.76379  
  403.00 -0.00375    403.00  0.76211  
  404.00  0.00625    404.00  0.76012  
  405.00  0.00689    405.00  0.75826  
  406.00  0.00000    406.00  0.75551  
  407.00  0.00000    407.00  0.75716  
  408.00  0.00700    408.00  0.76613  
  409.00  0.00717    409.00  0.76667  
  410.00  0.00000    410.00  0.76240  
  411.00  0.00342    411.00  0.76104  
  412.00  0.01224    412.00  0.76429  
  413.00  0.00000    413.00  0.76246  
  414.00 -0.00950    414.00  0.76147  
  415.00 -0.00520    415.00  0.76188  
  416.00  0.00607    416.00  0.76408  
