Date : 2022/09/24 (SAT)
Time : 07:22:54
   Film : Pattern         Review Cam  
     X        Y         X        Y    
    0.00  0.43082      0.00  0.00000  
    1.00  0.37257      1.00  0.00000  
    2.00 -0.00310      2.00  0.00000  
    3.00 -0.00835      3.00  0.00000  
    4.00 -0.01273      4.00  0.00000  
    5.00  0.00000      5.00  0.00000  
    6.00 -0.01480      6.00  0.00000  
    7.00 -0.01614      7.00  0.00000  
    8.00 -0.01277      8.00  0.00000  
    9.00 -0.01172      9.00  0.00000  
   10.00 -0.00566     10.00  0.00000  
   11.00 -0.00358     11.00  0.00000  
   12.00  0.00000     12.00  0.00000  
   13.00 -0.00814     13.00  0.00000  
   14.00  0.00000     14.00  0.00000  
   15.00  0.00000     15.00  0.00000  
   16.00 -0.00899     16.00  0.00000  
   17.00 -0.00470     17.00  0.00000  
   18.00  0.00000     18.00  0.00000  
   19.00  0.00000     19.00  0.00000  
   20.00  0.00000     20.00  0.00000  
   21.00  0.00000     21.00  0.00000  
   22.00  0.00000     22.00  0.00000  
   23.00 -0.00522     23.00  0.00000  
   24.00 -0.00706     24.00  0.00000  
   25.00  0.00559     25.00  0.00000  
   26.00  0.01171     26.00  0.00000  
   27.00  0.00508     27.00  0.00000  
   28.00  0.01311     28.00  0.00000  
   29.00  0.00673     29.00  0.00000  
   30.00  0.00995     30.00  0.00000  
   31.00  0.00478     31.00  0.00000  
   32.00  0.01077     32.00  0.00000  
   33.00  0.00931     33.00  0.00000  
   34.00  0.00542     34.00  0.00000  
   35.00  0.01344     35.00  0.00000  
   36.00  0.00000     36.00  0.00000  
   37.00  0.00000     37.00  0.00000  
   38.00  0.00000     38.00  0.00000  
   39.00  0.00611     39.00  0.00000  
   40.00  0.00000     40.00  0.00000  
   41.00 -0.00423     41.00  0.00000  
   42.00  0.00871     42.00  0.00000  
   43.00  0.00988     43.00  0.00000  
   44.00  0.00000     44.00  0.00000  
   45.00  0.00848     45.00  0.00000  
   46.00  0.01206     46.00  0.00000  
   47.00 -0.00776     47.00  0.00000  
   48.00  0.00529     48.00  0.00000  
   49.00  0.00383     49.00  0.00000  
   50.00  0.00812     50.00  0.00000  
   51.00  0.00000     51.00  0.00000  
   52.00 -0.00336     52.00  0.00000  
   53.00 -0.01353     53.00  0.00000  
   54.00 -0.00610     54.00  0.00000  
   55.00 -0.01184     55.00  0.00000  
   56.00 -0.01669     56.00  0.00000  
   57.00 -0.00917     57.00  0.00000  
   58.00 -0.00302     58.00  0.00000  
   59.00 -0.00461     59.00  0.00000  
   60.00  0.00000     60.00  0.00000  
   61.00  0.00000     61.00  0.00000  
   62.00 -0.00978     62.00  0.00000  
   63.00 -0.00564     63.00  0.00000  
   64.00 -0.01652     64.00  0.00000  
   65.00  0.00000     65.00  0.00000  
   66.00  0.00000     66.00  0.00000  
   67.00  0.00000     67.00  0.00000  
   68.00 -0.01788     68.00  0.00000  
   69.00  0.00449     69.00  0.00000  
   70.00 -0.00961     70.00  0.00000  
   71.00 -0.01261     71.00  0.00000  
   72.00 -0.00393     72.00  0.00000  
   73.00 -0.01140     73.00  0.00000  
   74.00  0.00000     74.00  0.00000  
   75.00 -0.00725     75.00  0.00000  
   76.00  0.00537     76.00  0.00000  
   77.00  0.00816     77.00  0.00000  
   78.00 -0.00500     78.00  0.00000  
   79.00  0.01622     79.00  0.00000  
   80.00 -0.00868     80.00  0.00000  
   81.00  0.01003     81.00  0.00000  
   82.00  0.00000     82.00  0.00000  
   83.00  0.00000     83.00  0.00000  
   84.00 -0.01308     84.00  0.00000  
   85.00 -0.00314     85.00  0.00000  
   86.00  0.00307     86.00  0.00000  
   87.00 -0.00786     87.00  0.00000  
   88.00  0.01658     88.00  0.00000  
   89.00  0.00000     89.00  0.00000  
   90.00  0.02539     90.00  0.00000  
   91.00  0.01266     91.00  0.00000  
   92.00 -0.03116     92.00  0.00000  
   93.00  0.00641     93.00  0.00000  
   94.00  0.00490     94.00  0.00000  
   95.00  0.00304     95.00  0.00000  
   96.00  0.01324     96.00  0.00000  
   97.00  0.00944     97.00  0.00000  
   98.00  0.00314     98.00  0.00000  
   99.00  0.00000     99.00  0.00000  
  100.00 -0.02783    100.00  0.00000  
  101.00  0.00000    101.00  0.00000  
  102.00 -0.01352    102.00  0.00000  
  103.00 -0.00380    103.00  0.00000  
  104.00  0.01081    104.00  0.00000  
