Date : 2022/09/24 (SAT)
Time : 07:22:38
         UnWinder        OutFeeder 1        OutFeeder 2  
     X        Y         X        Y         X        Y    
    0.00     5.90      0.00     3.70      0.00     3.00  
    1.00     5.50      1.00     3.70      1.00     3.00  
    2.00     5.60      2.00     3.70      2.00     3.00  
    3.00     5.40      3.00     3.70      3.00     2.80  
    4.00     5.40      4.00     3.80      4.00     3.00  
    5.00     5.30      5.00     3.80      5.00     3.00  
    6.00     5.40      6.00     3.60      6.00     3.00  
    7.00     5.30      7.00     3.60      7.00     3.10  
    8.00     5.50      8.00     3.70      8.00     3.10  
    9.00     5.80      9.00     3.70      9.00     3.10  
   10.00     5.80     10.00     3.80     10.00     3.00  
   11.00     5.90     11.00     3.70     11.00     3.00  
   12.00     5.90     12.00     3.90     12.00     2.90  
   13.00     5.50     13.00     3.70     13.00     2.90  
   14.00     5.80     14.00     3.80     14.00     3.00  
   15.00     5.60     15.00     3.60     15.00     3.00  
   16.00     5.50     16.00     3.80     16.00     3.10  
   17.00     5.80     17.00     3.60     17.00     3.10  
   18.00     5.80     18.00     3.60     18.00     3.10  
   19.00     5.80     19.00     3.60     19.00     3.00  
   20.00     5.90     20.00     3.60     20.00     3.00  
   21.00     5.80     21.00     3.60     21.00     3.00  
   22.00     5.80     22.00     3.80     22.00     2.90  
   23.00     5.40     23.00     3.90     23.00     2.90  
   24.00     5.60     24.00     3.90     24.00     3.00  
   25.00     5.40     25.00     3.80     25.00     2.90  
   26.00     5.30     26.00     3.70     26.00     3.00  
   27.00     5.30     27.00     3.60     27.00     3.10  
   28.00     5.30     28.00     3.60     28.00     3.10  
   29.00     5.40     29.00     3.60     29.00     3.10  
   30.00     5.70     30.00     3.60     30.00     3.00  
   31.00     5.40     31.00     3.70     31.00     3.00  
   32.00     5.60     32.00     3.90     32.00     3.00  
   33.00     5.60     33.00     3.90     33.00     2.70  
   34.00     5.60     34.00     3.80     34.00     2.80  
   35.00     5.60     35.00     3.80     35.00     2.90  
   36.00     5.70     36.00     3.80     36.00     3.00  
   37.00     5.80     37.00     3.80     37.00     3.00  
   38.00     5.80     38.00     3.70     38.00     3.00  
   39.00     5.90     39.00     3.60     39.00     3.00  
   40.00     5.90     40.00     3.70     40.00     3.00  
   41.00     5.90     41.00     3.80     41.00     2.90  
   42.00     5.90     42.00     3.90     42.00     2.90  
   43.00     5.90     43.00     3.90     43.00     2.80  
   44.00     5.50     44.00     3.90     44.00     2.80  
   45.00     5.40     45.00     3.80     45.00     2.80  
   46.00     5.60     46.00     3.80     46.00     2.80  
   47.00     5.40     47.00     3.70     47.00     2.90  
   48.00     5.30     48.00     3.70     48.00     3.00  
   49.00     5.30     49.00     3.80     49.00     3.00  
   50.00     5.50     50.00     3.70     50.00     3.00  
   51.00     5.70     51.00     3.70     51.00     2.90  
   52.00     5.80     52.00     3.80     52.00     2.80  
   53.00     5.80     53.00     3.80     53.00     2.80  
   54.00     5.80     54.00     3.80     54.00     2.70  
   55.00     5.70     55.00     3.90     55.00     2.80  
