Date : 2022/09/24 (SAT)
Time : 08:19:55
        Tension 1          Tension 2              Nip 1              Nip 2  
     X        Y         X        Y         X        Y         X        Y    
    0.00   4.7000      0.00   4.6000      0.00   0.3000      0.00  -0.1000  
    1.00   4.7000      1.00   4.6000      1.00   0.3000      1.00  -0.1000  
    2.00   4.5000      2.00   4.6000      2.00   0.4000      2.00  -0.1000  
    3.00   4.6000      3.00   4.6000      3.00   0.3000      3.00  -0.2000  
    4.00   4.7000      4.00   4.8000      4.00   0.4000      4.00  -0.1000  
    5.00   4.7000      5.00   4.7000      5.00   0.3000      5.00  -0.1000  
    6.00   4.7000      6.00   4.7000      6.00   0.3000      6.00  -0.1000  
    7.00   4.7000      7.00   4.8000      7.00   0.4000      7.00  -0.1000  
    8.00   4.8000      8.00   4.8000      8.00   0.3000      8.00  -0.1000  
    9.00   5.0000      9.00   4.8000      9.00   0.4000      9.00  -0.1000  
   10.00   4.9000     10.00   4.6000     10.00   0.3000     10.00  -0.1000  
   11.00   4.9000     11.00   4.6000     11.00   0.4000     11.00  -0.1000  
   12.00   5.0000     12.00   4.6000     12.00   0.3000     12.00  -0.1000  
   13.00   4.7000     13.00   4.3000     13.00   0.3000     13.00  -0.1000  
   14.00   5.1000     14.00   4.3000     14.00   0.3000     14.00  -0.2000  
   15.00   5.0000     15.00   4.4000     15.00   0.3000     15.00  -0.2000  
   16.00   4.7000     16.00   4.6000     16.00   0.3000     16.00  -0.1000  
   17.00   4.8000     17.00   4.6000     17.00   0.3000     17.00  -0.1000  
   18.00   4.7000     18.00   4.6000     18.00   0.4000     18.00  -0.1000  
   19.00   4.6000     19.00   4.8000     19.00   0.3000     19.00  -0.1000  
   20.00   4.6000     20.00   4.8000     20.00   0.3000     20.00  -0.1000  
   21.00   4.6000     21.00   4.8000     21.00   0.4000     21.00  -0.1000  
   22.00   4.7000     22.00   4.8000     22.00   0.3000     22.00  -0.1000  
   23.00   4.8000     23.00   4.8000     23.00   0.4000     23.00  -0.1000  
   24.00   4.6000     24.00   4.8000     24.00   0.4000     24.00  -0.1000  
   25.00   4.7000     25.00   4.6000     25.00   0.4000     25.00  -0.1000  
   26.00   4.6000     26.00   4.6000     26.00   0.3000     26.00   0.0000  
   27.00   4.6000     27.00   4.6000     27.00   0.3000     27.00  -0.1000  
   28.00   4.7000     28.00   4.6000     28.00   0.4000     28.00  -0.1000  
   29.00   4.6000     29.00   4.5000     29.00   0.3000     29.00  -0.1000  
   30.00   4.7000     30.00   4.6000     30.00   0.3000     30.00  -0.2000  
   31.00   4.8000     31.00   4.6000     31.00   0.3000     31.00  -0.1000  
   32.00   4.8000     32.00   4.6000     32.00   0.3000     32.00  -0.1000  
   33.00   4.8000     33.00   4.6000     33.00   0.3000     33.00  -0.2000  
   34.00   4.9000     34.00   4.6000     34.00   0.4000     34.00  -0.1000  
   35.00   4.7000     35.00   4.8000     35.00   0.4000     35.00  -0.1000  
   36.00   4.9000     36.00   4.8000     36.00   0.3000     36.00  -0.2000  
   37.00   4.9000     37.00   4.8000     37.00   0.3000     37.00  -0.1000  
   38.00   4.6000     38.00   4.8000     38.00   0.3000     38.00  -0.1000  
   39.00   4.7000     39.00   4.8000     39.00   0.4000     39.00  -0.1000  
   40.00   4.5000     40.00   4.8000     40.00   0.3000     40.00  -0.1000  
   41.00   4.5000     41.00   4.8000     41.00   0.3000     41.00  -0.2000  
   42.00   4.6000     42.00   4.6000     42.00   0.3000     42.00  -0.1000  
   43.00   4.4000     43.00   4.6000     43.00   0.3000     43.00  -0.1000  
   44.00   4.5000     44.00   4.6000     44.00   0.3000     44.00  -0.1000  
   45.00   4.7000     45.00   4.3000     45.00   0.4000     45.00  -0.1000  
   46.00   4.5000     46.00   4.6000     46.00   0.4000     46.00  -0.1000  
   47.00   4.7000     47.00   4.5000     47.00   0.4000     47.00  -0.1000  
   48.00   4.7000     48.00   4.6000     48.00   0.4000     48.00  -0.2000  
   49.00   4.6000     49.00   4.6000     49.00   0.3000     49.00  -0.1000  
   50.00   4.7000     50.00   4.7000     50.00   0.5000     50.00  -0.2000  
   51.00   4.5000     51.00   4.8000     51.00   0.3000     51.00  -0.1000  
   52.00   4.6000     52.00   4.8000     52.00   0.3000     52.00  -0.2000  
   53.00   4.7000     53.00   4.8000     53.00   0.4000     53.00  -0.1000  
   54.00   4.5000     54.00   4.8000     54.00   0.3000     54.00  -0.1000  
   55.00   4.8000     55.00   4.8000     55.00   0.4000     55.00  -0.1000  
   56.00   4.7000     56.00   4.6000     56.00   0.4000     56.00  -0.1000  
   57.00   4.7000     57.00   4.6000     57.00   0.3000     57.00  -0.2000  
   58.00   5.0000     58.00   4.6000     58.00   0.3000     58.00  -0.2000  
   59.00   4.8000     59.00   4.5000     59.00   0.4000     59.00  -0.1000  
   60.00   4.7000     60.00   4.3000     60.00   0.3000     60.00  -0.1000  
   61.00   4.9000     61.00   4.3000     61.00   0.4000     61.00  -0.1000  
   62.00   4.7000     62.00   4.6000     62.00   0.4000     62.00  -0.1000  
   63.00   5.0000     63.00   4.6000     63.00   0.4000     63.00  -0.1000  
   64.00   4.8000     64.00   4.6000     64.00   0.4000     64.00  -0.1000  
   65.00   4.6000     65.00   4.6000     65.00   0.3000     65.00  -0.2000  
   66.00   4.7000     66.00   4.8000     66.00   0.4000     66.00  -0.2000  
   67.00   4.6000     67.00   4.8000     67.00   0.4000     67.00  -0.1000  
   68.00   4.5000     68.00   4.8000     68.00   0.3000     68.00  -0.1000  
   69.00   4.7000     69.00   4.8000     69.00   0.3000     69.00  -0.1000  
   70.00   4.5000     70.00   4.8000     70.00   0.3000     70.00  -0.1000  
   71.00   4.6000     71.00   4.8000     71.00   0.4000     71.00  -0.2000  
   72.00   4.7000     72.00   4.6000     72.00   0.3000     72.00  -0.2000  
   73.00   4.6000     73.00   4.6000     73.00   0.3000     73.00  -0.1000  
   74.00   4.8000     74.00   4.5000     74.00   0.3000     74.00  -0.1000  
   75.00   4.6000     75.00   4.5000     75.00   0.3000     75.00  -0.1000  
   76.00   4.6000     76.00   4.6000     76.00   0.3000     76.00  -0.2000  
   77.00   4.7000     77.00   4.6000     77.00   0.3000     77.00  -0.1000  
   78.00   4.7000     78.00   4.6000     78.00   0.4000     78.00  -0.2000  
   79.00   4.6000     79.00   4.2000     79.00   0.3000     79.00  -0.2000  
   80.00   4.7000     80.00   4.5000     80.00   0.4000     80.00  -0.2000  
   81.00   4.9000     81.00   4.6000     81.00   0.3000     81.00  -0.1000  
   82.00   4.7000     82.00   4.6000     82.00   0.3000     82.00  -0.1000  
   83.00   5.0000     83.00   4.5000     83.00   0.4000     83.00  -0.1000  
   84.00   4.9000     84.00   4.6000     84.00   0.3000     84.00  -0.1000  
   85.00   4.8000     85.00   4.8000     85.00   0.4000     85.00  -0.1000  
   86.00   4.9000     86.00   4.6000     86.00   0.3000     86.00  -0.1000  
   87.00   4.6000     87.00   4.6000     87.00   0.3000     87.00  -0.1000  
   88.00   4.7000     88.00   4.6000     88.00   0.3000     88.00  -0.1000  
   89.00   4.6000     89.00   4.6000     89.00   0.3000     89.00  -0.1000  
   90.00   4.6000     90.00   4.4000     90.00   0.3000     90.00  -0.1000  
   91.00   4.8000     91.00   4.4000     91.00   0.4000     91.00  -0.1000  
   92.00   4.7000     92.00   4.4000     92.00   0.3000     92.00  -0.1000  
   93.00   4.8000     93.00   4.3000     93.00   0.3000     93.00  -0.2000  
   94.00   4.9000     94.00   4.4000     94.00   0.4000     94.00  -0.1000  
   95.00   4.7000     95.00   4.5000     95.00   0.3000     95.00  -0.1000  
   96.00   4.8000     96.00   4.5000     96.00   0.3000     96.00  -0.1000  
   97.00   4.7000     97.00   4.5000     97.00   0.3000     97.00   0.0000  
   98.00   4.6000     98.00   4.6000     98.00   0.3000     98.00  -0.1000  
   99.00   4.7000     99.00   4.8000     99.00   0.3000     99.00  -0.1000  
  100.00   4.7000    100.00   4.8000    100.00   0.3000    100.00  -0.1000  
  101.00   4.6000    101.00   4.8000    101.00   0.3000    101.00  -0.1000  
  102.00   4.7000    102.00   4.8000    102.00   0.3000    102.00  -0.1000  
  103.00   4.8000    103.00   4.6000    103.00   0.4000    103.00  -0.1000  
  104.00   4.7000    104.00   4.6000    104.00   0.3000    104.00  -0.2000  
  105.00   4.8000    105.00   4.5000    105.00   0.4000    105.00  -0.1000  
  106.00   4.6000    106.00   4.5000    106.00   0.3000    106.00  -0.1000  
  107.00   4.6000    107.00   4.4000    107.00   0.3000    107.00   0.0000  
  108.00   4.7000    108.00   4.3000    108.00   0.3000    108.00  -0.1000  
  109.00   4.7000    109.00   4.4000    109.00   0.4000    109.00  -0.1000  
  110.00   4.7000    110.00   4.3000    110.00   0.3000    110.00  -0.1000  
  111.00   4.7000    111.00   4.3000    111.00   0.3000    111.00  -0.1000  
  112.00   4.6000    112.00   4.6000    112.00   0.3000    112.00  -0.1000  
  113.00   4.7000    113.00   4.6000    113.00   0.3000    113.00  -0.1000  
  114.00   4.4000    114.00   4.6000    114.00   0.4000    114.00  -0.1000  
  115.00   4.6000    115.00   4.6000    115.00   0.4000    115.00  -0.1000  
  116.00   4.6000    116.00   4.6000    116.00   0.4000    116.00  -0.1000  
  117.00   4.5000    117.00   4.6000    117.00   0.4000    117.00  -0.1000  
  118.00   4.8000    118.00   4.6000    118.00   0.4000    118.00  -0.2000  
  119.00   4.7000    119.00   4.6000    119.00   0.4000    119.00  -0.1000  
  120.00   4.5000    120.00   4.3000    120.00   0.4000    120.00  -0.2000  
  121.00   4.7000    121.00   4.4000    121.00   0.3000    121.00  -0.1000  
  122.00   4.6000    122.00   4.4000    122.00   0.4000    122.00  -0.1000  
  123.00   4.7000    123.00   4.4000    123.00   0.3000    123.00  -0.1000  
  124.00   4.8000    124.00   4.4000    124.00   0.3000    124.00  -0.1000  
  125.00   4.5000    125.00   4.6000    125.00   0.3000    125.00  -0.1000  
  126.00   4.7000    126.00   4.6000    126.00   0.4000    126.00  -0.1000  
  127.00   4.7000    127.00   4.6000    127.00   0.3000    127.00   0.0000  
  128.00   4.5000    128.00   4.6000    128.00   0.2000    128.00  -0.1000  
  129.00   4.5000    129.00   4.6000    129.00   0.3000    129.00  -0.2000  
  130.00   4.7000    130.00   4.8000    130.00   0.3000    130.00  -0.2000  
  131.00   4.6000    131.00   4.8000    131.00   0.4000    131.00  -0.1000  
  132.00   4.5000    132.00   4.8000    132.00   0.4000    132.00  -0.1000  
  133.00   4.7000    133.00   4.7000    133.00   0.4000    133.00  -0.2000  
  134.00   4.6000    134.00   4.5000    134.00   0.4000    134.00  -0.1000  
  135.00   4.6000    135.00   4.6000    135.00   0.4000    135.00  -0.1000  
  136.00   4.7000    136.00   4.6000    136.00   0.3000    136.00  -0.1000  
  137.00   4.5000    137.00   4.4000    137.00   0.3000    137.00  -0.2000  
  138.00   4.7000    138.00   4.4000    138.00   0.4000    138.00   0.0000  
  139.00   4.6000    139.00   4.3000    139.00   0.3000    139.00  -0.1000  
  140.00   4.6000    140.00   4.6000    140.00   0.3000    140.00  -0.1000  
  141.00   4.7000    141.00   4.6000    141.00   0.3000    141.00  -0.1000  
  142.00   4.5000    142.00   4.6000    142.00   0.4000    142.00  -0.1000  
  143.00   4.7000    143.00   4.6000    143.00   0.3000    143.00  -0.1000  
  144.00   4.5000    144.00   4.6000    144.00   0.4000    144.00  -0.1000  
  145.00   4.5000    145.00   4.8000    145.00   0.4000    145.00  -0.2000  
  146.00   4.6000    146.00   4.8000    146.00   0.4000    146.00  -0.1000  
  147.00   4.5000    147.00   4.8000    147.00   0.4000    147.00  -0.1000  
  148.00   4.6000    148.00   4.8000    148.00   0.3000    148.00  -0.2000  
  149.00   4.6000    149.00   4.6000    149.00   0.4000    149.00  -0.1000  
  150.00   4.5000    150.00   4.5000    150.00   0.4000    150.00  -0.1000  
  151.00   4.6000    151.00   4.6000    151.00   0.4000    151.00   0.0000  
  152.00   4.6000    152.00   4.6000    152.00   0.3000    152.00  -0.1000  
  153.00   4.6000    153.00   4.6000    153.00   0.3000    153.00  -0.1000  
  154.00   4.7000    154.00   4.5000    154.00   0.3000    154.00  -0.1000  
  155.00   4.6000    155.00   4.5000    155.00   0.3000    155.00  -0.2000  
  156.00   4.7000    156.00   4.6000    156.00   0.4000    156.00  -0.1000  
  157.00   4.7000    157.00   4.5000    157.00   0.3000    157.00  -0.1000  
  158.00   4.5000    158.00   4.5000    158.00   0.4000    158.00  -0.1000  
  159.00   4.7000    159.00   4.6000    159.00   0.4000    159.00  -0.1000  
  160.00   4.7000    160.00   4.6000    160.00   0.4000    160.00  -0.1000  
  161.00   4.6000    161.00   4.5000    161.00   0.4000    161.00  -0.1000  
  162.00   4.5000    162.00   4.5000    162.00   0.3000    162.00  -0.1000  
  163.00   4.7000    163.00   4.5000    163.00   0.3000    163.00  -0.1000  
  164.00   4.5000    164.00   4.6000    164.00   0.3000    164.00  -0.1000  
  165.00   4.6000    165.00   4.5000    165.00   0.3000    165.00  -0.2000  
  166.00   4.7000    166.00   4.6000    166.00   0.4000    166.00  -0.1000  
  167.00   4.5000    167.00   4.6000    167.00   0.4000    167.00  -0.1000  
  168.00   4.6000    168.00   4.3000    168.00   0.3000    168.00  -0.2000  
  169.00   4.7000    169.00   4.4000    169.00   0.3000    169.00  -0.2000  
  170.00   4.6000    170.00   4.3000    170.00   0.3000    170.00  -0.1000  
  171.00   4.7000    171.00   4.4000    171.00   0.3000    171.00  -0.1000  
  172.00   4.6000    172.00   4.6000    172.00   0.4000    172.00  -0.1000  
  173.00   4.6000    173.00   4.6000    173.00   0.4000    173.00  -0.1000  
  174.00   4.6000    174.00   4.6000    174.00   0.4000    174.00  -0.1000  
  175.00   4.6000    175.00   4.6000    175.00   0.3000    175.00  -0.1000  
  176.00   4.7000    176.00   4.8000    176.00   0.3000    176.00  -0.2000  
  177.00   4.6000    177.00   4.8000    177.00   0.4000    177.00  -0.1000  
  178.00   4.6000    178.00   4.7000    178.00   0.3000    178.00  -0.2000  
  179.00   4.7000    179.00   4.6000    179.00   0.3000    179.00  -0.2000  
  180.00   4.6000    180.00   4.6000    180.00   0.3000    180.00  -0.2000  
  181.00   4.8000    181.00   4.6000    181.00   0.3000    181.00  -0.1000  
  182.00   4.7000    182.00   4.6000    182.00   0.4000    182.00   0.0000  
  183.00   4.6000    183.00   4.5000    183.00   0.3000    183.00  -0.2000  
  184.00   4.9000    184.00   4.6000    184.00   0.3000    184.00  -0.2000  
  185.00   4.7000    185.00   4.4000    185.00   0.3000    185.00  -0.1000  
  186.00   4.7000    186.00   4.6000    186.00   0.4000    186.00  -0.1000  
