Date : 2022/09/24 (SAT)
Time : 08:20:13
   Film : Pattern         Review Cam  
     X        Y         X        Y    
    0.00  0.26762      0.00  0.00000  
    1.00  0.01616      1.00  0.00000  
    2.00  0.00712      2.00  0.00000  
    3.00  0.00915      3.00  0.00000  
    4.00  0.00000      4.00  0.00000  
    5.00 -0.01347      5.00  0.00000  
    6.00 -0.00870      6.00  0.00000  
    7.00 -0.00482      7.00  0.00000  
    8.00 -0.01224      8.00  0.00000  
    9.00  0.00464      9.00  0.00000  
   10.00  0.00000     10.00  0.00000  
   11.00  0.00000     11.00  0.00000  
   12.00 -0.00763     12.00  0.00000  
   13.00 -0.02450     13.00  0.00000  
   14.00 -0.01910     14.00  0.00000  
   15.00 -0.01034     15.00  0.00000  
   16.00  0.00000     16.00  0.00000  
   17.00  0.01088     17.00  0.00000  
   18.00  0.01077     18.00  0.00000  
   19.00  0.00301     19.00  0.00000  
   20.00  0.00000     20.00  0.00000  
   21.00 -0.00929     21.00  0.00000  
   22.00 -0.00703     22.00  0.00000  
   23.00 -0.00855     23.00  0.00000  
   24.00 -0.20566     24.00  0.00000  
   25.00  0.00000     25.00  0.00000  
   26.00  0.01661     26.00  0.00000  
   27.00  0.01531     27.00  0.00000  
   28.00  0.00000     28.00  0.00000  
   29.00 -0.01026     29.00  0.00000  
   30.00  0.00000     30.00  0.00000  
   31.00 -0.00473     31.00  0.00000  
   32.00  0.00000     32.00  0.00000  
   33.00  0.01174     33.00  0.00000  
   34.00  0.01692     34.00  0.00000  
   35.00  0.00750     35.00  0.00000  
   36.00 -0.09633     36.00  0.00000  
   37.00 -0.01968     37.00  0.00000  
   38.00 -0.00346     38.00  0.00000  
   39.00  0.00000     39.00  0.00000  
   40.00 -0.00360     40.00  0.00000  
   41.00  0.00000     41.00  0.00000  
   42.00  0.00971     42.00  0.00000  
   43.00  0.00491     43.00  0.00000  
   44.00  0.00000     44.00  0.00000  
   45.00 -0.01299     45.00  0.00000  
   46.00 -0.01194     46.00  0.00000  
   47.00 -0.05997     47.00  0.00000  
   48.00 -0.00516     48.00  0.00000  
   49.00  0.01568     49.00  0.00000  
   50.00  0.01875     50.00  0.00000  
   51.00  0.01496     51.00  0.00000  
   52.00 -0.00478     52.00  0.00000  
   53.00 -0.01062     53.00  0.00000  
   54.00  0.00000     54.00  0.00000  
   55.00 -0.00329     55.00  0.00000  
   56.00 -0.00352     56.00  0.00000  
   57.00  0.00000     57.00  0.00000  
   58.00  0.00456     58.00  0.00000  
   59.00  0.00913     59.00  0.00000  
   60.00 -0.00924     60.00  0.00000  
   61.00 -0.00823     61.00  0.00000  
   62.00  0.00000     62.00  0.00000  
   63.00  0.00000     63.00  0.00000  
   64.00  0.00740     64.00  0.00000  
   65.00  0.02184     65.00  0.00000  
   66.00  0.01125     66.00  0.00000  
